,#QUERYING,,,,,,,,,,,,,,,,,,,,,,
시간,현재가,등락율,등락구분,거래량,체결시간,체결량,체결성향,거래대금,체결강도,미결제약정수량,체결번호,대비,체결매수호가,체결매도호가,체결미결제약정수량,체결우선호가매도건수,체결우선호가매도잔량,체결우선호가매수건수,체결우선호가매수잔량,체결5호가매도건수,체결5호가매도잔량,체결5호가매수건수,체결5호가매수잔량
43388.375,5.6,-8.94,▼  ,86,43412.375,86,B  ,120400000,0,5419,1,-0.55,0,0,5419,0,0,0,0,0,0,0,0
43388.375,5.55,-9.76,▼  ,87,43412.375,1,SS ,121788000,0,5419,2,-0.6,5.5,5.6,5419,1,2,1,1,6,47,5,5
43388.37501,5.5,-10.57,▼  ,88,43412.37501,1,SS ,123163000,0,5419,3,-0.65,5.45,6,5419,2,2,1,1,6,85,5,5
43388.37501,5.56,-9.59,▼  ,92,43412.37501,4,SS ,128723000,0,5419,4,-0.59,5.45,6,5419,2,2,1,1,6,85,5,5
43388.37502,5.54,-9.92,▼  ,93,43412.37502,1,SS ,130108000,0,5419,5,-0.61,5.45,5.72,5419,1,12,1,1,6,50,5,38
43388.37505,5.45,-11.38,▼  ,94,43412.37505,1,SS ,131470000,0,5419,6,-0.7,5.4,5.55,5419,1,12,1,1,6,50,6,50
43388.37505,5.4,-12.2,▼  ,95,43412.37505,1,SS ,132820000,0,5419,7,-0.75,5.35,5.55,5419,1,12,1,1,6,50,5,49
43388.37506,5.35,-13.01,▼  ,96,43412.37506,1,SS ,134158000,0,5419,8,-0.8,5.3,5.55,5419,1,12,1,1,6,50,6,39
43388.37509,5.35,-13.01,▼  ,99,43412.37509,3,BB ,138170000,0,5419,9,-0.8,5.31,5.41,5419,1,12,1,1,6,50,5,16
43388.37512,5.35,-13.01,▼  ,103,43412.37512,4,S  ,143520000,0,5419,10,-0.8,5.31,5.41,5419,1,12,1,4,6,50,5,19
43388.37513,5.31,-13.66,▼  ,104,43412.37513,1,SS ,144848000,0,5419,11,-0.84,5.3,5.4,5419,1,12,1,1,5,108,5,27
43388.37513,5.3,-13.82,▼  ,105,43412.37513,1,SS ,146173000,0,5419,12,-0.85,5.28,5.4,5419,1,12,1,1,5,108,5,38
43388.37513,5.31,-13.66,▼  ,106,43412.37513,1,SS ,147500000,0,5419,13,-0.84,5.28,5.4,5419,1,12,1,1,5,108,5,38
43388.37513,5.28,-14.15,▼  ,107,43412.37513,1,SS ,148820000,0,5419,14,-0.87,5.26,5.4,5419,1,12,1,1,5,108,5,49
43388.37514,5.26,-14.47,▼  ,108,43412.37514,1,SS ,150135000,0,5419,15,-0.89,5.16,5.33,5419,1,12,1,12,5,108,6,128
43388.3752,5.3,-13.82,▼  ,109,43412.3752,1,BB ,151460000,0,5374,16,-0.85,5.17,5.35,5374,1,12,2,13,5,108,6,50
