,KOSPI 200 콜옵션 1811 270.0,,,,,,,,,,,,,,,,,,,,,,
시간,현재가,등락율,등락구분,거래량,체결시간,체결량,체결성향,거래대금,체결강도,미결제약정수량,체결번호,대비,체결매수호가,체결매도호가,체결미결제약정수량,체결우선호가매도건수,체결우선호가매도잔량,체결우선호가매수건수,체결우선호가매수잔량,체결5호가매도건수,체결5호가매도잔량,체결5호가매수건수,체결5호가매수잔량
43389.37507,10.8,14.04,▲  ,1,43412.37507,1,BB ,2700000,0,372,1,1.33,0,0,372,1,40,1,10,0,0,0,0
43389.38259,10.55,11.4,▲  ,2,43412.38259,1,SS ,5338000,0,384,2,1.08,10.5,10.65,384,1,1,1,1,5,25,5,71
43389.38265,10.5,10.88,▲  ,3,43412.38265,1,SS ,7963000,0,384,3,1.03,10.45,10.6,384,2,4,1,2,7,29,5,72
43389.38273,10.5,10.88,▲  ,5,43412.38273,2,BB ,13213000,100,384,4,1.03,10.4,10.55,384,1,2,2,3,7,21,6,73
43389.38274,10.55,11.4,▲  ,7,43412.38274,2,BB ,18488000,200,384,5,1.08,10.4,10.6,384,1,2,2,3,6,27,6,73
43389.38277,10.6,11.93,▲  ,9,43412.38277,2,BB ,23788000,300,387,6,1.13,10.5,10.65,387,1,2,1,1,5,64,5,33
43389.38358,10.5,10.88,▲  ,11,43412.38358,2,BB ,29038000,400,389,7,1.03,10.4,10.55,389,1,2,2,3,7,21,6,73
43389.38391,10.5,10.88,▲  ,13,43412.38391,2,BB ,34288000,500,391,8,1.03,10.4,10.55,391,1,2,2,3,6,20,6,73
43389.38399,10.55,11.4,▲  ,15,43412.38399,2,BB ,39563000,600,393,9,1.08,10.4,10.6,393,2,4,2,3,6,28,6,73
43389.38431,10.55,11.4,▲  ,17,43412.38431,2,BB ,44838000,700,395,10,1.08,10.4,10.6,395,2,4,2,3,6,28,6,73
43389.38451,10.6,11.93,▲  ,19,43412.38451,2,BB ,50138000,800,397,11,1.13,10.4,10.65,397,2,4,2,3,6,66,6,73
43389.38461,10.65,12.46,▲  ,21,43412.38461,2,BB ,55463000,900,397,12,1.18,10.5,10.7,397,1,2,2,3,5,72,6,73
43389.3859,10.5,10.88,▲  ,23,43412.3859,2,BB ,60713000,1000,401,13,1.03,10.4,10.55,401,1,2,1,1,6,28,5,63
43389.38778,10.5,10.88,▲  ,25,43412.38778,2,BB ,65963000,1100,403,14,1.03,10.35,10.7,403,1,10,2,3,5,80,6,73
43389.38867,10.5,10.88,▲  ,27,43412.38867,2,B  ,71213000,1200,404,15,1.03,10.35,10.7,404,1,2,1,2,6,19,5,33
