,KOSPI 200 콜옵션 1811 317.5,,,,,,,,,,,,,,,,,,,,,,
시간,현재가,등락율,등락구분,거래량,체결시간,체결량,체결성향,거래대금,체결강도,미결제약정수량,체결번호,대비,체결매수호가,체결매도호가,체결미결제약정수량,체결우선호가매도건수,체결우선호가매도잔량,체결우선호가매수건수,체결우선호가매수잔량,체결5호가매도건수,체결5호가매도잔량,체결5호가매수건수,체결5호가매수잔량
43385.375,0.01,-50,↓  ,4945,43412.375,4945,B  ,12363000,0,6799,1,-0.01,0,0,6799,0,0,0,0,0,0,0,0
43385.37525,0.01,-50,↓  ,4946,43412.37525,1,B  ,12365000,0,7408,2,-0.01,0,0.01,7408,14,13932,0,0,39,41066,0,0
43385.37565,0.01,-50,↓  ,4947,43412.37565,1,B  ,12368000,0,7409,3,-0.01,0,0.01,7409,20,13977,0,0,46,41112,0,0
43385.37576,0.01,-50,↓  ,4948,43412.37576,1,B  ,12370000,0,7410,4,-0.01,0,0.01,7410,20,13976,0,0,46,41111,0,0
43385.37595,0.01,-50,↓  ,4949,43412.37595,1,B  ,12373000,0,7411,5,-0.01,0,0.01,7411,21,14531,0,0,47,41666,0,0
43385.37612,0.01,-50,↓  ,4969,43412.37612,20,B  ,12423000,0,7412,6,-0.01,0,0.01,7412,21,14511,0,0,48,41648,0,0
43385.37615,0.01,-50,↓  ,4970,43412.37615,1,B  ,12425000,0,7412,7,-0.01,0,0.01,7412,21,14510,0,0,48,41647,0,0
43385.37626,0.01,-50,↓  ,4971,43412.37626,1,B  ,12428000,0,7432,8,-0.01,0,0.01,7432,21,14509,0,0,48,41646,0,0
43385.37637,0.01,-50,↓  ,4972,43412.37637,1,B  ,12430000,0,7434,9,-0.01,0,0.01,7434,20,13952,0,0,47,41089,0,0
43385.37638,0.01,-50,↓  ,4974,43412.37638,2,B  ,12435000,0,7434,10,-0.01,0,0.01,7434,20,13950,0,0,47,41087,0,0
43385.37662,0.01,-50,↓  ,4975,43412.37662,1,B  ,12438000,0,7437,11,-0.01,0,0.01,7437,20,13949,0,0,48,41659,0,0
43385.37667,0.01,-50,↓  ,4976,43412.37667,1,B  ,12440000,0,7437,12,-0.01,0,0.01,7437,20,13948,0,0,48,41658,0,0
43385.37668,0.01,-50,↓  ,4977,43412.37668,1,B  ,12443000,0,7437,13,-0.01,0,0.01,7437,20,13947,0,0,48,41657,0,0
43385.37668,0.01,-50,↓  ,4978,43412.37668,1,B  ,12445000,0,7437,14,-0.01,0,0.01,7437,20,13946,0,0,48,41656,0,0
43385.37682,0.01,-50,↓  ,4979,43412.37682,1,B  ,12448000,0,7441,15,-0.01,0,0.01,7441,20,13945,0,0,48,41655,0,0
43385.37685,0.01,-50,↓  ,4980,43412.37685,1,B  ,12450000,0,7442,16,-0.01,0,0.01,7442,20,13944,0,0,48,41654,0,0
43385.37692,0.01,-50,↓  ,4981,43412.37692,1,B  ,12453000,0,7442,17,-0.01,0,0.01,7442,20,13943,0,0,48,41653,0,0
43385.37699,0.01,-50,↓  ,4982,43412.37699,1,B  ,12455000,0,7444,18,-0.01,0,0.01,7444,20,13942,0,0,48,41652,0,0
43385.37711,0.01,-50,↓  ,5000,43412.37711,18,B  ,12500000,0,7444,19,-0.01,0,0.01,7444,20,13924,0,0,48,41634,0,0
43385.37713,0.01,-50,↓  ,5001,43412.37713,1,B  ,12503000,0,7444,20,-0.01,0,0.01,7444,20,13923,0,0,48,41633,0,0
43385.37729,0.01,-50,↓  ,5002,43412.37729,1,B  ,12505000,0,7464,21,-0.01,0,0.01,7464,21,13942,0,0,48,41632,0,0
43385.37756,0.01,-50,↓  ,5004,43412.37756,2,B  ,12510000,0,7465,22,-0.01,0,0.01,7465,22,15467,0,0,49,43157,0,0
43385.37784,0.01,-50,↓  ,5005,43412.37784,1,B  ,12513000,0,7465,23,-0.01,0,0.01,7465,22,15466,0,0,49,43156,0,0
43385.37817,0.01,-50,↓  ,5008,43412.37817,3,B  ,12520000,0,7466,24,-0.01,0,0.01,7466,22,15463,0,0,49,43153,0,0
43385.37825,0.01,-50,↓  ,5009,43412.37825,1,B  ,12523000,0,7466,25,-0.01,0,0.01,7466,22,15462,0,0,49,43152,0,0
43385.37841,0.01,-50,↓  ,5038,43412.37841,29,B  ,12595000,0,7467,26,-0.01,0,0.01,7467,22,15433,0,0,45,35123,0,0
43385.37869,0.01,-50,↓  ,5042,43412.37869,4,B  ,12605000,97,7467,27,-0.01,0,0.01,7467,22,15429,0,0,45,35119,0,0
43385.37899,0.01,-50,↓  ,5068,43412.37899,26,B  ,12670000,123,7467,28,-0.01,0,0.01,7467,22,15403,0,0,44,34520,0,0
43385.37925,0.01,-50,↓  ,5089,43412.37925,21,B  ,12723000,144,7467,29,-0.01,0,0.01,7467,22,15382,0,0,45,34687,0,0
43385.37961,0.01,-50,↓  ,5090,43412.37961,1,B  ,12725000,145,7467,30,-0.01,0,0.01,7467,22,15381,0,0,44,34498,0,0
43385.37968,0.01,-50,↓  ,5093,43412.37968,3,B  ,12733000,148,7467,31,-0.01,0,0.01,7467,23,15571,0,0,45,34688,0,0
43385.38013,0.01,-50,↓  ,5094,43412.38013,1,B  ,12735000,149,7468,32,-0.01,0,0.01,7468,23,15570,0,0,45,34687,0,0
43385.38024,0.01,-50,↓  ,5095,43412.38024,1,B  ,12738000,150,7469,33,-0.01,0,0.01,7469,23,15569,0,0,45,34686,0,0
43385.38038,0.01,-50,↓  ,5096,43412.38038,1,B  ,12740000,151,7470,34,-0.01,0,0.01,7470,23,15568,0,0,45,34685,0,0
43385.3815,0.01,-50,↓  ,7096,43412.3815,2000,B  ,17740000,2151,7471,35,-0.01,0,0.01,7471,24,13580,0,0,48,32948,0,0
43385.38161,0.01,-50,↓  ,7097,43412.38161,1,B  ,17743000,2152,7471,36,-0.01,0,0.01,7471,24,13579,0,0,48,32947,0,0
43385.38211,0.01,-50,↓  ,7098,43412.38211,1,B  ,17745000,2153,9472,37,-0.01,0,0.01,9472,24,13583,0,0,48,32951,0,0
43385.3839,0.01,-50,↓  ,7099,43412.3839,1,B  ,17748000,2154,9473,38,-0.01,0,0.01,9473,29,13612,0,0,53,32980,0,0
43385.38414,0.01,-50,↓  ,7100,43412.38414,1,B  ,17750000,2155,9474,39,-0.01,0,0.01,9474,29,13611,0,0,53,32979,0,0
43385.38455,0.01,-50,↓  ,7101,43412.38455,1,B  ,17753000,2156,9475,40,-0.01,0,0.01,9475,30,14086,0,0,54,33454,0,0
43385.38462,0.01,-50,↓  ,7102,43412.38462,1,B  ,17755000,2157,9475,41,-0.01,0,0.01,9475,30,14085,0,0,54,33453,0,0
43385.3851,0.01,-50,↓  ,7202,43412.3851,100,B  ,18005000,2257,9477,42,-0.01,0,0.01,9477,30,13985,0,0,54,33353,0,0
43385.38538,0.01,-50,↓  ,7203,43412.38538,1,B  ,18008000,2258,9577,43,-0.01,0,0.01,9577,31,14384,0,0,55,33752,0,0
43385.38965,0.01,-50,↓  ,7216,43412.38965,13,B  ,18040000,2271,9578,44,-0.01,0,0.01,9578,42,14556,0,0,66,33525,0,0
43385.38993,0.01,-50,↓  ,7239,43412.38993,23,B  ,18098000,2294,9578,45,-0.01,0,0.01,9578,41,14317,0,0,65,33286,0,0
43385.39118,0.01,-50,↓  ,7244,43412.39118,5,B  ,18110000,2299,9578,46,-0.01,0,0.01,9578,42,14313,0,0,66,33282,0,0
43385.41488,0.01,-50,↓  ,7247,43412.41488,3,B  ,18118000,2302,9578,47,-0.01,0,0.01,9578,54,15315,0,0,79,34035,0,0
43385.42209,0.01,-50,↓  ,7248,43412.42209,1,B  ,18120000,2303,9578,48,-0.01,0,0.01,9578,54,15314,0,0,78,33034,0,0
43385.44433,0.01,-50,↓  ,7258,43412.44433,10,B  ,18145000,2313,9579,49,-0.01,0,0.01,9579,55,15688,0,0,79,32474,0,0
43385.4741,0.01,-50,↓  ,7259,43412.4741,1,B  ,18148000,2314,9579,50,-0.01,0,0.01,9579,53,13267,0,0,75,26053,0,0
43385.52505,0.01,-50,↓  ,7260,43412.52505,1,B  ,18150000,2315,9580,51,-0.01,0,0.01,9580,63,12777,0,0,84,25354,0,0
43385.53777,0.01,-50,↓  ,7261,43412.53777,1,B  ,18153000,2316,9581,52,-0.01,0,0.01,9581,63,12776,0,0,84,25353,0,0
43385.58071,0.01,-50,↓  ,7262,43412.58071,1,B  ,18155000,2317,9581,53,-0.01,0,0.01,9581,65,13142,0,0,85,25710,0,0
43385.60167,0.01,-50,↓  ,7263,43412.60167,1,B  ,18158000,2318,9581,54,-0.01,0,0.01,9581,58,12141,0,0,78,24709,0,0
43385.63589,0.01,-50,↓  ,7264,43412.63589,1,B  ,18160000,2319,9581,55,-0.01,0,0.01,9581,61,12663,0,0,81,25231,0,0
