,KOSPI 200 콜옵션 1811 260.0,,,,,,,,,,,,,,,,,,,,,,
시간,현재가,등락율,등락구분,거래량,체결시간,체결량,체결성향,거래대금,체결강도,미결제약정수량,체결번호,대비,체결매수호가,체결매도호가,체결미결제약정수량,체결우선호가매도건수,체결우선호가매도잔량,체결우선호가매수건수,체결우선호가매수잔량,체결5호가매도건수,체결5호가매도잔량,체결5호가매수건수,체결5호가매수잔량
43397.37738,14.55,6.2,▲  ,1,43412.37738,1,BB ,3638000,0,250,1,0.85,0,0,250,1,2,1,5,0,0,0,0
43397.37792,14.55,6.2,▲  ,2,43412.37792,1,BB ,7275000,0,250,2,0.85,14.5,14.75,250,1,1,2,6,5,81,6,62
43397.40205,14.25,4.01,▲  ,3,43412.40205,1,B  ,10838000,2,250,3,0.55,14.1,14.25,250,1,2,1,5,5,18,5,76
43397.4026,14.2,3.65,▲  ,4,43412.4026,1,BB ,14388000,3,250,4,0.5,14.1,14.3,250,1,1,2,6,5,17,6,78
43397.43465,12.9,-5.84,▼  ,5,43412.43465,1,SS ,17613000,300,250,5,-0.8,12.8,13,250,2,3,1,5,6,43,5,85
43397.43486,12.7,-7.3,▼  ,6,43412.43486,1,BB ,20788000,400,250,6,-1,12.55,12.75,250,1,1,1,1,6,91,5,83
43397.46517,12.5,-8.76,▼  ,7,43412.46517,1,SS ,23913000,200,251,7,-1.2,12,12.65,251,2,3,1,50,6,67,5,112
43397.48563,13,-5.11,▼  ,8,43412.48563,1,BB ,27163000,250,250,8,-0.7,12.9,13.2,250,1,10,2,6,6,100,6,22
43397.56009,13.9,1.46,▲  ,9,43412.56009,1,SS ,30638000,166.67,251,9,0.2,13.75,14.05,251,1,2,1,10,5,42,5,90
43397.57241,13.65,-0.36,▼  ,10,43412.57241,1,SS ,34050000,125,251,10,-0.05,13.55,13.75,251,2,3,1,1,7,93,6,83
43397.59155,13.3,-2.92,▼  ,11,43412.59155,1,SS ,37375000,100,251,11,-0.4,13.15,13.35,251,2,3,1,1,6,75,5,41
43397.61341,13.05,-4.74,▼  ,12,43412.61341,1,SS ,40638000,83.33,250,12,-0.65,12.9,13.15,250,1,2,1,5,6,84,5,45
43397.61367,13.05,-4.74,▼  ,13,43412.61367,1,SS ,43900000,71.43,250,13,-0.65,12.95,13.15,250,1,2,1,5,6,84,5,45
43397.61569,12.85,-6.2,▼  ,14,43412.61569,1,SS ,47113000,62.5,251,14,-0.85,12.7,12.95,251,1,2,1,5,6,92,5,37
43397.61689,12.75,-6.93,▼  ,15,43412.61689,1,SS ,50300000,55.56,251,15,-0.95,12.65,12.85,251,1,2,1,5,6,92,5,77
43397.61721,12.65,-7.66,▼  ,16,43412.61721,1,S  ,53463000,50,252,16,-1.05,12.65,12.85,252,1,2,1,4,6,92,5,76
