,KOSPI 200 콜옵션 1811 260.0,,,,,,,,,,,,,,,,,,,,,,
시간,현재가,등락율,등락구분,거래량,체결시간,체결량,체결성향,거래대금,체결강도,미결제약정수량,체결번호,대비,체결매수호가,체결매도호가,체결미결제약정수량,체결우선호가매도건수,체결우선호가매도잔량,체결우선호가매수건수,체결우선호가매수잔량,체결5호가매도건수,체결5호가매도잔량,체결5호가매수건수,체결5호가매수잔량
43396.40416,16,-18.16,▼  ,1,43412.40416,1,BB ,4000000,0,154,1,-3.55,0,0,154,1,2,1,2,0,0,0,0
43396.40613,16,-18.16,▼  ,2,43412.40613,1,B  ,8000000,1,155,2,-3.55,15.9,16,155,1,1,1,2,5,33,5,17
43396.40613,16,-18.16,▼  ,3,43412.40613,1,BB ,12000000,2,155,3,-3.55,15.9,16.2,155,1,2,1,2,5,82,5,17
43396.40623,16,-18.16,▼  ,5,43412.40623,2,BB ,20000000,4,155,4,-3.55,15.9,16.1,155,1,2,1,1,5,25,5,17
43396.40672,16,-18.16,▼  ,7,43412.40672,2,BB ,28000000,6,155,5,-3.55,15.85,16.05,155,1,2,2,3,5,34,6,95
43396.40679,16,-18.16,▼  ,8,43412.40679,1,B  ,32000000,7,157,6,-3.55,15.85,16,157,1,1,2,3,5,16,6,95
43396.40679,16,-18.16,▼  ,9,43412.40679,1,BB ,36000000,8,157,7,-3.55,15.85,16.1,157,1,2,2,3,5,25,6,95
43396.40686,16,-18.16,▼  ,11,43412.40686,2,BB ,44000000,10,157,8,-3.55,15.9,16.05,157,1,1,2,3,5,33,6,67
43396.40948,16.05,-17.9,▼  ,12,43412.40948,1,BB ,48013000,11,159,9,-3.5,15.95,16.1,159,2,3,2,3,6,34,6,67
43396.40951,16.05,-17.9,▼  ,13,43412.40951,1,BB ,52025000,12,159,10,-3.5,15.95,16.1,159,1,1,2,3,5,32,6,67
43396.40954,16.05,-17.9,▼  ,14,43412.40954,1,BB ,56038000,13,159,11,-3.5,15.95,16.1,159,1,1,2,3,5,81,6,67
43396.40956,16.1,-17.65,▼  ,15,43412.40956,1,BB ,60063000,14,159,12,-3.45,16.05,16.3,159,1,10,1,1,5,90,6,18
43396.41208,16.05,-17.9,▼  ,16,43412.41208,1,BB ,64075000,15,158,13,-3.5,16,16.1,158,1,1,2,3,6,25,6,67
43396.41211,16.05,-17.9,▼  ,17,43412.41211,1,BB ,68088000,16,158,14,-3.5,16,16.1,158,1,1,2,3,6,25,6,67
43396.41212,16.05,-17.9,▼  ,18,43412.41212,1,BB ,72100000,17,158,15,-3.5,16,16.1,158,1,1,2,3,5,15,6,67
43396.41218,16.1,-17.65,▼  ,19,43412.41218,1,BB ,76125000,18,158,16,-3.45,16,16.15,158,2,3,2,3,6,34,6,67
43396.41262,15.95,-18.41,▼  ,20,43412.41262,1,BB ,80113000,19,157,17,-3.6,15.9,16.1,157,2,3,2,3,6,83,6,67
43396.41316,16,-18.16,▼  ,21,43412.41316,1,BB ,84113000,20,157,18,-3.55,15.85,16.1,157,1,1,2,3,5,81,6,67
43396.41542,15.85,-18.93,▼  ,22,43412.41542,1,BB ,88075000,21,157,19,-3.7,15.8,16,157,1,2,1,2,5,42,5,65
43396.43137,16.5,-15.6,▼  ,23,43412.43137,1,SS ,92200000,2100,157,20,-3.05,16.45,16.6,157,1,2,1,1,5,42,6,74
43396.43137,16.45,-15.86,▼  ,24,43412.43137,1,SS ,96313000,1050,157,21,-3.1,16.35,16.5,157,1,1,2,12,5,24,6,83
43396.43161,16.45,-15.86,▼  ,25,43412.43161,1,SS ,100425000,700,157,22,-3.1,16.4,16.55,157,2,3,1,1,6,43,5,64
43396.43183,16.4,-16.11,▼  ,26,43412.43183,1,SS ,104525000,525,157,23,-3.15,16.3,16.55,157,2,3,1,1,6,43,5,81
43396.43203,16.4,-16.11,▼  ,27,43412.43203,1,SS ,108625000,420,158,24,-3.15,16.3,16.55,158,2,3,2,3,6,43,6,83
43396.43219,16.4,-16.11,▼  ,28,43412.43219,1,SS ,112725000,350,159,25,-3.15,16.3,16.5,159,2,3,2,3,6,35,6,83
43396.43281,16.3,-16.62,▼  ,29,43412.43281,1,SS ,116800000,300,160,26,-3.25,16.1,16.4,160,2,3,1,10,6,35,5,82
43396.433,16.35,-16.37,▼  ,30,43412.433,1,SS ,120888000,262.5,161,27,-3.2,16.25,16.4,161,2,3,2,3,6,35,6,83
43396.43316,16.35,-16.37,▼  ,31,43412.43316,1,SS ,124975000,233.33,162,28,-3.2,16.25,16.4,162,1,1,1,2,5,25,5,82
43396.44325,15.9,-18.67,▼  ,32,43412.44325,1,SS ,128950000,210,163,29,-3.65,15.85,15.95,163,2,3,1,1,6,27,5,25
