,KOSPI 200 콜옵션 1811 272.5,,,,,,,,,,,,,,,,,,,,,,
시간,현재가,등락율,등락구분,거래량,체결시간,체결량,체결성향,거래대금,체결강도,미결제약정수량,체결번호,대비,체결매수호가,체결매도호가,체결미결제약정수량,체결우선호가매도건수,체결우선호가매도잔량,체결우선호가매수건수,체결우선호가매수잔량,체결5호가매도건수,체결5호가매도잔량,체결5호가매수건수,체결5호가매수잔량
43390.37501,11,44.55,▲  ,1,43412.37501,1,BB ,2750000,0,3412,1,3.39,0,0,3412,1,9,1,10,0,0,0,0
43390.376,9.3,22.21,▲  ,2,43412.376,1,S  ,5075000,0,3412,2,1.69,9.3,9.46,3412,1,4,1,3,5,44,5,43
43390.37616,9.26,21.68,▲  ,3,43412.37616,1,BB ,7390000,0,3412,3,1.65,9.24,9.39,3412,1,4,1,4,5,33,5,37
43390.38,9.35,22.86,▲  ,4,43412.38,1,BB ,9728000,200,3412,4,1.74,9.31,9.43,3412,2,6,1,3,6,52,5,43
43390.38928,10.65,39.95,▲  ,5,43412.38928,1,SS ,12390000,100,3412,5,3.04,10.5,10.75,3412,1,10,1,2,5,62,5,72
43390.38964,10.9,43.23,▲  ,6,43412.38964,1,SS ,15115000,66.67,3411,6,3.29,10.75,11,3411,1,10,1,1,5,71,5,71
43390.3941,10.75,41.26,▲  ,7,43412.3941,1,BB ,17803000,100,3411,7,3.14,10.65,10.9,3411,1,10,2,3,5,80,6,73
43390.39514,10.75,41.26,▲  ,9,43412.39514,2,SS ,23178000,60,3411,8,3.14,10.65,10.85,3411,2,3,1,2,6,43,5,63
43390.39609,10.8,41.92,▲  ,10,43412.39609,1,SS ,25878000,50,3411,9,3.19,10.7,10.9,3411,2,3,1,2,6,73,5,54
43390.39674,10.65,39.95,▲  ,11,43412.39674,1,S  ,28540000,42.86,3411,10,3.04,10.65,10.75,3411,1,2,1,1,5,33,5,24
43390.39674,10.7,40.6,▲  ,12,43412.39674,1,S  ,31215000,37.5,3411,11,3.09,10.65,10.75,3411,2,6,1,1,6,37,5,62
43390.40262,10.4,36.66,▲  ,15,43412.40262,3,SS ,39015000,27.27,3411,12,2.79,10.1,10.5,3411,2,6,1,10,6,37,5,62
43390.4064,10.05,32.06,▲  ,17,43412.4064,2,B  ,44040000,45.45,3411,13,2.44,10.1,10.5,3411,1,2,1,2,6,65,5,72
43390.41045,10.1,32.72,▲  ,18,43412.41045,1,SS ,46565000,41.67,3411,14,2.49,10,10.15,3411,3,9,1,3,8,141,5,26
43390.4152,10.15,33.38,▲  ,19,43412.4152,1,BB ,49103000,50,3411,15,2.54,10.1,10.25,3411,1,2,3,7,6,25,7,47
43390.41782,10.5,37.98,▲  ,20,43412.41782,1,BB ,51728000,58.33,3411,16,2.89,10.4,10.6,3411,1,1,1,1,5,71,5,33
43390.42986,10.3,35.35,▲  ,21,43412.42986,1,SS ,54303000,53.85,3411,17,2.69,10.25,10.35,3411,1,1,1,1,5,24,6,81
43390.42994,10.3,35.35,▲  ,22,43412.42994,1,BB ,56878000,61.54,3411,18,2.69,10.2,10.55,3411,1,10,1,2,5,41,6,82
43390.44153,10.25,34.69,▲  ,24,43412.44153,2,SS ,62003000,53.33,3410,19,2.64,10.15,10.3,3410,1,2,2,3,5,33,6,43
43390.46722,10.25,34.69,▲  ,25,43412.46722,1,BB ,64565000,60,3410,20,2.64,10.15,10.35,3410,1,10,1,1,5,80,5,33
