,KOSPI 200 콜옵션 1811 310.0,,,,,,,,,,,,,,,,,,,,,,
시간,현재가,등락율,등락구분,거래량,체결시간,체결량,체결성향,거래대금,체결강도,미결제약정수량,체결번호,대비,체결매수호가,체결매도호가,체결미결제약정수량,체결우선호가매도건수,체결우선호가매도잔량,체결우선호가매수건수,체결우선호가매수잔량,체결5호가매도건수,체결5호가매도잔량,체결5호가매수건수,체결5호가매수잔량
43385.375,0.03,-40,▼  ,1296,43412.375,1296,B  ,9720000,0,24733,1,-0.02,0,0,24733,0,0,0,0,0,0,0,0
43385.37513,0.03,-40,▼  ,1541,43412.37513,245,B  ,11558000,0,24733,2,-0.02,0.02,0.03,24733,6,488,49,10086,69,6828,104,29568
43385.37513,0.03,-40,▼  ,1542,43412.37513,1,B  ,11565000,0,24733,3,-0.02,0.02,0.03,24733,6,487,49,10086,69,6827,104,29568
43385.37514,0.03,-40,▼  ,1814,43412.37514,272,B  ,13605000,0,24733,4,-0.02,0.02,0.03,24733,6,215,49,10086,69,6555,104,29568
43385.37516,0.03,-40,▼  ,2029,43412.37516,215,BB ,15218000,0,24733,5,-0.02,0.03,0.04,24733,22,2901,1,79,67,6661,106,29655
43385.37516,0.03,-40,▼  ,2030,43412.37516,1,S  ,15225000,0,24733,6,-0.02,0.03,0.04,24733,22,2901,5,490,67,6661,109,30058
43385.37524,0.03,-40,▼  ,2031,43412.37524,1,S  ,15233000,0,25775,7,-0.02,0.03,0.04,25775,22,2901,5,437,67,6661,109,30005
43385.37559,0.03,-40,▼  ,2032,43412.37559,1,S  ,15240000,0,26263,8,-0.02,0.03,0.04,26263,23,2902,13,601,69,6663,119,30171
43385.37578,0.03,-40,▼  ,2499,43412.37578,467,SS ,18743000,0,26263,9,-0.02,0.02,0.03,26263,1,44,52,10098,68,7408,107,29580
43385.3758,0.03,-40,▼  ,2500,43412.3758,1,S  ,18750000,0,26263,10,-0.02,0.03,0.04,26263,24,3413,2,59,71,7685,109,29639
43385.37593,0.04,-20,▼  ,2510,43412.37593,10,B  ,18850000,0,25941,11,-0.01,0.03,0.04,25941,24,3403,7,101,71,7675,114,29681
43385.37595,0.03,-40,▼  ,2726,43412.37595,216,SS ,20470000,0,25941,12,-0.02,0.02,0.03,25941,1,200,52,10098,68,7554,107,29580
43385.37605,0.03,-40,▼  ,2986,43412.37605,260,SS ,22420000,0,25819,13,-0.02,0.02,0.03,25819,1,156,54,10301,70,8310,107,29746
43385.37606,0.03,-40,▼  ,2987,43412.37606,1,SS ,22428000,0,25819,14,-0.02,0.02,0.03,25819,1,370,54,10301,71,8924,107,29746
43385.37609,0.03,-40,▼  ,2997,43412.37609,10,B  ,22503000,0,25819,15,-0.02,0.02,0.03,25819,1,40,54,10301,73,8997,107,29746
43385.37609,0.03,-40,▼  ,3037,43412.37609,40,BB ,22803000,0,25819,16,-0.02,0.03,0.04,25819,26,3806,1,100,76,9278,108,29846
43385.37609,0.03,-40,▼  ,3086,43412.37609,49,S  ,23170000,0,25819,17,-0.02,0.03,0.04,25819,26,3806,1,51,76,9278,108,29797
43385.37616,0.03,-40,▼  ,3138,43412.37616,52,SS ,23560000,0,25906,18,-0.02,0.02,0.03,25906,1,340,53,10300,75,9302,106,29745
43385.37624,0.03,-40,▼  ,3139,43412.37624,1,B  ,23568000,0,25906,19,-0.02,0.02,0.03,25906,4,27,54,10349,78,8989,107,29794
43385.37628,0.03,-40,▼  ,3159,43412.37628,20,B  ,23718000,0,25906,20,-0.02,0.02,0.03,25906,4,418,54,10349,79,9383,107,29794
43385.37632,0.03,-40,▼  ,3179,43412.37632,20,B  ,23868000,0,25907,21,-0.02,0.02,0.03,25907,3,406,54,9349,78,9371,107,28794
43385.37633,0.03,-40,▼  ,3189,43412.37633,10,B  ,23943000,0,25907,22,-0.02,0.02,0.03,25907,1,418,54,9349,76,9383,107,28794
43385.37634,0.03,-40,▼  ,3190,43412.37634,1,BB ,23950000,0,25907,23,-0.02,0.03,0.04,25907,27,3810,1,114,79,9286,109,29270
43385.37645,0.03,-40,▼  ,3191,43412.37645,1,S  ,23958000,0,25941,24,-0.02,0.03,0.04,25941,28,3860,2,114,80,9336,110,29270
43385.37661,0.03,-40,▼  ,3326,43412.37661,135,SS ,24970000,0,25941,25,-0.02,0.02,0.03,25941,1,265,57,10384,79,10426,110,30401
43385.37678,0.03,-40,▼  ,3329,43412.37678,3,B  ,24993000,0,25953,26,-0.02,0.02,0.03,25953,1,2,58,10394,80,10164,112,30421
43385.37701,0.03,-40,▼  ,3331,43412.37701,2,B  ,25008000,0,25953,27,-0.02,0.02,0.03,25953,2,624,58,10347,81,10786,112,30374
