,KOSPI 200 콜옵션 1811 300.0,,,,,,,,,,,,,,,,,,,,,,
시간,현재가,등락율,등락구분,거래량,체결시간,체결량,체결성향,거래대금,체결강도,미결제약정수량,체결번호,대비,체결매수호가,체결매도호가,체결미결제약정수량,체결우선호가매도건수,체결우선호가매도잔량,체결우선호가매수건수,체결우선호가매수잔량,체결5호가매도건수,체결5호가매도잔량,체결5호가매수건수,체결5호가매수잔량
43392.375,0.02,-33.33,▼  ,3924,43412.375,3924,B  ,19620000,0,41067,1,-0.01,0,0,41067,0,0,0,0,0,0,0,0
43392.3751,0.02,-33.33,▼  ,3932,43412.3751,8,B  ,19660000,0,41067,2,-0.01,0.01,0.02,41067,20,15854,1475,79957,126,67377,1475,79957
43392.37605,0.02,-33.33,▼  ,3933,43412.37605,1,B  ,19665000,0,43131,3,-0.01,0.01,0.02,43131,28,16620,528,72943,142,69432,528,72943
43392.37613,0.02,-33.33,▼  ,3985,43412.37613,52,B  ,19925000,0,43131,4,-0.01,0.01,0.02,43131,28,16588,433,72833,142,69400,433,72833
43392.3762,0.02,-33.33,▼  ,3989,43412.3762,4,B  ,19945000,0,43132,5,-0.01,0.01,0.02,43132,29,16604,423,72851,143,69416,423,72851
43392.37626,0.02,-33.33,▼  ,3990,43412.37626,1,B  ,19950000,0,43132,6,-0.01,0.01,0.02,43132,29,16603,413,72831,143,69415,413,72831
43392.3763,0.02,-33.33,▼  ,3991,43412.3763,1,B  ,19955000,0,43133,7,-0.01,0.01,0.02,43133,29,16602,406,72817,143,69414,406,72817
43392.3764,0.02,-33.33,▼  ,3995,43412.3764,4,B  ,19975000,0,43133,8,-0.01,0.01,0.02,43133,29,16598,389,72782,143,69410,389,72782
43392.37666,0.02,-33.33,▼  ,4035,43412.37666,40,B  ,20175000,0,43138,9,-0.01,0.01,0.02,43138,29,16558,344,72692,143,69370,344,72692
