,KOSPI 200 ─▌┐╔╝╟ 1811 295.0,,,,,,,,,,,,,,,,,,,,,,
╜├░г,╟Ў└ч░б,╡ю╢Ї└▓,╡ю╢Ї▒╕║╨,░┼╖б╖о,├╝░с╜├░г,├╝░с╖о,├╝░с╝║╟т,░┼╖б┤ы▒▌,├╝░с░н╡╡,╣╠░с┴ж╛р┴д╝Ў╖о,├╝░с╣°╚г,┤ы║ё,├╝░с╕┼╝Ў╚г░б,├╝░с╕┼╡╡╚г░б,├╝░с╣╠░с┴ж╛р┴д╝Ў╖о,├╝░с┐ь╝▒╚г░б╕┼╡╡░╟╝Ў,├╝░с┐ь╝▒╚г░б╕┼╡╡└▄╖о,├╝░с┐ь╝▒╚г░б╕┼╝Ў░╟╝Ў,├╝░с┐ь╝▒╚г░б╕┼╝Ў└▄╖о,├╝░с5╚г░б╕┼╡╡░╟╝Ў,├╝░с5╚г░б╕┼╡╡└▄╖о,├╝░с5╚г░б╕┼╝Ў░╟╝Ў,├╝░с5╚г░б╕┼╝Ў└▄╖о
43390.375,0.3,100,бу  ,1358,43412.375,1358,B  ,101850000,0,54905,1,0.15,0,0,54905,0,0,0,0,0,0,0,0
43390.375,0.31,106.67,бу  ,1368,43412.375,10,BB ,102625000,0,54905,2,0.16,0.3,0.32,54905,12,94,1,5,50,566,13,139
43390.375,0.3,100,бу  ,1373,43412.375,5,S  ,103000000,0,54905,3,0.15,0.3,0.32,54905,12,94,1,5,50,566,13,139
43390.375,0.29,93.33,бу  ,1375,43412.375,2,SS ,103145000,0,54905,4,0.14,0.29,0.32,54905,12,94,1,5,50,566,30,994
43390.37501,0.29,93.33,бу  ,1380,43412.37501,5,S  ,103508000,0,54905,5,0.14,0.29,0.32,54905,12,94,1,5,53,642,34,1026
43390.37501,0.28,86.67,бу  ,1385,43412.37501,5,SS ,103858000,0,54905,6,0.13,0.28,0.32,54905,12,94,1,5,53,642,43,1301
43390.37502,0.28,86.67,бу  ,1388,43412.37502,3,S  ,104068000,0,54905,7,0.13,0.28,0.32,54905,12,94,1,2,53,642,44,1302
43390.37506,0.29,93.33,бу  ,1400,43412.37506,12,B  ,104938000,0,55558,8,0.14,0.28,0.32,55558,1,12,2,3,33,353,42,1234
43390.37506,0.3,100,бу  ,1412,43412.37506,12,BB ,105838000,0,55558,9,0.15,0.28,0.31,55558,6,72,2,3,54,566,42,1234
43390.37507,0.3,100,бу  ,1473,43412.37507,61,S  ,110413000,0,55558,10,0.15,0.3,0.31,55558,6,72,1,39,54,566,32,988
43390.37507,0.3,100,бу  ,1512,43412.37507,39,S  ,113338000,0,55558,11,0.15,0.3,0.31,55558,6,72,1,39,54,566,32,988
43390.37508,0.29,93.33,бу  ,1515,43412.37508,3,B  ,113555000,0,55558,12,0.14,0.28,0.29,55558,1,111,5,158,37,757,48,1740
43390.3751,0.28,86.67,бу  ,1516,43412.3751,1,S  ,113625000,0,55558,13,0.13,0.28,0.29,55558,1,105,5,157,43,1200,47,1738
43390.3751,0.29,93.33,бу  ,1518,43412.3751,2,B  ,113770000,0,55558,14,0.14,0.28,0.29,55558,1,103,6,158,43,1198,48,1739
43390.3751,0.29,93.33,бу  ,1525,43412.3751,7,B  ,114278000,0,55558,15,0.14,0.28,0.29,55558,1,96,6,158,43,1191,48,1739
43390.3751,0.29,93.33,бу  ,1532,43412.3751,7,B  ,114785000,0,55558,16,0.14,0.28,0.29,55558,1,89,6,158,43,1184,48,1739
43390.3751,0.29,93.33,бу  ,1533,43412.3751,1,B  ,114858000,0,55558,17,0.14,0.28,0.29,55558,1,88,6,158,43,1183,48,1739
43390.3751,0.29,93.33,бу  ,1536,43412.3751,3,B  ,115075000,0,55558,18,0.14,0.28,0.29,55558,1,85,6,158,43,1180,48,1739
43390.37512,0.29,93.33,бу  ,1574,43412.37512,38,B  ,117830000,0,55558,19,0.14,0.28,0.29,55558,1,68,6,158,43,1163,48,1739
43390.37514,0.29,93.33,бу  ,1575,43412.37514,1,B  ,117903000,0,55558,20,0.14,0.28,0.29,55558,3,159,8,237,49,1402,54,1966
43390.37515,0.28,86.67,бу  ,1619,43412.37515,44,SS ,120983000,0,55558,21,0.13,0.27,0.29,55558,3,159,6,222,49,1402,56,2057
43390.37515,0.28,86.67,бу  ,1629,43412.37515,10,S  ,121683000,0,55558,22,0.13,0.28,0.29,55558,4,169,1,39,50,1412,49,1856
