,KOSPI 200 콜옵션 1811 275.0,,,,,,,,,,,,,,,,,,,,,,
시간,현재가,등락율,등락구분,거래량,체결시간,체결량,체결성향,거래대금,체결강도,미결제약정수량,체결번호,대비,체결매수호가,체결매도호가,체결미결제약정수량,체결우선호가매도건수,체결우선호가매도잔량,체결우선호가매수건수,체결우선호가매수잔량,체결5호가매도건수,체결5호가매도잔량,체결5호가매수건수,체결5호가매수잔량
43390.375,7.84,30.88,▲  ,32,43412.375,32,B  ,62720000,0,7847,1,1.85,0,0,7847,0,0,0,0,0,0,0,0
43390.37501,7.84,30.88,▲  ,62,43412.37501,30,S  ,121520000,0,7847,2,1.85,7.84,8,7847,1,1,3,90,5,75,7,96
43390.37501,7.84,30.88,▲  ,92,43412.37501,30,S  ,180320000,0,7847,3,1.85,7.84,8,7847,1,1,2,60,5,75,6,66
43390.37501,7.84,30.88,▲  ,122,43412.37501,30,S  ,239120000,0,7847,4,1.85,7.84,8,7847,1,1,1,30,5,75,5,36
43390.37501,7.84,30.88,▲  ,152,43412.37501,30,SS ,297920000,0,7847,5,1.85,7.3,8,7847,1,1,1,1,5,75,5,7
43390.37541,7.75,29.38,▲  ,153,43412.37541,1,B  ,299858000,0,7916,6,1.76,7.65,7.75,7916,1,1,1,2,5,19,5,26
43390.37565,7.5,25.21,▲  ,156,43412.37565,3,S  ,305483000,0,7917,7,1.51,7.5,7.55,7917,2,3,1,17,8,32,5,51
43390.37565,7.5,25.21,▲  ,157,43412.37565,1,S  ,307358000,0,7917,8,1.51,7.5,7.55,7917,2,3,1,16,8,32,5,50
43390.37565,7.5,25.21,▲  ,173,43412.37565,16,S  ,337358000,0,7917,9,1.51,7.5,7.55,7917,2,3,1,16,8,32,5,50
43390.37572,7.5,25.21,▲  ,176,43412.37572,3,S  ,342983000,0,7917,10,1.51,7.5,7.59,7917,1,4,1,1,7,30,5,35
43390.37602,7.5,25.21,▲  ,177,43412.37602,1,S  ,344858000,0,7903,11,1.51,7.5,7.55,7903,7,7,1,3,11,29,6,24
43390.37602,7.5,25.21,▲  ,178,43412.37602,1,S  ,346733000,0,7903,12,1.51,7.5,7.55,7903,6,6,1,2,10,28,6,23
43390.37602,7.5,25.21,▲  ,179,43412.37602,1,S  ,348608000,0,7903,13,1.51,7.5,7.55,7903,5,5,1,1,9,27,6,22
