,#QUERYING,,,,,,,,,,,,,,,,,,,,,,
시간,현재가,등락율,등락구분,거래량,체결시간,체결량,체결성향,거래대금,체결강도,미결제약정수량,체결번호,대비,체결매수호가,체결매도호가,체결미결제약정수량,체결우선호가매도건수,체결우선호가매도잔량,체결우선호가매수건수,체결우선호가매수잔량,체결5호가매도건수,체결5호가매도잔량,체결5호가매수건수,체결5호가매수잔량
43398.375,0.03,-50,▼  ,3577,43412.375,3577,B  ,26828000,0,85638,1,-0.03,0,0,85638,0,0,0,0,0,0,0,0
43398.37501,0.03,-50,▼  ,3580,43412.37501,3,S  ,26850000,0,85638,2,-0.03,0.03,0.04,85638,37,7752,61,8819,86,24630,283,87956
43398.37502,0.03,-50,▼  ,3581,43412.37502,1,S  ,26858000,0,85638,3,-0.03,0.03,0.04,85638,37,7752,61,8818,90,25049,283,87955
43398.3751,0.03,-50,▼  ,3598,43412.3751,17,S  ,26985000,0,85638,4,-0.03,0.03,0.04,85638,42,9711,64,9397,96,27576,287,88604
43398.37513,0.03,-50,▼  ,3704,43412.37513,106,S  ,27780000,0,85638,5,-0.03,0.03,0.04,85638,45,14625,63,9371,99,32490,286,88578
43398.37514,0.03,-50,▼  ,3844,43412.37514,140,S  ,28830000,0,84645,6,-0.03,0.03,0.04,84645,45,14625,62,9231,99,32490,285,88438
43398.37517,0.03,-50,▼  ,3848,43412.37517,4,S  ,28860000,0,84645,7,-0.03,0.03,0.04,84645,46,14635,62,9227,100,32500,284,86434
43398.37521,0.03,-50,▼  ,3849,43412.37521,1,S  ,28868000,0,84645,8,-0.03,0.03,0.04,84645,50,15852,61,9225,103,33716,282,84432
43398.37523,0.03,-50,▼  ,3887,43412.37523,38,S  ,29153000,0,84645,9,-0.03,0.03,0.04,84645,52,15856,61,9187,105,33720,283,84399
43398.37523,0.03,-50,▼  ,3893,43412.37523,6,S  ,29198000,0,84645,10,-0.03,0.03,0.04,84645,52,15856,61,9181,105,33720,283,84393
43398.37529,0.03,-50,▼  ,3903,43412.37529,10,S  ,29273000,0,84535,11,-0.03,0.03,0.04,84535,53,15956,61,9092,107,33880,284,84364
43398.3753,0.03,-50,▼  ,3905,43412.3753,2,S  ,29288000,0,84535,12,-0.03,0.03,0.04,84535,53,15956,61,9090,107,33880,284,84362
43398.3753,0.03,-50,▼  ,4045,43412.3753,140,S  ,30338000,0,84535,13,-0.03,0.03,0.04,84535,53,15956,59,8950,107,33880,282,84222
43398.37531,0.03,-50,▼  ,4055,43412.37531,10,S  ,30413000,0,84535,14,-0.03,0.03,0.04,84535,53,15956,60,8960,107,33880,283,84232
43398.37532,0.03,-50,▼  ,4065,43412.37532,10,S  ,30488000,0,84535,15,-0.03,0.03,0.04,84535,53,15956,60,8950,107,33880,283,84222
43398.37534,0.03,-50,▼  ,4075,43412.37534,10,S  ,30563000,0,84535,16,-0.03,0.03,0.04,84535,54,16124,60,8940,108,34048,283,84212
43398.37534,0.03,-50,▼  ,4077,43412.37534,2,S  ,30578000,0,84535,17,-0.03,0.03,0.04,84535,54,16124,60,8938,108,34048,283,84210
