,KOSPI 200 콜옵션 1811 295.0,,,,,,,,,,,,,,,,,,,,,,
시간,현재가,등락율,등락구분,거래량,체결시간,체결량,체결성향,거래대금,체결강도,미결제약정수량,체결번호,대비,체결매수호가,체결매도호가,체결미결제약정수량,체결우선호가매도건수,체결우선호가매도잔량,체결우선호가매수건수,체결우선호가매수잔량,체결5호가매도건수,체결5호가매도잔량,체결5호가매수건수,체결5호가매수잔량
43392.375,0.06,-33.33,▼  ,849,43412.375,849,B  ,12735000,0,64262,1,-0.03,0,0,64262,0,0,0,0,0,0,0,0
43392.37505,0.06,-33.33,▼  ,1049,43412.37505,200,B  ,15735000,0,64262,2,-0.03,0.05,0.06,64262,32,4148,43,8916,89,13653,207,81528
43392.37512,0.06,-33.33,▼  ,1054,43412.37512,5,B  ,15810000,0,64262,3,-0.03,0.05,0.06,64262,36,5518,44,9185,96,15432,214,82568
43392.37514,0.06,-33.33,▼  ,1056,43412.37514,2,B  ,15840000,0,64262,4,-0.03,0.05,0.06,64262,39,5737,45,9315,104,16211,220,86788
43392.37514,0.06,-33.33,▼  ,1061,43412.37514,5,B  ,15915000,0,64262,5,-0.03,0.05,0.06,64262,39,5732,45,9315,104,16206,221,87788
43392.37515,0.06,-33.33,▼  ,1066,43412.37515,5,B  ,15990000,0,64262,6,-0.03,0.05,0.06,64262,39,5727,45,9315,104,16201,222,88788
43392.37515,0.06,-33.33,▼  ,1071,43412.37515,5,B  ,16065000,0,64262,7,-0.03,0.05,0.06,64262,39,5722,46,9405,104,16196,223,88878
43392.37515,0.06,-33.33,▼  ,1076,43412.37515,5,B  ,16140000,0,64262,8,-0.03,0.05,0.06,64262,39,5717,46,9405,104,16191,223,88878
43392.3752,0.06,-33.33,▼  ,1077,43412.3752,1,B  ,16155000,0,64824,9,-0.03,0.05,0.06,64824,39,5716,48,10068,104,16190,226,90137
43392.37522,0.06,-33.33,▼  ,1081,43412.37522,4,B  ,16215000,0,64824,10,-0.03,0.05,0.06,64824,44,6018,49,10091,111,17687,229,91359
43392.37538,0.05,-44.44,▼  ,1085,43412.37538,4,S  ,16265000,0,64820,11,-0.04,0.05,0.06,64820,49,6630,52,10341,117,19486,236,92531
43392.37538,0.06,-33.33,▼  ,1101,43412.37538,16,B  ,16505000,0,64820,12,-0.03,0.05,0.06,64820,51,6628,52,10344,119,19484,236,92534
43392.37544,0.05,-44.44,▼  ,1102,43412.37544,1,S  ,16518000,0,64820,13,-0.04,0.05,0.06,64820,51,6897,53,10548,123,20732,240,93279
43392.37545,0.06,-33.33,▼  ,1103,43412.37545,1,B  ,16533000,0,64824,14,-0.03,0.05,0.06,64824,52,6897,53,10559,124,20732,240,93290
43392.37559,0.06,-33.33,▼  ,1105,43412.37559,2,B  ,16563000,0,64825,15,-0.03,0.05,0.06,64825,54,7096,51,10353,126,20931,238,93084
43392.37563,0.05,-44.44,▼  ,1107,43412.37563,2,S  ,16588000,0,64825,16,-0.04,0.05,0.06,64825,56,7297,49,9315,128,21132,236,92046
43392.37571,0.06,-33.33,▼  ,1111,43412.37571,4,B  ,16648000,0,64825,17,-0.03,0.05,0.06,64825,61,9565,51,9390,136,23499,240,92175
43392.37575,0.05,-44.44,▼  ,1112,43412.37575,1,S  ,16660000,0,64825,18,-0.04,0.05,0.06,64825,61,9565,51,9888,136,23499,240,92673
43392.37578,0.05,-44.44,▼  ,1113,43412.37578,1,S  ,16673000,0,64825,19,-0.04,0.05,0.06,64825,61,9565,51,9887,136,23499,240,92672
43392.37578,0.05,-44.44,▼  ,1123,43412.37578,10,S  ,16798000,0,64825,20,-0.04,0.05,0.06,64825,62,9566,52,9878,137,23500,241,92663
43392.37579,0.05,-44.44,▼  ,1128,43412.37579,5,S  ,16860000,0,64825,21,-0.04,0.05,0.06,64825,63,9576,52,9873,138,23510,241,92658
43392.37579,0.05,-44.44,▼  ,1129,43412.37579,1,S  ,16873000,0,64825,22,-0.04,0.05,0.06,64825,63,9576,52,9872,138,23510,241,92657
43392.37579,0.06,-33.33,▼  ,1132,43412.37579,3,B  ,16918000,0,64825,23,-0.03,0.05,0.06,64825,66,10079,52,9872,141,24013,241,92657
43392.37581,0.06,-33.33,▼  ,1134,43412.37581,2,B  ,16948000,0,64825,24,-0.03,0.05,0.06,64825,66,10077,54,9882,141,24011,243,92667
43392.37584,0.05,-44.44,▼  ,1137,43412.37584,3,S  ,16985000,0,64825,25,-0.04,0.05,0.06,64825,66,10077,58,10069,141,24011,261,93007
43392.37584,0.05,-44.44,▼  ,1138,43412.37584,1,S  ,16998000,0,64825,26,-0.04,0.05,0.06,64825,67,10080,58,10068,142,24014,261,93006
43392.37586,0.05,-44.44,▼  ,1140,43412.37586,2,S  ,17023000,0,64825,27,-0.04,0.05,0.06,64825,68,10081,62,10116,143,24015,265,93054
43392.37595,0.05,-44.44,▼  ,1141,43412.37595,1,S  ,17035000,0,64835,28,-0.04,0.05,0.06,64835,71,10093,64,10167,146,24027,303,93555
43392.37596,0.05,-44.44,▼  ,1142,43412.37596,1,S  ,17048000,0,64835,29,-0.04,0.05,0.06,64835,72,10094,69,10225,147,24028,309,93643
43392.3761,0.06,-33.33,▼  ,1143,43412.3761,1,B  ,17063000,0,64835,30,-0.03,0.05,0.06,64835,74,9598,70,10248,149,23532,312,93726
43392.3761,0.06,-33.33,▼  ,1144,43412.3761,1,B  ,17078000,0,64835,31,-0.03,0.05,0.06,64835,73,9004,70,10248,148,22938,312,93726
43392.37611,0.06,-33.33,▼  ,1145,43412.37611,1,B  ,17093000,0,64835,32,-0.03,0.05,0.06,64835,73,9003,70,10248,148,22937,312,93726
43392.37611,0.06,-33.33,▼  ,1146,43412.37611,1,B  ,17108000,0,64835,33,-0.03,0.05,0.06,64835,73,9002,70,10248,148,22936,312,93726
43392.37612,0.06,-33.33,▼  ,1147,43412.37612,1,B  ,17123000,0,64835,34,-0.03,0.05,0.06,64835,73,9001,70,10248,148,22935,312,93726
43392.37615,0.06,-33.33,▼  ,1148,43412.37615,1,B  ,17138000,0,64830,35,-0.03,0.05,0.06,64830,75,9611,69,10225,150,23545,311,93703
43392.37617,0.05,-44.44,▼  ,1149,43412.37617,1,S  ,17150000,0,64830,36,-0.04,0.05,0.06,64830,75,9606,71,10226,150,23540,313,93704
