,KOSPI 200 콜옵션 1811 305.0,,,,,,,,,,,,,,,,,,,,,,
시간,현재가,등락율,등락구분,거래량,체결시간,체결량,체결성향,거래대금,체결강도,미결제약정수량,체결번호,대비,체결매수호가,체결매도호가,체결미결제약정수량,체결우선호가매도건수,체결우선호가매도잔량,체결우선호가매수건수,체결우선호가매수잔량,체결5호가매도건수,체결5호가매도잔량,체결5호가매수건수,체결5호가매수잔량
43390.375,0.04,100,▲  ,250,43412.375,250,B  ,2500000,0,30872,1,0.02,0,0,30872,0,0,0,0,0,0,0,0
43390.37639,0.03,50,▲  ,258,43412.37639,8,S  ,2560000,0,30530,2,0.01,0.03,0.04,30530,33,3019,6,2458,76,7138,105,63154
43390.3764,0.03,50,▲  ,716,43412.3764,458,SS ,5995000,0,30530,3,0.01,0.02,0.03,30530,1,1542,47,26723,74,8905,99,60696
43390.3765,0.03,50,▲  ,717,43412.3765,1,BB ,6003000,0,30590,4,0.01,0.02,0.04,30590,35,3164,47,26723,82,7643,99,60696
43390.37653,0.03,50,▲  ,721,43412.37653,4,S  ,6033000,0,30590,5,0.01,0.03,0.04,30590,35,3164,2,822,82,7643,103,61618
43390.37654,0.03,50,▲  ,722,43412.37654,1,S  ,6040000,0,30590,6,0.01,0.03,0.04,30590,34,3163,2,821,81,7642,103,61617
43390.37655,0.03,50,▲  ,723,43412.37655,1,S  ,6048000,0,30590,7,0.01,0.03,0.04,30590,34,3163,1,452,81,7642,102,61248
43390.37659,0.03,50,▲  ,724,43412.37659,1,S  ,6055000,0,30590,8,0.01,0.03,0.04,30590,34,3163,1,451,81,7642,102,61247
43390.3766,0.03,50,▲  ,725,43412.3766,1,S  ,6063000,0,30590,9,0.01,0.03,0.04,30590,34,3163,1,450,81,7642,102,61246
43390.3766,0.03,50,▲  ,726,43412.3766,1,S  ,6070000,0,30585,10,0.01,0.03,0.04,30585,34,3163,2,471,81,7642,103,61267
43390.37661,0.03,50,▲  ,727,43412.37661,1,S  ,6078000,0,30585,11,0.01,0.03,0.04,30585,34,3163,1,448,81,7642,102,61244
43390.37662,0.03,50,▲  ,728,43412.37662,1,S  ,6085000,0,30585,12,0.01,0.03,0.04,30585,34,3163,1,447,81,7642,102,61243
43390.37662,0.03,50,▲  ,729,43412.37662,1,S  ,6093000,0,30585,13,0.01,0.03,0.04,30585,34,3163,1,446,81,7642,102,61242
