,KOSPI 200 콜옵션 1811 267.5,,,,,,,,,,,,,,,,,,,,,,
시간,현재가,등락율,등락구분,거래량,체결시간,체결량,체결성향,거래대금,체결강도,미결제약정수량,체결번호,대비,체결매수호가,체결매도호가,체결미결제약정수량,체결우선호가매도건수,체결우선호가매도잔량,체결우선호가매수건수,체결우선호가매수잔량,체결5호가매도건수,체결5호가매도잔량,체결5호가매수건수,체결5호가매수잔량
43389.46627,13.05,12.99,▲  ,1,43412.46627,1,BB ,3263000,0,76,1,1.5,0,0,76,1,10,1,10,0,0,0,0
43389.56091,11.1,-3.9,▼  ,2,43412.56091,1,BB ,6038000,1,77,2,-0.45,10.85,11.35,77,1,10,1,10,5,95,5,62
43389.56213,11.1,-3.9,▼  ,3,43412.56213,1,BB ,8813000,2,78,3,-0.45,11,11.2,78,1,1,2,5,5,47,6,66
43389.56323,11.1,-3.9,▼  ,4,43412.56323,1,BB ,11588000,3,78,4,-0.45,11,11.3,78,1,1,2,5,5,56,6,66
43389.56359,11.15,-3.46,▼  ,5,43412.56359,1,SS ,14375000,300,78,5,-0.4,11.1,11.25,78,2,11,1,1,6,57,5,62
43389.56378,11.1,-3.9,▼  ,6,43412.56378,1,SS ,17150000,150,77,6,-0.45,11,11.25,77,3,12,1,1,7,58,5,62
43389.56413,11.1,-3.9,▼  ,7,43412.56413,1,BB ,19925000,200,76,7,-0.45,11.05,11.25,76,2,11,1,4,6,57,5,65
43389.56475,11.3,-2.16,▼  ,8,43412.56475,1,BB ,22750000,250,76,8,-0.25,11.2,11.45,76,1,10,1,1,5,95,5,23
43389.56536,11.25,-2.6,▼  ,9,43412.56536,1,BB ,25563000,300,76,9,-0.3,11.15,11.4,76,1,1,1,1,5,86,5,62
43389.5667,11.25,-2.6,▼  ,10,43412.5667,1,BB ,28375000,350,77,10,-0.3,11.15,11.35,77,1,1,1,1,5,86,5,62
43389.56791,11.3,-2.16,▼  ,11,43412.56791,1,BB ,31200000,400,77,11,-0.25,11.15,11.4,77,1,1,1,1,5,86,5,62
43389.5697,11.3,-2.16,▼  ,12,43412.5697,1,BB ,34025000,450,78,12,-0.25,11.2,11.4,78,1,1,1,1,5,86,5,32
43389.59166,11.65,0.87,▲  ,13,43412.59166,1,BB ,36938000,500,78,13,0.1,11.55,11.8,78,1,1,2,5,6,81,6,75
43389.59332,11.65,0.87,▲  ,14,43412.59332,1,BB ,39850000,550,78,14,0.1,11.55,11.85,78,1,10,2,4,6,90,6,74
43389.62765,11.2,-3.03,▼  ,15,43412.62765,1,SS ,42650000,366.67,78,15,-0.35,11.1,11.3,78,1,1,1,1,5,71,6,63
43389.63214,11,-4.76,▼  ,16,43412.63214,1,S  ,45400000,275,78,16,-0.55,11.1,11.3,78,1,1,1,1,6,81,5,71
43389.63662,11,-4.76,▼  ,17,43412.63662,1,BB ,48150000,300,79,17,-0.55,10.9,11.15,79,1,10,1,4,6,140,5,65
43389.63734,11,-4.76,▼  ,18,43412.63734,1,BB ,50900000,325,79,18,-0.55,10.95,11.15,79,1,4,1,4,6,75,5,35
43389.6384,11,-4.76,▼  ,19,43412.6384,1,BB ,53650000,350,80,19,-0.55,10.9,11.1,80,1,1,1,1,6,81,5,71
