,KOSPI 200 콜옵션 1811 305.0,,,,,,,,,,,,,,,,,,,,,,
시간,현재가,등락율,등락구분,거래량,체결시간,체결량,체결성향,거래대금,체결강도,미결제약정수량,체결번호,대비,체결매수호가,체결매도호가,체결미결제약정수량,체결우선호가매도건수,체결우선호가매도잔량,체결우선호가매수건수,체결우선호가매수잔량,체결5호가매도건수,체결5호가매도잔량,체결5호가매수건수,체결5호가매수잔량
43385.375,0.06,-40,▼  ,471,43412.375,471,B  ,7065000,0,20672,1,-0.04,0,0,20672,0,0,0,0,0,0,0,0
43385.37502,0.07,-30,▼  ,472,43412.37502,1,B  ,7083000,0,20672,2,-0.03,0.06,0.07,20672,13,1478,18,308,49,3464,86,12300
43385.37573,0.07,-30,▼  ,473,43412.37573,1,B  ,7100000,0,20850,3,-0.03,0.06,0.07,20850,19,1696,38,913,65,4262,109,15458
43385.37583,0.07,-30,▼  ,474,43412.37583,1,B  ,7118000,0,20850,4,-0.03,0.06,0.07,20850,19,1695,40,944,65,4261,111,15489
43385.37584,0.07,-30,▼  ,475,43412.37584,1,B  ,7135000,0,20850,5,-0.03,0.06,0.07,20850,19,1694,40,944,65,4260,111,15489
43385.37595,0.07,-30,▼  ,476,43412.37595,1,B  ,7153000,0,20850,6,-0.03,0.06,0.07,20850,20,1695,41,949,65,4255,112,15494
43385.37604,0.07,-30,▼  ,536,43412.37604,60,B  ,8203000,0,20850,7,-0.03,0.06,0.07,20850,22,1968,42,1281,69,5523,118,16493
43385.37619,0.07,-30,▼  ,537,43412.37619,1,B  ,8220000,0,20790,8,-0.03,0.06,0.07,20790,22,1967,46,1285,69,5522,118,16493
43385.37619,0.07,-30,▼  ,541,43412.37619,4,B  ,8290000,0,20790,9,-0.03,0.06,0.07,20790,22,1963,46,1285,69,5518,118,16493
43385.37657,0.07,-30,▼  ,701,43412.37657,160,B  ,11090000,0,20790,10,-0.03,0.06,0.07,20790,22,1327,46,1285,69,4882,117,16472
43385.37657,0.07,-30,▼  ,733,43412.37657,32,B  ,11650000,0,20790,11,-0.03,0.06,0.07,20790,21,1295,47,1343,68,4850,118,16530
43385.37657,0.07,-30,▼  ,757,43412.37657,24,B  ,12070000,0,20790,12,-0.03,0.06,0.07,20790,21,1271,46,1319,68,4826,117,16506
43385.37657,0.07,-30,▼  ,784,43412.37657,27,B  ,12543000,0,20790,13,-0.03,0.06,0.07,20790,21,1244,45,1292,68,4799,116,16479
43385.37657,0.07,-30,▼  ,803,43412.37657,19,B  ,12875000,0,20790,14,-0.03,0.06,0.07,20790,21,1225,44,1273,68,4780,115,16460
43385.37657,0.07,-30,▼  ,825,43412.37657,22,B  ,13260000,0,20790,15,-0.03,0.06,0.07,20790,21,1203,43,1251,68,4758,114,16438
43385.37657,0.07,-30,▼  ,921,43412.37657,96,B  ,14940000,0,20790,16,-0.03,0.06,0.07,20790,21,1107,42,1155,68,4662,113,16342
43385.37659,0.07,-30,▼  ,1186,43412.37659,265,B  ,19578000,0,20790,17,-0.03,0.06,0.07,20790,20,842,43,1166,67,4397,114,16353
43385.37659,0.07,-30,▼  ,1451,43412.37659,265,B  ,24215000,0,20790,18,-0.03,0.06,0.07,20790,19,577,43,1166,66,4132,114,16353
43385.37659,0.07,-30,▼  ,1512,43412.37659,61,B  ,25283000,0,20790,19,-0.03,0.06,0.07,20790,19,516,43,1166,66,4071,114,16353
43385.37659,0.07,-30,▼  ,1777,43412.37659,265,B  ,29920000,0,20790,20,-0.03,0.06,0.07,20790,18,251,41,1105,65,3806,112,16292
43385.37659,0.07,-30,▼  ,2025,43412.37659,248,B  ,34260000,0,20790,21,-0.03,0.06,0.07,20790,2,3,41,1105,49,3558,112,16292
43385.37659,0.07,-30,▼  ,2028,43412.37659,3,BB ,34313000,0,20790,22,-0.03,0.07,0.08,20790,17,1978,1,262,56,3719,103,13532
43385.3766,0.07,-30,▼  ,2283,43412.3766,255,S  ,38775000,0,20790,23,-0.03,0.07,0.08,20790,17,1978,2,695,57,3967,104,13971
43385.37661,0.07,-30,▼  ,2538,43412.37661,255,S  ,43238000,0,20790,24,-0.03,0.07,0.08,20790,17,1978,2,440,57,3967,104,13716
43385.37661,0.07,-30,▼  ,2793,43412.37661,255,S  ,47700000,0,20790,25,-0.03,0.07,0.08,20790,17,1978,2,185,57,3967,104,13461
43385.37661,0.07,-30,▼  ,2978,43412.37661,185,SS ,50938000,0,20790,26,-0.03,0.06,0.07,20790,1,70,41,1111,49,3873,112,16298
43385.37666,0.07,-30,▼  ,3008,43412.37666,30,SS ,51463000,0,20790,27,-0.03,0.06,0.07,20790,1,170,41,1111,51,3977,112,16298
43385.37667,0.07,-30,▼  ,3009,43412.37667,1,B  ,51480000,0,20790,28,-0.03,0.06,0.07,20790,2,452,40,1110,52,4259,111,16297
43385.37676,0.07,-30,▼  ,3016,43412.37676,7,B  ,51603000,0,20893,29,-0.03,0.06,0.07,20893,3,694,40,1140,54,4494,110,16175
43385.37685,0.07,-30,▼  ,3020,43412.37685,4,B  ,51673000,0,20893,30,-0.03,0.06,0.07,20893,6,696,40,1140,61,4504,111,16177
43385.37688,0.07,-30,▼  ,3027,43412.37688,7,B  ,51795000,0,20893,31,-0.03,0.06,0.07,20893,6,689,39,1133,62,4499,110,16170
43385.3773,0.07,-30,▼  ,3028,43412.3773,1,B  ,51813000,0,20893,32,-0.03,0.06,0.07,20893,12,1484,37,1355,74,8309,117,19868
43385.37735,0.06,-40,▼  ,3334,43412.37735,306,SS ,56403000,0,20893,33,-0.04,0.05,0.06,20893,1,94,25,5602,61,8063,91,25754
43385.37738,0.06,-40,▼  ,3335,43412.37738,1,B  ,56418000,0,20893,34,-0.04,0.05,0.06,20893,3,622,26,5612,66,8959,92,25764
43385.37747,0.06,-40,▼  ,3414,43412.37747,79,B  ,57603000,0,20871,35,-0.04,0.05,0.06,20871,2,121,26,5612,71,9611,92,25764
43385.37748,0.06,-40,▼  ,3492,43412.37748,78,B  ,58773000,0,20871,36,-0.04,0.05,0.06,20871,1,43,26,5612,70,9533,92,25764
43385.37749,0.06,-40,▼  ,3535,43412.37749,43,BB ,59418000,0,20871,37,-0.04,0.06,0.07,20871,20,3641,1,437,83,9682,82,18960
43385.37756,0.06,-40,▼  ,3537,43412.37756,2,S  ,59448000,0,20772,38,-0.04,0.06,0.07,20772,20,3641,2,436,83,9682,81,17279
43385.37756,0.06,-40,▼  ,3539,43412.37756,2,S  ,59478000,0,20772,39,-0.04,0.06,0.07,20772,20,3641,3,435,83,9682,82,17278
43385.37756,0.06,-40,▼  ,3541,43412.37756,2,S  ,59508000,0,20772,40,-0.04,0.06,0.07,20772,20,3641,3,433,83,9682,82,17276
