,KOSPI 200 콜옵션 1811 250.0,,,,,,,,,,,,,,,,,,,,,,
시간,현재가,등락율,등락구분,거래량,체결시간,체결량,체결성향,거래대금,체결강도,미결제약정수량,체결번호,대비,체결매수호가,체결매도호가,체결미결제약정수량,체결우선호가매도건수,체결우선호가매도잔량,체결우선호가매수건수,체결우선호가매수잔량,체결5호가매도건수,체결5호가매도잔량,체결5호가매수건수,체결5호가매수잔량
43398.37619,16.45,-24.37,▼  ,1,43412.37619,1,BB ,4113000,0,259,1,-5.3,0,0,259,1,2,1,10,0,0,0,0
43398.38148,17,-21.84,▼  ,2,43412.38148,1,BB ,8363000,1,260,2,-4.75,16.75,17.2,260,1,2,1,1,5,9,5,55
43398.38153,17,-21.84,▼  ,3,43412.38153,1,BB ,12613000,2,260,3,-4.75,16.75,17.15,260,1,1,1,1,5,9,5,55
43398.38253,17.35,-20.23,▼  ,4,43412.38253,1,BB ,16950000,3,262,4,-4.4,16,17.7,262,1,2,1,2,5,10,5,91
43398.38372,17.1,-21.38,▼  ,5,43412.38372,1,BB ,21225000,4,262,5,-4.65,16,17.5,262,1,2,1,2,5,10,5,86
43398.38466,17.15,-21.15,▼  ,6,43412.38466,1,BB ,25513000,5,263,6,-4.6,15.05,21.15,263,1,25,1,25,4,86,5,85
43398.38595,17,-21.84,▼  ,7,43412.38595,1,SS ,29763000,500,264,7,-4.75,16.75,17.5,264,2,11,1,10,6,97,5,89
43398.38701,17.2,-20.92,▼  ,8,43412.38701,1,SS ,34063000,250,263,8,-4.55,17.1,17.5,263,2,11,1,1,6,97,5,57
43398.38867,16.7,-23.22,▼  ,9,43412.38867,1,BB ,38238000,300,262,9,-5.05,16.35,16.75,262,1,1,1,10,7,8,5,91
43398.38878,16.6,-23.68,▼  ,10,43412.38878,1,BB ,42388000,350,262,10,-5.15,16.35,16.65,262,1,1,1,1,5,5,5,82
43398.3888,16.65,-23.45,▼  ,11,43412.3888,1,BB ,46550000,400,262,11,-5.1,16.35,16.7,262,1,1,1,1,5,5,5,82
43398.38883,16.65,-23.45,▼  ,12,43412.38883,1,BB ,50713000,450,262,12,-5.1,16.45,16.7,262,1,1,1,1,5,5,5,80
43398.38885,16.65,-23.45,▼  ,13,43412.38885,1,BB ,54875000,500,262,13,-5.1,16.45,16.7,262,1,1,1,1,5,5,5,80
43398.38903,16.45,-24.37,▼  ,14,43412.38903,1,BB ,58988000,550,261,14,-5.3,16.25,16.5,261,1,1,1,1,6,6,5,65
43398.38905,16.45,-24.37,▼  ,15,43412.38905,1,BB ,63100000,600,261,15,-5.3,16.25,16.5,261,1,1,1,1,6,6,5,65
43398.38907,16.45,-24.37,▼  ,16,43412.38907,1,BB ,67213000,650,261,16,-5.3,16.25,16.5,261,1,1,1,1,6,6,5,65
43398.38918,16.35,-24.83,▼  ,17,43412.38918,1,BB ,71300000,700,261,17,-5.4,16.25,16.4,261,1,1,1,1,6,6,5,88
43398.3892,16.35,-24.83,▼  ,18,43412.3892,1,BB ,75388000,750,261,18,-5.4,16.25,16.4,261,1,1,1,1,6,6,5,88
43398.38922,16.4,-24.6,▼  ,19,43412.38922,1,BB ,79488000,800,261,19,-5.35,16.25,16.45,261,1,1,1,1,5,5,5,88
43398.38926,16.45,-24.37,▼  ,20,43412.38926,1,BB ,83600000,850,261,20,-5.3,16.25,16.55,261,1,1,1,1,5,5,5,88
43398.392,16.6,-23.68,▼  ,21,43412.392,1,BB ,87750000,900,261,21,-5.15,16.5,16.7,261,1,1,1,1,5,65,5,9
43398.39508,16.45,-24.37,▼  ,22,43412.39508,1,BB ,91863000,950,262,22,-5.3,16.3,16.65,262,1,2,1,1,6,60,5,65
43398.39618,16.45,-24.37,▼  ,23,43412.39618,1,BB ,95975000,1000,262,23,-5.3,16.4,16.55,262,1,1,1,1,6,59,5,17
43398.39685,16.4,-24.6,▼  ,24,43412.39685,1,BB ,100075000,1050,263,24,-5.35,16.3,16.5,263,1,1,1,1,6,59,5,65
43398.39738,16.5,-24.14,▼  ,25,43412.39738,1,BB ,104200000,1100,263,25,-5.25,16.4,16.6,263,1,1,1,1,6,59,5,17
43398.39828,16.6,-23.68,▼  ,26,43412.39828,1,BB ,108350000,1150,264,26,-5.15,16.5,16.7,264,1,1,1,1,6,59,5,9
43398.39983,16.6,-23.68,▼  ,27,43412.39983,1,BB ,112500000,1200,265,27,-5.15,16.5,16.85,265,1,2,1,1,6,60,5,9
43398.40145,16.4,-24.6,▼  ,28,43412.40145,1,BB ,116600000,1250,266,28,-5.35,16.3,16.5,266,1,1,1,1,6,59,5,65
43398.40231,16.25,-25.29,▼  ,29,43412.40231,1,BB ,120663000,1300,267,29,-5.5,16.1,16.45,267,1,10,1,1,5,18,5,88
43398.40295,16.5,-24.14,▼  ,30,43412.40295,1,BB ,124788000,1350,268,30,-5.25,16.4,16.65,268,1,2,1,1,6,60,5,9
43398.40367,16.6,-23.68,▼  ,31,43412.40367,1,BB ,128938000,1400,269,31,-5.15,16.5,16.7,269,1,1,1,1,6,59,5,9
43398.40524,16.8,-22.76,▼  ,32,43412.40524,1,BB ,133138000,1450,270,32,-4.95,16.7,16.9,270,1,1,1,1,5,17,5,9
43398.40612,16.7,-23.22,▼  ,33,43412.40612,1,BB ,137313000,1500,271,33,-5.05,16.6,16.8,271,1,1,1,1,5,17,5,17
43398.4072,16.8,-22.76,▼  ,34,43412.4072,1,BB ,141513000,1550,270,34,-4.95,16.7,16.95,270,1,2,1,1,6,68,5,9
43398.40781,16.85,-22.53,▼  ,35,43412.40781,1,BB ,145725000,1600,271,35,-4.9,16.7,17.05,271,1,2,1,1,6,68,5,9
43398.40888,17.1,-21.38,▼  ,36,43412.40888,1,BB ,150000000,1650,272,36,-4.65,16.95,17.25,272,1,2,1,2,5,89,5,9
43398.40973,17.2,-20.92,▼  ,37,43412.40973,1,BB ,154300000,1700,273,37,-4.55,17.1,17.35,273,1,2,1,1,4,87,5,9
43398.42441,15.75,-27.59,▼  ,38,43412.42441,1,BB ,158238000,1750,274,38,-6,15.4,16.05,274,1,2,1,10,5,66,5,91
43398.4302,15.75,-27.59,▼  ,39,43412.4302,1,SS ,162175000,1166.67,275,39,-6,15.6,15.9,275,1,1,1,2,5,17,5,81
43398.44215,15.7,-27.82,▼  ,40,43412.44215,1,BB ,166100000,1200,276,40,-6.05,15.6,15.8,276,1,1,1,1,5,17,5,57
43398.44341,15.65,-28.05,▼  ,41,43412.44341,1,SS ,170013000,900,276,41,-6.1,15.45,15.9,276,1,1,1,2,5,57,5,81
