,KOSPI 200 콜옵션 1811 300.0,,,,,,,,,,,,,,,,,,,,,,
시간,현재가,등락율,등락구분,거래량,체결시간,체결량,체결성향,거래대금,체결강도,미결제약정수량,체결번호,대비,체결매수호가,체결매도호가,체결미결제약정수량,체결우선호가매도건수,체결우선호가매도잔량,체결우선호가매수건수,체결우선호가매수잔량,체결5호가매도건수,체결5호가매도잔량,체결5호가매수건수,체결5호가매수잔량
43389.375,0.07,16.67,▲  ,268,43412.375,268,B  ,4690000,0,39747,1,0.01,0,0,39747,0,0,0,0,0,0,0,0
43389.37521,0.07,16.67,▲  ,1268,43412.37521,1000,B  ,22190000,0,40888,2,0.01,0.06,0.07,40888,3,25,31,7321,70,8976,151,65479
43389.37521,0.07,16.67,▲  ,1269,43412.37521,1,B  ,22208000,0,40888,3,0.01,0.06,0.07,40888,3,24,31,7321,70,8975,151,65479
43389.37522,0.07,16.67,▲  ,1335,43412.37522,66,BB ,23363000,0,40888,4,0.01,0.07,0.08,40888,24,6416,1,134,76,9221,134,48895
43389.37522,0.07,16.67,▲  ,1355,43412.37522,20,S  ,23713000,0,40888,5,0.01,0.07,0.08,40888,23,6381,1,114,75,9186,135,48910
43389.37522,0.07,16.67,▲  ,1380,43412.37522,25,S  ,24150000,0,40888,6,0.01,0.07,0.08,40888,23,6381,1,89,75,9186,135,48885
43389.37522,0.07,16.67,▲  ,1381,43412.37522,1,S  ,24168000,0,40888,7,0.01,0.07,0.08,40888,23,6381,1,88,75,9186,135,48884
43389.37522,0.07,16.67,▲  ,1383,43412.37522,2,S  ,24203000,0,40888,8,0.01,0.07,0.08,40888,23,6381,1,86,75,9186,135,48882
43389.37522,0.07,16.67,▲  ,1393,43412.37522,10,S  ,24378000,0,40888,9,0.01,0.07,0.08,40888,23,6381,1,76,75,9186,135,48872
43389.37522,0.07,16.67,▲  ,1403,43412.37522,10,S  ,24553000,0,40888,10,0.01,0.07,0.08,40888,23,6381,1,66,75,9186,135,48862
43389.37522,0.07,16.67,▲  ,1404,43412.37522,1,S  ,24570000,0,40888,11,0.01,0.07,0.08,40888,23,6381,1,65,75,9186,135,48861
43389.37527,0.07,16.67,▲  ,1405,43412.37527,1,S  ,24588000,0,40888,12,0.01,0.07,0.08,40888,23,6381,5,584,76,9406,139,49380
43389.37527,0.07,16.67,▲  ,1451,43412.37527,46,S  ,25393000,0,40888,13,0.01,0.07,0.08,40888,24,7381,5,538,77,10406,139,49334
43389.37528,0.07,16.67,▲  ,1581,43412.37528,130,S  ,27668000,0,40888,14,0.01,0.07,0.08,40888,25,7382,3,408,77,10277,137,49204
43389.37531,0.07,16.67,▲  ,1591,43412.37531,10,S  ,27843000,0,41790,15,0.01,0.07,0.08,41790,24,7372,4,399,77,10268,138,49195
