,KOSPI 200 콜옵션 1811 275.0,,,,,,,,,,,,,,,,,,,,,,
시간,현재가,등락율,등락구분,거래량,체결시간,체결량,체결성향,거래대금,체결강도,미결제약정수량,체결번호,대비,체결매수호가,체결매도호가,체결미결제약정수량,체결우선호가매도건수,체결우선호가매도잔량,체결우선호가매수건수,체결우선호가매수잔량,체결5호가매도건수,체결5호가매도잔량,체결5호가매수건수,체결5호가매수잔량
43388.37525,6.75,-12.9,▼  ,4,43412.37525,4,BB ,6750000,0,6723,1,-1,0,0,6723,1,12,1,12,0,0,0,0
43388.37611,6.42,-17.16,▼  ,5,43412.37611,1,SS ,8355000,0,6719,2,-1.33,6.36,6.52,6719,1,12,1,12,5,49,5,49
43388.37648,6.38,-17.68,▼  ,6,43412.37648,1,BB ,9950000,0,6718,3,-1.37,6.28,6.39,6718,2,17,1,5,7,74,6,54
43388.37662,6.31,-18.58,▼  ,7,43412.37662,1,B  ,11528000,0,6718,4,-1.44,6.28,6.39,6718,1,1,1,1,5,31,7,55
43388.37683,6.35,-18.06,▼  ,8,43412.37683,1,SS ,13115000,0,6719,5,-1.4,6.31,6.4,6719,1,5,1,5,5,53,6,43
43388.37706,6.31,-18.58,▼  ,9,43412.37706,1,S  ,14693000,0,6720,6,-1.44,6.31,6.4,6720,2,17,1,1,6,73,9,93
43388.37706,6.31,-18.58,▼  ,10,43412.37706,1,SS ,16270000,0,6720,7,-1.44,6.28,6.4,6720,2,17,2,6,6,73,9,152
43388.37706,6.28,-18.97,▼  ,11,43412.37706,1,SS ,17840000,0,6720,8,-1.47,6.25,6.4,6720,2,17,2,6,6,73,7,91
43388.37708,6.24,-19.48,▼  ,12,43412.37708,1,SS ,19400000,0,6720,9,-1.51,6.23,6.34,6720,2,17,1,5,6,73,5,53
43388.3772,6.11,-21.16,▼  ,13,43412.3772,1,SS ,20928000,0,6720,10,-1.64,6.08,6.16,6720,1,5,1,5,5,53,5,53
43388.37738,6.19,-20.13,▼  ,17,43412.37738,4,B  ,27118000,0,6721,11,-1.56,6.1,6.19,6721,1,1,1,5,5,49,5,53
43388.37751,6.09,-21.42,▼  ,18,43412.37751,1,B  ,28640000,0,6717,12,-1.66,6.04,6.09,6717,1,12,1,13,7,67,5,53
43388.37751,6.1,-21.29,▼  ,19,43412.37751,1,B  ,30165000,0,6717,13,-1.65,6.06,6.1,6717,1,3,1,13,5,40,5,64
43388.37751,6.1,-21.29,▼  ,20,43412.37751,1,B  ,31690000,0,6717,14,-1.65,6.06,6.1,6717,1,2,1,13,5,39,5,64
43388.37751,6.1,-21.29,▼  ,22,43412.37751,2,B  ,34740000,0,6717,15,-1.65,6.06,6.1,6717,1,2,1,13,5,39,5,64
43388.37763,6.07,-21.68,▼  ,24,43412.37763,2,S  ,37775000,0,6717,16,-1.68,6.07,6.12,6717,1,13,1,11,6,64,7,79
43388.37773,6.12,-21.03,▼  ,36,43412.37773,12,S  ,56135000,0,6716,17,-1.63,6.12,6.18,6716,1,13,1,1,8,80,5,52
43388.3778,6.05,-21.94,▼  ,37,43412.3778,1,S  ,57648000,0,6726,18,-1.7,6.05,6.09,6726,1,13,1,3,5,51,8,63
43388.37782,6,-22.58,▼  ,41,43412.37782,4,SS ,63648000,0,6726,19,-1.75,5.99,6.04,6726,1,13,1,1,6,76,5,42
43388.37791,6.07,-21.68,▼  ,51,43412.37791,10,B  ,78823000,0,6726,20,-1.68,6.02,6.07,6726,1,3,1,13,6,65,6,57
