,#QUERYING,,,,,,,,,,,,,,,,,,,,,,
시간,현재가,등락율,등락구분,거래량,체결시간,체결량,체결성향,거래대금,체결강도,미결제약정수량,체결번호,대비,체결매수호가,체결매도호가,체결미결제약정수량,체결우선호가매도건수,체결우선호가매도잔량,체결우선호가매수건수,체결우선호가매수잔량,체결5호가매도건수,체결5호가매도잔량,체결5호가매수건수,체결5호가매수잔량
43388.37544,10.35,-9.61,▼  ,1,43412.37544,1,BB ,2588000,0,322,1,-1.1,0,0,322,1,2,1,2,0,0,0,0
43388.37544,10.35,-9.61,▼  ,3,43412.37544,2,SS ,7763000,0,322,2,-1.1,10.15,10.65,322,2,11,1,2,6,73,5,63
43388.37574,10,-12.66,▼  ,4,43412.37574,1,SS ,10263000,0,320,3,-1.45,9.9,10.15,320,1,1,1,2,5,33,5,54
43388.38223,9.92,-13.36,▼  ,5,43412.38223,1,SS ,12743000,0,320,4,-1.53,9.8,9.98,320,2,6,1,4,7,110,5,22
43388.38497,9.59,-16.24,▼  ,10,43412.38497,5,S  ,24730000,0,319,5,-1.86,9.8,9.98,319,1,2,1,5,6,38,5,14
43388.38512,9.66,-15.63,▼  ,13,43412.38512,3,BB ,31975000,33.33,319,6,-1.79,9.57,9.72,319,1,4,1,4,6,101,5,10
43388.39039,9.51,-16.94,▼  ,14,43412.39039,1,BB ,34353000,44.44,319,7,-1.94,9.47,9.6,319,1,4,2,6,5,68,6,35
43388.39079,9.6,-16.16,▼  ,19,43412.39079,5,B  ,46353000,100,320,8,-1.85,9.47,9.6,320,1,5,2,6,5,45,6,35
43388.39142,9.6,-16.16,▼  ,22,43412.39142,3,BB ,53553000,133.33,325,9,-1.85,9.51,9.65,325,1,4,1,4,5,100,5,19
43388.39159,9.6,-16.16,▼  ,23,43412.39159,1,BB ,55953000,144.44,328,10,-1.85,9.55,9.67,328,2,6,1,4,6,94,5,41
43388.39507,9.9,-13.54,▼  ,24,43412.39507,1,BB ,58428000,155.56,329,11,-1.55,9.77,9.95,329,1,4,2,6,7,86,6,44
43388.39591,10,-12.66,▼  ,26,43412.39591,2,BB ,63428000,177.78,330,12,-1.45,9.93,10.05,330,2,6,1,4,7,48,5,19
43388.39693,9.6,-16.16,▼  ,27,43412.39693,1,BB ,65828000,188.89,332,13,-1.85,9.54,9.64,332,1,4,1,4,5,28,5,34
43388.39934,9.44,-17.55,▼  ,28,43412.39934,1,BB ,68188000,200,333,14,-2.01,9.39,9.5,333,2,6,1,4,6,44,5,59
43388.40689,9.51,-16.94,▼  ,29,43412.40689,1,SS ,70565000,180,334,15,-1.94,9.47,9.64,334,1,4,1,4,5,44,5,71
43388.40745,9.67,-15.55,▼  ,30,43412.40745,1,BB ,72983000,190,334,16,-1.78,9.6,9.74,334,1,4,1,4,5,50,5,34
43388.42807,10.2,-10.92,▼  ,34,43412.42807,4,BB ,83183000,230,334,17,-1.25,9.94,10.3,334,1,2,1,10,5,72,6,44
43388.44176,10,-12.66,▼  ,46,43412.44176,12,BB ,113183000,350,338,18,-1.45,9.86,10.05,338,1,4,1,4,5,98,5,38
43388.44705,10.05,-12.23,▼  ,47,43412.44705,1,BB ,115695000,360,349,19,-1.4,9.99,10.1,349,1,20,1,4,8,112,5,28
43388.44804,10.2,-10.92,▼  ,48,43412.44804,1,SS ,118245000,327.27,350,20,-1.25,10.1,10.3,350,2,12,2,3,6,74,6,73
43388.44985,10,-12.66,▼  ,53,43412.44985,5,BB ,130745000,372.73,350,21,-1.45,9.87,10.05,350,1,4,1,4,5,98,5,22
43388.45656,10.8,-5.68,▼  ,55,43412.45656,2,BB ,136145000,390.91,355,22,-0.65,10.65,10.85,355,1,2,2,12,5,46,6,35
43388.46193,10.7,-6.55,▼  ,56,43412.46193,1,BB ,138820000,400,357,23,-0.75,10.6,10.75,357,1,2,2,6,5,55,8,71
43388.46486,10.6,-7.42,▼  ,58,43412.46486,2,S  ,144120000,338.46,357,24,-0.85,10.6,10.75,357,3,7,1,2,7,69,6,36
43388.46875,10.4,-9.17,▼  ,59,43412.46875,1,SS ,146720000,314.29,357,25,-1.05,10.3,10.5,357,3,7,1,2,7,69,5,64
43388.47435,10.25,-10.48,▼  ,60,43412.47435,1,SS ,149283000,293.33,357,26,-1.2,10.15,10.35,357,2,3,1,2,6,38,5,64
43388.4822,10,-12.66,▼  ,65,43412.4822,5,BB ,161783000,326.67,357,27,-1.45,9.87,10.05,357,2,3,1,2,7,75,5,42
43388.48221,10.05,-12.23,▼  ,66,43412.48221,1,BB ,164295000,333.33,357,28,-1.4,9.92,10.15,357,1,2,1,1,6,82,5,25
43388.52321,9.75,-14.85,▼  ,67,43412.52321,1,BB ,166733000,340,362,29,-1.7,9.64,9.8,362,1,4,1,4,6,81,5,34
43388.53057,9.61,-16.07,▼  ,68,43412.53057,1,SS ,169135000,318.75,363,30,-1.84,9.54,9.66,363,1,2,1,4,8,112,5,50
43388.5314,9.63,-15.9,▼  ,69,43412.5314,1,SS ,171543000,300,364,31,-1.82,9.58,9.7,364,1,4,1,4,5,19,5,50
43388.53674,9.84,-14.06,▼  ,70,43412.53674,1,BB ,174003000,305.88,364,32,-1.61,9.78,9.9,364,1,1,1,4,7,109,5,19
43388.53704,9.9,-13.54,▼  ,71,43412.53704,1,BB ,176478000,311.76,364,33,-1.55,9.8,9.95,364,1,4,3,8,8,119,8,47
43388.53744,9.91,-13.45,▼  ,72,43412.53744,1,BB ,178955000,317.65,364,34,-1.54,9.84,9.96,364,1,2,1,4,7,84,5,33
43388.56042,9.79,-14.5,▼  ,73,43412.56042,1,B  ,181403000,323.53,364,35,-1.66,9.84,9.96,364,1,1,2,6,6,35,7,54
43388.57919,9.91,-13.45,▼  ,74,43412.57919,1,SS ,183880000,305.56,365,36,-1.54,9.85,9.97,365,1,4,1,4,6,43,5,100
43388.58656,9.6,-16.16,▼  ,75,43412.58656,1,BB ,186280000,311.11,366,37,-1.85,9.55,9.67,366,1,4,1,4,5,41,5,42
43388.59257,9.56,-16.51,▼  ,76,43412.59257,1,SS ,188670000,294.74,367,38,-1.89,9.52,9.62,367,1,4,1,10,6,46,7,56
43388.59438,9.71,-15.2,▼  ,77,43412.59438,1,BB ,191098000,300,367,39,-1.74,9.65,9.75,367,1,10,1,10,6,54,6,46
43388.59905,9.45,-17.47,▼  ,78,43412.59905,1,BB ,193460000,305.26,367,40,-2,9.38,9.5,367,1,4,1,4,5,98,5,98
43388.61472,9.66,-15.63,▼  ,79,43412.61472,1,BB ,195875000,310.53,368,41,-1.79,9.6,9.71,368,1,4,1,4,5,80,5,33
43388.61881,9.46,-17.38,▼  ,80,43412.61881,1,B  ,198240000,315.79,368,42,-1.99,9.6,9.71,368,1,1,2,6,6,73,6,100
43388.61905,9.46,-17.38,▼  ,81,43412.61905,1,BB ,200605000,321.05,369,43,-1.99,9.41,9.52,369,1,2,1,4,5,60,5,60
43388.62373,9.47,-17.29,▼  ,82,43412.62373,1,SS ,202973000,305,370,44,-1.98,9.42,9.55,370,2,6,2,6,7,92,6,100
