,KOSPI 200 콜옵션 1811 232.5,,,,,,,,,,,,,,,,,,,,,,
시간,현재가,등락율,등락구분,거래량,체결시간,체결량,체결성향,거래대금,체결강도,미결제약정수량,체결번호,대비,체결매수호가,체결매도호가,체결미결제약정수량,체결우선호가매도건수,체결우선호가매도잔량,체결우선호가매수건수,체결우선호가매수잔량,체결5호가매도건수,체결5호가매도잔량,체결5호가매수건수,체결5호가매수잔량
43398.38404,33.8,-13.33,▼  ,5,43412.38404,5,BB ,42250000,0,0,1,-5.2,0,0,0,1,10,1,10,0,0,0,0
43398.3844,33.65,-13.72,▼  ,10,43412.3844,5,BB ,84313000,5,5,2,-5.35,17.45,33.8,5,1,1,1,10,5,55,1,10
43398.38457,33.6,-13.85,▼  ,15,43412.38457,5,BB ,126313000,10,10,3,-5.4,17.45,33.85,10,1,1,1,10,5,32,1,10
43398.40531,33.5,-14.1,▼  ,20,43412.40531,5,BB ,168188000,15,15,4,-5.5,31.45,33.6,15,1,1,1,2,5,9,4,16
43398.40574,33.45,-14.23,▼  ,21,43412.40574,1,SS ,176550000,1500,20,5,-5.55,33.3,33.6,20,1,1,1,2,5,9,5,18
43398.40631,33.25,-14.74,▼  ,22,43412.40631,1,BB ,184863000,1600,20,6,-5.75,31.45,33.4,20,1,1,1,2,5,9,4,16
43398.54273,33.7,-13.59,▼  ,23,43412.54273,1,BB ,193288000,1700,21,7,-5.3,31.65,33.95,21,1,2,1,2,5,10,4,16
