,#QUERYING,,,,,,,,,,,,,,,,,,,,,,
시간,현재가,등락율,등락구분,거래량,체결시간,체결량,체결성향,거래대금,체결강도,미결제약정수량,체결번호,대비,체결매수호가,체결매도호가,체결미결제약정수량,체결우선호가매도건수,체결우선호가매도잔량,체결우선호가매수건수,체결우선호가매수잔량,체결5호가매도건수,체결5호가매도잔량,체결5호가매수건수,체결5호가매수잔량
43395.375,0.24,-41.46,▼  ,573,43412.375,573,B  ,34380000,0,73498,1,-0.17,0,0,73498,0,0,0,0,0,0,0,0
43395.375,0.24,-41.46,▼  ,574,43412.375,1,B  ,34440000,0,73498,2,-0.17,0.23,0.24,73498,4,502,11,56,23,1226,101,2508
43395.37502,0.24,-41.46,▼  ,580,43412.37502,6,B  ,34800000,0,73498,3,-0.17,0.23,0.24,73498,4,496,11,56,24,1250,105,2615
43395.37503,0.24,-41.46,▼  ,590,43412.37503,10,B  ,35400000,0,73498,4,-0.17,0.23,0.24,73498,10,492,14,79,33,1308,109,2639
43395.37505,0.23,-43.9,▼  ,591,43412.37505,1,S  ,35458000,0,73498,5,-0.18,0.23,0.24,73498,10,492,14,78,32,808,111,2659
43395.37505,0.23,-43.9,▼  ,592,43412.37505,1,S  ,35515000,0,73498,6,-0.18,0.23,0.24,73498,10,492,15,87,32,808,112,2668
43395.37505,0.23,-43.9,▼  ,593,43412.37505,1,S  ,35573000,0,73498,7,-0.18,0.23,0.24,73498,10,492,15,86,32,808,112,2667
43395.37506,0.23,-43.9,▼  ,594,43412.37506,1,S  ,35630000,0,73498,8,-0.18,0.23,0.24,73498,10,492,15,85,32,808,112,2666
43395.37506,0.24,-41.46,▼  ,606,43412.37506,12,B  ,36350000,0,73498,9,-0.17,0.23,0.24,73498,10,480,16,95,32,796,113,2676
43395.37506,0.23,-43.9,▼  ,610,43412.37506,4,S  ,36580000,0,73498,10,-0.18,0.23,0.24,73498,10,480,15,91,32,796,112,2672
43395.37506,0.24,-41.46,▼  ,616,43412.37506,6,B  ,36940000,0,73498,11,-0.17,0.23,0.24,73498,10,474,15,91,35,890,112,2672
43395.3751,0.24,-41.46,▼  ,622,43412.3751,6,B  ,37300000,0,73498,12,-0.17,0.23,0.24,73498,11,469,18,98,39,897,120,2849
43395.3751,0.23,-43.9,▼  ,623,43412.3751,1,S  ,37358000,0,73498,13,-0.18,0.23,0.24,73498,11,469,18,97,39,897,120,2848
43395.37512,0.23,-43.9,▼  ,624,43412.37512,1,S  ,37415000,0,73498,14,-0.18,0.23,0.24,73498,11,469,18,96,39,897,120,2847
43395.37512,0.23,-43.9,▼  ,625,43412.37512,1,S  ,37473000,0,73498,15,-0.18,0.23,0.24,73498,11,469,18,95,39,897,120,2846
43395.37512,0.23,-43.9,▼  ,626,43412.37512,1,S  ,37530000,0,73498,16,-0.18,0.23,0.24,73498,11,469,17,74,39,897,119,2825
43395.37512,0.23,-43.9,▼  ,627,43412.37512,1,S  ,37588000,0,73498,17,-0.18,0.23,0.24,73498,11,469,17,73,39,897,119,2824
43395.37512,0.23,-43.9,▼  ,628,43412.37512,1,S  ,37645000,0,73498,18,-0.18,0.23,0.24,73498,11,469,17,72,39,897,119,2823
43395.37512,0.23,-43.9,▼  ,629,43412.37512,1,S  ,37703000,0,73498,19,-0.18,0.23,0.24,73498,12,470,17,71,40,898,118,2821
43395.37513,0.23,-43.9,▼  ,630,43412.37513,1,S  ,37760000,0,73498,20,-0.18,0.23,0.24,73498,12,470,17,70,40,898,118,2820
43395.37513,0.24,-41.46,▼  ,636,43412.37513,6,B  ,38120000,0,73498,21,-0.17,0.23,0.24,73498,12,464,17,70,40,892,118,2820
