,KOSPI 200 ─▌┐╔╝╟ 1811 277.5,,,,,,,,,,,,,,,,,,,,,,
╜├░г,╟Ў└ч░б,╡ю╢Ї└▓,╡ю╢Ї▒╕║╨,░┼╖б╖о,├╝░с╜├░г,├╝░с╖о,├╝░с╝║╟т,░┼╖б┤ы▒▌,├╝░с░н╡╡,╣╠░с┴ж╛р┴д╝Ў╖о,├╝░с╣°╚г,┤ы║ё,├╝░с╕┼╝Ў╚г░б,├╝░с╕┼╡╡╚г░б,├╝░с╣╠░с┴ж╛р┴д╝Ў╖о,├╝░с┐ь╝▒╚г░б╕┼╡╡░╟╝Ў,├╝░с┐ь╝▒╚г░б╕┼╡╡└▄╖о,├╝░с┐ь╝▒╚г░б╕┼╝Ў░╟╝Ў,├╝░с┐ь╝▒╚г░б╕┼╝Ў└▄╖о,├╝░с5╚г░б╕┼╡╡░╟╝Ў,├╝░с5╚г░б╕┼╡╡└▄╖о,├╝░с5╚г░б╕┼╝Ў░╟╝Ў,├╝░с5╚г░б╕┼╝Ў└▄╖о
43385.375,4.75,9.45,бу  ,68,43412.375,68,B  ,80750000,0,2798,1,0.41,0,0,2798,0,0,0,0,0,0,0,0
43385.375,4.75,9.45,бу  ,72,43412.375,4,BB ,85500000,0,2798,2,0.41,4.75,4.77,2798,1,12,1,64,16,38,5,77
43385.375,4.5,3.69,бу  ,73,43412.375,1,SS ,86625000,0,2798,3,0.16,4.34,4.8,2798,1,1,1,10,29,29,5,15
43385.37501,4.8,10.6,бу  ,74,43412.37501,1,BB ,87825000,0,2798,4,0.46,4.34,4.85,2798,6,6,1,10,29,29,5,15
43385.37503,4.8,10.6,бу  ,75,43412.37503,1,B  ,89025000,0,2798,5,0.46,4.52,4.8,2798,1,2,1,51,16,35,6,92
43385.37506,4.52,4.15,бу  ,76,43412.37506,1,S  ,90155000,0,2798,6,0.18,4.52,4.8,2798,1,2,1,50,16,35,5,81
43385.37508,4.8,10.6,бу  ,77,43412.37508,1,B  ,91355000,0,2798,7,0.46,4.53,4.8,2798,1,1,1,10,11,47,5,41
43385.3751,4.54,4.61,бу  ,78,43412.3751,1,S  ,92490000,0,2798,8,0.2,4.54,4.8,2798,1,1,1,9,11,47,5,40
43385.37514,4.8,10.6,бу  ,79,43412.37514,1,B  ,93690000,0,2798,9,0.46,4.57,4.8,2798,1,5,1,10,10,41,5,33
43385.37516,4.56,5.07,бу  ,81,43412.37516,2,SS ,95970000,0,2798,10,0.22,4.51,4.8,2798,2,6,1,10,12,52,5,41
43385.37516,4.56,5.07,бу  ,82,43412.37516,1,S  ,97110000,0,2798,11,0.22,4.56,4.8,2798,2,6,1,9,12,52,5,49
43385.37516,4.6,5.99,бу  ,86,43412.37516,4,SS ,101710000,0,2798,12,0.26,4.56,4.8,2798,2,6,1,9,12,52,5,49
43385.37519,4.8,10.6,бу  ,87,43412.37519,1,B  ,102910000,0,2798,13,0.46,4.59,4.8,2798,3,15,1,10,12,51,5,41
43385.37521,4.55,4.84,бу  ,88,43412.37521,1,S  ,104048000,0,3044,14,0.21,4.55,4.8,3044,3,15,1,9,13,56,5,40
