,KOSPI 200 콜옵션 1811 305.0,,,,,,,,,,,,,,,,,,,,,,
시간,현재가,등락율,등락구분,거래량,체결시간,체결량,체결성향,거래대금,체결강도,미결제약정수량,체결번호,대비,체결매수호가,체결매도호가,체결미결제약정수량,체결우선호가매도건수,체결우선호가매도잔량,체결우선호가매수건수,체결우선호가매수잔량,체결5호가매도건수,체결5호가매도잔량,체결5호가매수건수,체결5호가매수잔량
43392.375,0.01,0,   ,4,43412.375,4,B  ,10000,0,40767,1,0,0,0,40767,0,0,0,0,0,0,0,0
43392.37537,0.01,0,   ,5,43412.37537,1,B  ,13000,0,40771,2,0,0,0.01,40771,91,18295,0,0,117,39615,0,0
43392.37657,0.01,0,   ,15,43412.37657,10,B  ,38000,0,40771,3,0,0,0.01,40771,92,18335,0,0,118,39670,0,0
43392.3769,0.01,0,   ,16,43412.3769,1,B  ,40000,0,40768,4,0,0,0.01,40768,93,18619,0,0,118,39669,0,0
43392.37694,0.01,0,   ,18,43412.37694,2,B  ,45000,0,40768,5,0,0,0.01,40768,93,18617,0,0,118,39667,0,0
43392.37704,0.01,0,   ,20,43412.37704,2,B  ,50000,0,40767,6,0,0,0.01,40767,93,18615,0,0,118,39665,0,0
43392.37715,0.01,0,   ,22,43412.37715,2,B  ,55000,0,40769,7,0,0,0.01,40769,93,18613,0,0,118,39663,0,0
43392.37723,0.01,0,   ,24,43412.37723,2,B  ,60000,0,40769,8,0,0,0.01,40769,93,18611,0,0,118,39661,0,0
43392.37743,0.01,0,   ,29,43412.37743,5,B  ,73000,0,40772,9,0,0,0.01,40772,94,18607,0,0,119,39657,0,0
43392.37752,0.01,0,   ,31,43412.37752,2,B  ,78000,0,40772,10,0,0,0.01,40772,94,18605,0,0,119,39655,0,0
43392.3776,0.01,0,   ,33,43412.3776,2,B  ,83000,0,40777,11,0,0,0.01,40777,94,18603,0,0,119,39653,0,0
43392.37769,0.01,0,   ,35,43412.37769,2,B  ,88000,0,40781,12,0,0,0.01,40781,94,18601,0,0,119,39651,0,0
43392.37777,0.01,0,   ,45,43412.37777,10,B  ,113000,0,40781,13,0,0,0.01,40781,94,18591,0,0,119,39641,0,0
43392.37877,0.01,0,   ,55,43412.37877,10,B  ,138000,51,40779,14,0,0,0.01,40779,95,18589,0,0,120,39639,0,0
43392.37971,0.01,0,   ,65,43412.37971,10,B  ,163000,61,40775,15,0,0,0.01,40775,95,18579,0,0,121,39630,0,0
43392.38086,0.01,0,   ,66,43412.38086,1,B  ,165000,62,40766,16,0,0,0.01,40766,95,18623,0,0,121,39674,0,0
43392.38108,0.01,0,   ,76,43412.38108,10,B  ,190000,72,40767,17,0,0,0.01,40767,92,18613,0,0,118,39664,0,0
43392.38144,0.01,0,   ,77,43412.38144,1,B  ,193000,73,40758,18,0,0,0.01,40758,89,16283,0,0,115,37334,0,0
43392.38179,0.01,0,   ,87,43412.38179,10,B  ,218000,83,40758,19,0,0,0.01,40758,79,16273,0,0,106,37672,0,0
43392.38247,0.01,0,   ,97,43412.38247,10,B  ,243000,93,40751,20,0,0,0.01,40751,76,16550,0,0,103,37949,0,0
43392.38288,0.01,0,   ,187,43412.38288,90,B  ,468000,183,40744,21,0,0,0.01,40744,76,16460,0,0,103,37859,0,0
43392.38343,0.01,0,   ,197,43412.38343,10,B  ,493000,193,40799,22,0,0,0.01,40799,76,16450,0,0,103,37849,0,0
43392.38397,0.01,0,   ,207,43412.38397,10,B  ,518000,203,40795,23,0,0,0.01,40795,76,16440,0,0,103,37839,0,0
43392.38466,0.01,0,   ,217,43412.38466,10,B  ,543000,213,40795,24,0,0,0.01,40795,77,16450,0,0,104,37865,0,0
43392.38523,0.01,0,   ,229,43412.38523,12,B  ,573000,225,40795,25,0,0,0.01,40795,77,16438,0,0,104,37853,0,0
43392.38576,0.01,0,   ,254,43412.38576,25,B  ,635000,250,40795,26,0,0,0.01,40795,77,16413,0,0,104,37828,0,0
43392.38689,0.01,0,   ,274,43412.38689,20,B  ,685000,270,40820,27,0,0,0.01,40820,77,16393,0,0,104,37808,0,0
43392.38744,0.01,0,   ,289,43412.38744,15,B  ,723000,285,40812,28,0,0,0.01,40812,77,16733,0,0,104,37804,0,0
43392.3878,0.01,0,   ,299,43412.3878,10,B  ,748000,295,40802,29,0,0,0.01,40802,77,16723,0,0,104,37794,0,0
43392.38823,0.01,0,   ,314,43412.38823,15,B  ,785000,310,40810,30,0,0,0.01,40810,77,16708,0,0,104,37779,0,0
43392.38848,0.01,0,   ,315,43412.38848,1,B  ,788000,311,40810,31,0,0,0.01,40810,77,16707,0,0,104,37778,0,0
43392.38938,0.01,0,   ,330,43412.38938,15,B  ,825000,326,40810,32,0,0,0.01,40810,77,16692,0,0,104,37763,0,0
43392.39031,0.01,0,   ,345,43412.39031,15,B  ,863000,341,40810,33,0,0,0.01,40810,77,16677,0,0,104,37748,0,0
43392.39041,0.01,0,   ,346,43412.39041,1,B  ,865000,342,40805,34,0,0,0.01,40805,77,16676,0,0,104,37747,0,0
43392.39117,0.01,0,   ,361,43412.39117,15,B  ,903000,357,40805,35,0,0,0.01,40805,78,16671,0,0,105,37742,0,0
43392.39171,0.01,0,   ,362,43412.39171,1,B  ,905000,358,40790,36,0,0,0.01,40790,78,16670,0,0,105,37741,0,0
43392.39188,0.01,0,   ,363,43412.39188,1,B  ,908000,359,40789,37,0,0,0.01,40789,78,16669,0,0,105,37740,0,0
43392.39196,0.01,0,   ,364,43412.39196,1,B  ,910000,360,40789,38,0,0,0.01,40789,78,16668,0,0,105,37739,0,0
43392.39212,0.01,0,   ,388,43412.39212,24,B  ,970000,384,40787,39,0,0,0.01,40787,78,16644,0,0,105,37715,0,0
43392.39213,0.01,0,   ,415,43412.39213,27,B  ,1038000,411,40787,40,0,0,0.01,40787,76,16617,0,0,103,37688,0,0
43392.3934,0.01,0,   ,445,43412.3934,30,B  ,1113000,441,40782,41,0,0,0.01,40782,68,16587,0,0,95,37658,0,0
43392.39668,0.01,0,   ,485,43412.39668,40,B  ,1213000,481,40788,42,0,0,0.01,40788,68,16572,0,0,93,33643,0,0
43392.39767,0.01,0,   ,486,43412.39767,1,B  ,1215000,482,40761,43,0,0,0.01,40761,68,16571,0,0,93,33642,0,0
43392.39878,0.01,0,   ,526,43412.39878,40,B  ,1315000,522,40762,44,0,0,0.01,40762,69,16535,0,0,93,33602,0,0
43392.41777,0.01,0,   ,530,43412.41777,4,B  ,1325000,526,40752,45,0,0,0.01,40752,70,16533,0,0,94,33600,0,0
43392.41844,0.01,0,   ,532,43412.41844,2,B  ,1330000,528,40756,46,0,0,0.01,40756,70,16531,0,0,94,33598,0,0
43392.41869,0.01,0,   ,533,43412.41869,1,B  ,1333000,529,40758,47,0,0,0.01,40758,67,10578,0,0,91,27645,0,0
43392.4187,0.01,0,   ,534,43412.4187,1,B  ,1335000,530,40758,48,0,0,0.01,40758,67,10577,0,0,91,27644,0,0
43392.41898,0.01,0,   ,535,43412.41898,1,B  ,1338000,531,40758,49,0,0,0.01,40758,67,10576,0,0,91,27643,0,0
43392.41988,0.01,0,   ,536,43412.41988,1,B  ,1340000,532,40759,50,0,0,0.01,40759,66,10331,0,0,91,27498,0,0
43392.42037,0.01,0,   ,537,43412.42037,1,B  ,1343000,533,40759,51,0,0,0.01,40759,66,9271,0,0,91,26438,0,0
43392.42039,0.01,0,   ,538,43412.42039,1,B  ,1345000,534,40759,52,0,0,0.01,40759,66,9270,0,0,91,26437,0,0
43392.42225,0.01,0,   ,539,43412.42225,1,B  ,1348000,535,40759,53,0,0,0.01,40759,62,9047,0,0,87,26214,0,0
43392.42226,0.01,0,   ,540,43412.42226,1,B  ,1350000,536,40759,54,0,0,0.01,40759,61,8966,0,0,86,26133,0,0
43392.42229,0.01,0,   ,541,43412.42229,1,B  ,1353000,537,40759,55,0,0,0.01,40759,60,8885,0,0,85,26052,0,0
43392.4223,0.01,0,   ,542,43412.4223,1,B  ,1355000,538,40759,56,0,0,0.01,40759,60,8884,0,0,85,26051,0,0
43392.42231,0.01,0,   ,543,43412.42231,1,B  ,1358000,539,40759,57,0,0,0.01,40759,59,8803,0,0,84,25970,0,0
43392.42233,0.01,0,   ,544,43412.42233,1,B  ,1360000,540,40759,58,0,0,0.01,40759,59,8802,0,0,84,25969,0,0
43392.42234,0.01,0,   ,545,43412.42234,1,B  ,1363000,541,40759,59,0,0,0.01,40759,58,8721,0,0,83,25888,0,0
43392.42235,0.01,0,   ,546,43412.42235,1,B  ,1365000,542,40759,60,0,0,0.01,40759,58,8720,0,0,83,25887,0,0
43392.42236,0.01,0,   ,547,43412.42236,1,B  ,1368000,543,40759,61,0,0,0.01,40759,58,8719,0,0,83,25886,0,0
43392.42237,0.01,0,   ,548,43412.42237,1,B  ,1370000,544,40759,62,0,0,0.01,40759,58,8718,0,0,83,25885,0,0
43392.42256,0.01,0,   ,549,43412.42256,1,B  ,1373000,545,40759,63,0,0,0.01,40759,51,8316,0,0,76,25483,0,0
43392.42258,0.01,0,   ,550,43412.42258,1,B  ,1375000,546,40759,64,0,0,0.01,40759,50,8285,0,0,75,25452,0,0
43392.42259,0.01,0,   ,551,43412.42259,1,B  ,1378000,547,40759,65,0,0,0.01,40759,49,8254,0,0,74,25421,0,0
43392.4226,0.01,0,   ,552,43412.4226,1,B  ,1380000,548,40759,66,0,0,0.01,40759,49,8253,0,0,74,25420,0,0
43392.42263,0.01,0,   ,553,43412.42263,1,B  ,1383000,549,40759,67,0,0,0.01,40759,49,8252,0,0,74,25419,0,0
43392.42264,0.01,0,   ,554,43412.42264,1,B  ,1385000,550,40759,68,0,0,0.01,40759,49,8251,0,0,74,25418,0,0
43392.42265,0.01,0,   ,555,43412.42265,1,B  ,1388000,551,40759,69,0,0,0.01,40759,49,8250,0,0,74,25417,0,0
43392.42266,0.01,0,   ,556,43412.42266,1,B  ,1390000,552,40759,70,0,0,0.01,40759,49,8249,0,0,74,25416,0,0
43392.42307,0.01,0,   ,557,43412.42307,1,B  ,1393000,553,40759,71,0,0,0.01,40759,49,8248,0,0,74,25415,0,0
43392.42308,0.01,0,   ,558,43412.42308,1,B  ,1395000,554,40759,72,0,0,0.01,40759,49,8247,0,0,74,25414,0,0
43392.42309,0.01,0,   ,559,43412.42309,1,B  ,1398000,555,40759,73,0,0,0.01,40759,49,8246,0,0,74,25413,0,0
43392.42313,0.01,0,   ,560,43412.42313,1,B  ,1400000,556,40759,74,0,0,0.01,40759,49,8245,0,0,74,25412,0,0
43392.42317,0.01,0,   ,561,43412.42317,1,B  ,1403000,557,40759,75,0,0,0.01,40759,49,8244,0,0,74,25411,0,0
43392.42318,0.01,0,   ,562,43412.42318,1,B  ,1405000,558,40759,76,0,0,0.01,40759,49,8243,0,0,74,25410,0,0
43392.42322,0.01,0,   ,563,43412.42322,1,B  ,1408000,559,40759,77,0,0,0.01,40759,49,8242,0,0,74,25409,0,0
43392.42323,0.01,0,   ,564,43412.42323,1,B  ,1410000,560,40759,78,0,0,0.01,40759,49,8241,0,0,74,25408,0,0
43392.42324,0.01,0,   ,565,43412.42324,1,B  ,1413000,561,40759,79,0,0,0.01,40759,49,8240,0,0,74,25407,0,0
43392.42325,0.01,0,   ,566,43412.42325,1,B  ,1415000,562,40759,80,0,0,0.01,40759,49,8239,0,0,74,25406,0,0
43392.42329,0.01,0,   ,567,43412.42329,1,B  ,1418000,563,40757,81,0,0,0.01,40757,49,8238,0,0,74,25405,0,0
43392.4233,0.01,0,   ,568,43412.4233,1,B  ,1420000,564,40757,82,0,0,0.01,40757,49,8237,0,0,74,25404,0,0
43392.42331,0.01,0,   ,569,43412.42331,1,B  ,1423000,565,40757,83,0,0,0.01,40757,49,8236,0,0,74,25403,0,0
43392.42332,0.01,0,   ,570,43412.42332,1,B  ,1425000,566,40757,84,0,0,0.01,40757,49,8235,0,0,74,25402,0,0
43392.42334,0.01,0,   ,571,43412.42334,1,B  ,1428000,567,40757,85,0,0,0.01,40757,49,8234,0,0,74,25401,0,0
43392.42336,0.01,0,   ,572,43412.42336,1,B  ,1430000,568,40757,86,0,0,0.01,40757,49,8233,0,0,74,25400,0,0
43392.4239,0.01,0,   ,573,43412.4239,1,B  ,1433000,569,40749,87,0,0,0.01,40749,49,8232,0,0,74,25399,0,0
