,KOSPI 200 콜옵션 1811 250.0,,,,,,,,,,,,,,,,,,,,,,
시간,현재가,등락율,등락구분,거래량,체결시간,체결량,체결성향,거래대금,체결강도,미결제약정수량,체결번호,대비,체결매수호가,체결매도호가,체결미결제약정수량,체결우선호가매도건수,체결우선호가매도잔량,체결우선호가매수건수,체결우선호가매수잔량,체결5호가매도건수,체결5호가매도잔량,체결5호가매수건수,체결5호가매수잔량
43392.38235,25.8,-9.47,▼  ,1,43412.38235,1,BB ,6450000,0,243,1,-2.7,0,0,243,1,25,1,2,0,0,0,0
43392.45847,26.85,-5.79,▼  ,3,43412.45847,2,BB ,19875000,2,243,2,-1.65,26.65,26.9,243,1,10,1,2,5,50,5,42
43392.45847,26.85,-5.79,▼  ,4,43412.45847,1,BB ,26588000,3,243,3,-1.65,26.7,26.9,243,1,10,1,1,5,50,5,33
43392.45848,26.8,-5.96,▼  ,5,43412.45848,1,B  ,33288000,4,243,4,-1.7,26.6,26.8,243,1,30,1,10,5,70,5,50
43392.4722,26.15,-8.25,▼  ,7,43412.4722,2,BB ,46363000,6,247,5,-2.35,26.1,26.25,247,1,2,1,2,5,17,5,42
43392.47424,26.25,-7.89,▼  ,9,43412.47424,2,SS ,59488000,300,249,6,-2.25,26.2,26.5,249,1,10,1,1,5,26,5,33
43392.47426,26.25,-7.89,▼  ,11,43412.47426,2,SS ,72613000,150,249,7,-2.25,26.2,26.4,249,2,3,1,1,6,27,5,41
43392.47764,26.9,-5.61,▼  ,15,43412.47764,4,SS ,99513000,75,246,8,-1.6,26.85,27.05,246,1,2,2,6,5,30,7,29
43392.59883,28.6,0.35,▲  ,16,43412.59883,1,S  ,106663000,66.67,246,9,0.1,26.85,27.05,246,1,2,1,1,5,102,5,41
43392.60211,28.75,0.88,▲  ,17,43412.60211,1,SS ,113850000,60,245,10,0.25,28.65,28.9,245,2,3,1,2,6,88,5,42
