,KOSPI 200 콜옵션 1811 270.0,,,,,,,,,,,,,,,,,,,,,,
시간,현재가,등락율,등락구분,거래량,체결시간,체결량,체결성향,거래대금,체결강도,미결제약정수량,체결번호,대비,체결매수호가,체결매도호가,체결미결제약정수량,체결우선호가매도건수,체결우선호가매도잔량,체결우선호가매수건수,체결우선호가매수잔량,체결5호가매도건수,체결5호가매도잔량,체결5호가매수건수,체결5호가매수잔량
43390.3762,11.35,19.35,▲  ,1,43412.3762,1,BB ,2838000,0,1084,1,1.84,0,0,1084,1,1,1,2,0,0,0,0
43390.37706,11.45,20.4,▲  ,2,43412.37706,1,BB ,5700000,0,1085,2,1.94,11.3,11.6,1085,1,1,3,7,5,29,8,78
43390.37716,11.6,21.98,▲  ,3,43412.37716,1,BB ,8600000,0,1086,3,2.09,11.5,11.75,1086,1,1,1,1,5,53,6,36
43390.37811,11.25,18.3,▲  ,4,43412.37811,1,SS ,11413000,0,1087,4,1.74,11.15,11.45,1087,1,1,1,2,5,23,6,73
43390.37859,11.5,20.93,▲  ,5,43412.37859,1,BB ,14288000,300,1088,5,1.99,11.4,11.55,1088,1,2,1,2,6,25,6,49
43390.38023,11.45,20.4,▲  ,6,43412.38023,1,BB ,17150000,400,1089,6,1.94,11.35,11.5,1089,1,1,3,7,6,24,8,63
43390.38023,11.5,20.93,▲  ,7,43412.38023,1,BB ,20025000,500,1089,7,1.99,11.35,11.7,1089,1,10,3,7,6,24,8,63
43390.3815,11.75,23.55,▲  ,8,43412.3815,1,B  ,22963000,600,1091,8,2.24,11.6,11.75,1091,1,1,1,1,5,29,5,33
43390.38154,11.75,23.55,▲  ,9,43412.38154,1,BB ,25900000,700,1091,9,2.24,11.6,11.85,1091,1,2,1,1,5,30,5,41
43390.38171,11.9,25.13,▲  ,10,43412.38171,1,BB ,28875000,800,1093,10,2.39,11.8,12.05,1093,1,1,3,7,5,53,7,47
43390.38183,12.05,26.71,▲  ,11,43412.38183,1,BB ,31888000,900,1094,11,2.54,11.95,12.45,1094,1,10,1,1,5,62,5,33
43390.38255,12.6,32.49,▲  ,12,43412.38255,1,BB ,35038000,1000,1095,12,3.09,12.5,12.7,1095,1,1,1,4,5,53,5,19
43390.38262,12.7,33.54,▲  ,13,43412.38262,1,BB ,38213000,1100,1095,13,3.19,12.55,12.9,1095,1,1,1,1,6,102,5,49
43390.38324,12.7,33.54,▲  ,27,43412.38324,14,S  ,82663000,73.33,1096,14,3.19,12.7,12.85,1096,2,3,1,18,9,58,5,80
