,KOSPI 200 콜옵션 1811 307.5,,,,,,,,,,,,,,,,,,,,,,
시간,현재가,등락율,등락구분,거래량,체결시간,체결량,체결성향,거래대금,체결강도,미결제약정수량,체결번호,대비,체결매수호가,체결매도호가,체결미결제약정수량,체결우선호가매도건수,체결우선호가매도잔량,체결우선호가매수건수,체결우선호가매수잔량,체결5호가매도건수,체결5호가매도잔량,체결5호가매수건수,체결5호가매수잔량
43385.375,0.05,-28.57,▼  ,410,43412.375,410,B  ,5125000,0,17767,1,-0.02,0,0,17767,0,0,0,0,0,0,0,0
43385.37541,0.05,-28.57,▼  ,430,43412.37541,20,B  ,5375000,0,18807,2,-0.02,0.04,0.05,18807,13,1985,12,2744,38,4649,72,29620
43385.37597,0.05,-28.57,▼  ,434,43412.37597,4,B  ,5425000,0,18827,3,-0.02,0.04,0.05,18827,13,2029,14,1364,40,4768,78,30490
43385.37633,0.05,-28.57,▼  ,439,43412.37633,5,B  ,5488000,0,18831,4,-0.02,0.04,0.05,18831,17,2684,15,1395,46,6619,80,30501
43385.37646,0.05,-28.57,▼  ,440,43412.37646,1,B  ,5500000,0,18831,5,-0.02,0.04,0.05,18831,18,3256,15,1395,50,8910,83,32220
43385.37657,0.05,-28.57,▼  ,460,43412.37657,20,B  ,5750000,0,18831,6,-0.02,0.04,0.05,18831,16,2263,16,1968,49,8490,84,32793
43385.37694,0.04,-42.86,▼  ,461,43412.37694,1,S  ,5760000,0,18852,7,-0.03,0.04,0.05,18852,19,3675,19,1853,49,10004,87,33015
43385.37694,0.05,-28.57,▼  ,701,43412.37694,240,B  ,8760000,0,18852,8,-0.02,0.04,0.05,18852,19,3435,19,1853,49,9764,87,33015
43385.37703,0.04,-42.86,▼  ,702,43412.37703,1,S  ,8770000,0,19091,9,-0.03,0.04,0.05,19091,20,4435,19,1852,51,11164,87,33014
43385.37733,0.04,-42.86,▼  ,1112,43412.37733,410,S  ,12870000,0,19090,10,-0.03,0.04,0.05,19090,20,4435,12,800,51,11164,80,31962
43385.37733,0.04,-42.86,▼  ,1350,43412.37733,238,S  ,15250000,0,19090,11,-0.03,0.04,0.05,19090,20,4435,8,562,51,11164,76,31724
43385.37733,0.04,-42.86,▼  ,1615,43412.37733,265,S  ,17900000,0,19090,12,-0.03,0.04,0.05,19090,20,4435,7,297,51,11164,75,31459
43385.37735,0.04,-42.86,▼  ,1912,43412.37735,297,SS ,20870000,0,19090,13,-0.03,0.03,0.04,19090,1,221,32,12203,48,11276,68,31162
43385.37735,0.04,-42.86,▼  ,1981,43412.37735,69,B  ,21560000,0,19090,14,-0.03,0.03,0.04,19090,1,152,32,12203,48,11207,68,31162
43385.37735,0.04,-42.86,▼  ,2025,43412.37735,44,B  ,22000000,0,19090,15,-0.03,0.03,0.04,19090,1,108,32,12203,48,11163,68,31162
43385.37735,0.04,-42.86,▼  ,2133,43412.37735,108,BB ,23080000,0,19090,16,-0.03,0.04,0.05,19090,20,4435,1,452,51,11164,69,31614
