,KOSPI 200 콜옵션 1811 247.5,,,,,,,,,,,,,,,,,,,,,,
시간,현재가,등락율,등락구분,거래량,체결시간,체결량,체결성향,거래대금,체결강도,미결제약정수량,체결번호,대비,체결매수호가,체결매도호가,체결미결제약정수량,체결우선호가매도건수,체결우선호가매도잔량,체결우선호가매수건수,체결우선호가매수잔량,체결5호가매도건수,체결5호가매도잔량,체결5호가매수건수,체결5호가매수잔량
43395.40601,29.5,-1.83,▼  ,1,43412.40601,1,BB ,7375000,0,93,1,-0.55,0,0,93,1,2,2,20,0,0,0,0
43395.40811,29.6,-1.5,▼  ,2,43412.40811,1,SS ,14775000,0,94,2,-0.45,29.45,29.75,94,1,1,1,1,5,9,5,48
43395.41078,29.5,-1.83,▼  ,3,43412.41078,1,SS ,22150000,0,93,3,-0.55,29.35,29.65,93,1,1,1,1,5,9,5,32
43395.41557,29.65,-1.33,▼  ,4,43412.41557,1,SS ,29563000,0,92,4,-0.4,29.3,29.75,92,1,1,1,2,5,9,5,41
43395.41606,29.55,-1.66,▼  ,5,43412.41606,1,SS ,36950000,0,91,5,-0.5,29.45,29.65,91,1,1,1,1,5,9,5,9
