,KOSPI 200 콜옵션 1811 270.0,,,,,,,,,,,,,,,,,,,,,,
시간,현재가,등락율,등락구분,거래량,체결시간,체결량,체결성향,거래대금,체결강도,미결제약정수량,체결번호,대비,체결매수호가,체결매도호가,체결미결제약정수량,체결우선호가매도건수,체결우선호가매도잔량,체결우선호가매수건수,체결우선호가매수잔량,체결5호가매도건수,체결5호가매도잔량,체결5호가매수건수,체결5호가매수잔량
43392.37625,8.04,-14.65,▼  ,4,43412.37625,4,BB ,8040000,0,2054,1,-1.38,0,0,2054,7,24,2,6,0,0,0,0
43392.37625,8.04,-14.65,▼  ,6,43412.37625,2,B  ,12060000,0,2054,2,-1.38,7.95,8.04,2054,1,1,2,6,11,76,6,52
43392.37625,8.04,-14.65,▼  ,7,43412.37625,1,B  ,14070000,0,2054,3,-1.38,7.95,8.04,2054,5,16,2,6,9,69,6,52
43392.37625,8.04,-14.65,▼  ,14,43412.37625,7,B  ,28140000,0,2054,4,-1.38,7.95,8.04,2054,3,9,2,6,7,62,6,52
43392.37625,8.04,-14.65,▼  ,17,43412.37625,3,B  ,34170000,0,2054,5,-1.38,7.95,8.04,2054,2,6,2,6,6,59,6,52
43392.37625,8.04,-14.65,▼  ,20,43412.37625,3,B  ,40200000,0,2054,6,-1.38,7.95,8.04,2054,1,3,2,6,5,56,6,52
43392.37625,8.04,-14.65,▼  ,21,43412.37625,1,B  ,42210000,0,2054,7,-1.38,7.95,8.04,2054,1,2,2,6,5,55,6,52
43392.37625,8.04,-14.65,▼  ,23,43412.37625,2,B  ,46230000,0,2054,8,-1.38,7.95,8.04,2054,1,2,2,6,5,55,6,52
43392.37625,8.05,-14.54,▼  ,28,43412.37625,5,BB ,56293000,0,2054,9,-1.37,7.95,8.11,2054,1,4,2,6,5,59,6,52
43392.37647,8.02,-14.86,▼  ,29,43412.37647,1,SS ,58298000,0,2073,10,-1.4,7.97,8.17,2073,1,4,1,4,6,112,5,50
43392.37701,7.89,-16.24,▼  ,52,43412.37701,23,BB ,103665000,0,2073,11,-1.53,7.83,7.97,2073,1,4,1,4,11,63,6,78
43392.3772,7.84,-16.77,▼  ,75,43412.3772,23,BB ,148745000,0,2096,12,-1.58,7.8,7.87,2096,1,4,1,2,11,81,6,70
43392.37735,7.81,-17.09,▼  ,76,43412.37735,1,S  ,150698000,0,2119,13,-1.61,7.81,7.9,2119,1,4,1,3,12,85,7,70
43392.37748,7.86,-16.56,▼  ,77,43412.37748,1,BB ,152663000,0,2120,14,-1.56,7.81,7.9,2120,1,4,1,30,12,59,6,62
43392.37766,7.8,-17.2,▼  ,79,43412.37766,2,SS ,156563000,0,2120,15,-1.62,7.77,7.87,2120,1,4,1,3,6,35,6,77
43392.37795,7.88,-16.35,▼  ,80,43412.37795,1,BB ,158533000,0,2122,16,-1.54,7.85,7.93,2122,1,4,1,2,12,131,5,11
43392.37808,7.88,-16.35,▼  ,81,43412.37808,1,B  ,160503000,0,2122,17,-1.54,7.85,7.88,2122,1,6,1,2,11,45,5,18
43392.37808,7.88,-16.35,▼  ,82,43412.37808,1,B  ,162473000,0,2122,18,-1.54,7.85,7.88,2122,1,5,1,2,11,44,5,18
43392.37808,7.88,-16.35,▼  ,87,43412.37808,5,B  ,172323000,0,2122,19,-1.54,7.85,7.88,2122,1,5,1,2,11,44,5,18
43392.37833,8.06,-14.44,▼  ,88,43412.37833,1,B  ,174338000,0,2129,20,-1.36,7.98,8.06,2129,1,1,1,3,12,106,5,80
43392.37833,8.06,-14.44,▼  ,89,43412.37833,1,BB ,176353000,0,2129,21,-1.36,7.98,8.08,2129,7,23,1,3,12,155,5,80
43392.37834,8.08,-14.23,▼  ,90,43412.37834,1,B  ,178373000,0,2129,22,-1.34,8,8.08,2129,7,22,1,3,12,180,5,80
43392.37878,7.93,-15.82,▼  ,91,43412.37878,1,BB ,180355000,2075,2129,23,-1.49,7.84,7.99,2129,1,4,1,3,11,152,5,89
43392.37885,7.96,-15.5,▼  ,92,43412.37885,1,BB ,182345000,2100,2129,24,-1.46,7.86,8,2129,1,1,2,5,11,93,6,91
43392.37899,8,-15.07,▼  ,93,43412.37899,1,BB ,184345000,2125,2130,25,-1.42,7.92,8.05,2130,2,5,1,3,12,31,5,89
43392.379,8.05,-14.54,▼  ,94,43412.379,1,BB ,186358000,2150,2130,26,-1.37,7.94,8.07,2130,1,2,1,3,12,80,5,89
43392.37928,7.97,-15.39,▼  ,96,43412.37928,2,SS ,190343000,1433.33,2132,27,-1.45,7.92,8.03,2132,1,4,1,2,11,29,5,75
43392.3797,8.08,-14.23,▼  ,103,43412.3797,7,B  ,204483000,1550,2130,28,-1.34,7.99,8.08,2130,5,15,1,1,9,22,6,76
43392.3797,8.08,-14.23,▼  ,118,43412.3797,15,BB ,234783000,1800,2130,29,-1.34,7.99,8.1,2130,1,1,1,1,5,8,6,76
43392.37977,8.1,-14.01,▼  ,119,43412.37977,1,BB ,236808000,1816.67,2130,30,-1.32,8.02,8.15,2130,2,5,1,3,7,74,5,32
43392.37978,8.15,-13.48,▼  ,120,43412.37978,1,BB ,238845000,1833.33,2130,31,-1.27,8.02,8.19,2130,1,4,1,3,6,73,5,32
43392.38016,7.96,-15.5,▼  ,121,43412.38016,1,SS ,240835000,1571.43,2153,32,-1.46,7.9,8.04,2153,1,4,1,3,5,23,5,107
43392.38028,7.98,-15.29,▼  ,131,43412.38028,10,B  ,260785000,1714.29,2152,33,-1.44,7.92,7.98,2152,4,13,1,3,8,36,5,107
43392.38028,7.98,-15.29,▼  ,144,43412.38028,13,BB ,286720000,1900,2152,34,-1.44,7.92,8.04,2152,1,4,1,3,5,24,5,107
43392.38171,8.05,-14.54,▼  ,148,43412.38171,4,SS ,294770000,1209.09,2175,35,-1.37,8,8.13,2175,1,4,1,4,11,31,5,35
43392.38178,8,-15.07,▼  ,152,43412.38178,4,SS ,302770000,886.67,2175,36,-1.42,7.94,8.05,2175,1,4,1,3,11,31,6,117
43392.38234,7.9,-16.14,▼  ,175,43412.38234,23,BB ,348195000,1040,2175,37,-1.52,7.81,7.95,2175,1,4,2,5,11,94,6,109
43392.38258,7.79,-17.3,▼  ,198,43412.38258,23,BB ,392988000,1193.33,2198,38,-1.63,7.71,7.85,2198,1,4,2,5,5,81,7,101
43392.38311,7.75,-17.73,▼  ,199,43412.38311,1,B  ,394925000,1200,2221,39,-1.67,7.65,7.75,2221,7,22,1,3,11,29,6,114
43392.38311,7.75,-17.73,▼  ,201,43412.38311,2,B  ,398800000,1213.33,2221,40,-1.67,7.67,7.75,2221,6,20,1,3,10,27,6,90
43392.38311,7.75,-17.73,▼  ,202,43412.38311,1,B  ,400738000,1220,2221,41,-1.67,7.68,7.75,2221,6,19,1,1,10,26,6,90
43392.38311,7.75,-17.73,▼  ,203,43412.38311,1,B  ,402675000,1226.67,2221,42,-1.67,7.69,7.75,2221,6,18,1,3,10,25,6,90
