,KOSPI 200 콜옵션 1811 265.0,,,,,,,,,,,,,,,,,,,,,,
시간,현재가,등락율,등락구분,거래량,체결시간,체결량,체결성향,거래대금,체결강도,미결제약정수량,체결번호,대비,체결매수호가,체결매도호가,체결미결제약정수량,체결우선호가매도건수,체결우선호가매도잔량,체결우선호가매수건수,체결우선호가매수잔량,체결5호가매도건수,체결5호가매도잔량,체결5호가매수건수,체결5호가매수잔량
43392.38418,11.45,-19.65,▼  ,1,43412.38418,1,BB ,2863000,0,90,1,-2.8,0,0,90,1,1,1,9,0,0,0,0
43392.38427,11.55,-18.95,▼  ,2,43412.38427,1,BB ,5750000,1,91,2,-2.7,11.5,11.65,91,1,1,1,30,6,83,7,180
43392.38435,11.55,-18.95,▼  ,3,43412.38435,1,BB ,8638000,2,91,3,-2.7,11.5,12,91,1,10,1,30,6,84,7,221
43392.38479,11.55,-18.95,▼  ,4,43412.38479,1,BB ,11525000,3,93,4,-2.7,11.45,11.65,93,1,1,1,1,6,91,7,192
43392.40183,10.7,-24.91,▼  ,5,43412.40183,1,SS ,14200000,300,94,5,-3.55,10.55,11,94,1,10,1,10,5,81,5,72
43392.40297,10.65,-25.26,▼  ,6,43412.40297,1,S  ,16863000,150,94,6,-3.6,10.65,10.85,94,1,1,1,3,5,81,5,25
43392.40316,10.75,-24.56,▼  ,7,43412.40316,1,BB ,19550000,200,95,7,-3.5,10.65,10.85,95,1,1,1,30,5,81,5,101
43392.40487,10.95,-23.16,▼  ,9,43412.40487,2,BB ,25025000,300,96,8,-3.3,10.85,11.2,96,1,10,2,5,5,90,6,36
43392.40581,11,-22.81,▼  ,10,43412.40581,1,SS ,27775000,200,98,9,-3.25,10.8,11.05,98,1,1,1,10,5,81,5,32
43392.42964,12.15,-14.74,▼  ,11,43412.42964,1,BB ,30813000,233.33,98,10,-2.1,11.8,12.45,98,1,2,1,10,5,97,5,81
43392.43892,11.8,-17.19,▼  ,12,43412.43892,1,SS ,33763000,175,98,11,-2.45,11.65,11.9,98,1,1,1,1,5,73,6,82
43392.47297,12.2,-14.39,▼  ,13,43412.47297,1,SS ,36813000,140,98,12,-2.05,12.1,12.65,98,1,10,1,1,5,90,6,75
43392.4738,12.15,-14.74,▼  ,14,43412.4738,1,SS ,39850000,116.67,98,13,-2.1,12.05,12.3,98,1,1,1,2,5,17,6,84
43392.47422,12.2,-14.39,▼  ,15,43412.47422,1,SS ,42900000,100,98,14,-2.05,12.15,12.45,98,1,2,1,2,5,74,6,76
43392.47709,12.7,-10.88,▼  ,16,43412.47709,1,SS ,46075000,87.5,98,15,-1.55,12.65,13,98,1,50,1,4,5,90,5,12
43392.48387,13.2,-7.37,▼  ,17,43412.48387,1,BB ,49375000,100,98,16,-1.05,13.1,13.25,98,1,1,2,5,5,9,6,61
43392.48807,13.35,-6.32,▼  ,18,43412.48807,1,SS ,52713000,88.89,98,17,-0.9,13.15,13.45,98,2,5,1,2,6,21,5,66
43392.51104,13.05,-8.42,▼  ,19,43412.51104,1,SS ,55975000,80,99,18,-1.2,12.95,13.15,99,1,1,1,1,6,59,5,56
43392.51792,12.95,-9.12,▼  ,20,43412.51792,1,SS ,59213000,72.73,99,19,-1.3,12.8,13.1,99,1,1,1,1,5,25,5,56
43392.5319,13.4,-5.96,▼  ,21,43412.5319,1,BB ,62563000,81.82,100,20,-0.85,13.3,13.5,100,1,2,1,1,5,66,6,66
43392.56531,13.65,-4.21,▼  ,22,43412.56531,1,BB ,65975000,90.91,101,21,-0.6,13.5,13.85,101,1,10,1,1,5,110,5,9
43392.58531,13.3,-6.67,▼  ,23,43412.58531,1,SS ,69300000,83.33,101,22,-0.95,13.15,13.4,101,1,4,1,2,6,69,5,74
43392.60009,14.4,1.05,▲  ,24,43412.60009,1,BB ,72900000,91.67,102,23,0.15,13.85,14.75,102,1,10,1,2,5,110,6,67
43392.60108,14.4,1.05,▲  ,25,43412.60108,1,BB ,76500000,100,103,24,0.15,14.3,14.5,103,1,1,2,3,5,65,6,19
43392.60666,14.35,0.7,▲  ,26,43412.60666,1,BB ,80088000,108.33,104,25,0.1,14.25,14.4,104,1,1,1,1,5,32,5,11
43392.60914,14.6,2.46,▲  ,27,43412.60914,1,BB ,83738000,116.67,104,26,0.35,14.5,14.75,104,1,10,1,1,5,110,5,57
43392.61061,14.45,1.4,▲  ,28,43412.61061,1,BB ,87350000,125,105,27,0.2,14.3,14.5,105,1,2,1,1,5,74,5,57
43392.61106,14.45,1.4,▲  ,29,43412.61106,1,B  ,90963000,133.33,105,28,0.2,14.3,14.45,105,1,30,1,1,5,45,5,57
43392.62508,14.5,1.75,▲  ,30,43412.62508,1,SS ,94588000,123.08,105,29,0.25,14.4,14.6,105,1,2,1,1,6,74,5,9
43392.62569,14.75,3.51,▲  ,31,43412.62569,1,BB ,98275000,130.77,105,30,0.5,14.6,15.05,105,1,10,1,1,5,110,5,9
43392.64057,14.35,0.7,▲  ,32,43412.64057,1,BB ,101863000,138.46,105,31,0.1,14.05,14.4,105,1,1,1,2,5,24,5,58
43392.64303,14.35,0.7,▲  ,33,43412.64303,1,BB ,105450000,146.15,104,32,0.1,14.2,14.5,104,1,10,1,1,5,74,5,9
43392.64493,14.3,0.35,▲  ,34,43412.64493,1,BB ,109025000,153.85,104,33,0.05,14.2,14.5,104,1,10,1,1,5,74,5,57
