,#QUERYING,,,,,,,,,,,,,,,,,,,,,,
시간,현재가,등락율,등락구분,거래량,체결시간,체결량,체결성향,거래대금,체결강도,미결제약정수량,체결번호,대비,체결매수호가,체결매도호가,체결미결제약정수량,체결우선호가매도건수,체결우선호가매도잔량,체결우선호가매수건수,체결우선호가매수잔량,체결5호가매도건수,체결5호가매도잔량,체결5호가매수건수,체결5호가매수잔량
43388.375,0.83,-18.63,▼  ,181,43412.375,181,B  ,37558000,0,21874,1,-0.19,0,0,21874,0,0,0,0,0,0,0,0
43388.375,0.82,-19.61,▼  ,233,43412.375,52,S  ,48218000,0,21874,2,-0.2,0,0,21874,3,66,7,52,10,92,17,89
43388.375,0.81,-20.59,▼  ,238,43412.375,5,SS ,49230000,0,21874,3,-0.21,0.8,0.81,21874,1,3,6,25,10,85,13,96
43388.37501,0.81,-20.59,▼  ,248,43412.37501,10,BB ,51255000,0,21874,4,-0.21,0.8,0.83,21874,2,16,6,25,10,54,14,97
43388.37502,0.8,-21.57,▼  ,251,43412.37502,3,S  ,51855000,0,21874,5,-0.22,0.8,0.83,21874,2,16,4,27,10,54,12,99
43388.37503,0.81,-20.59,▼  ,252,43412.37503,1,SS ,52058000,0,21874,6,-0.21,0.8,0.83,21874,2,16,4,27,10,54,12,99
43388.37503,0.8,-21.57,▼  ,253,43412.37503,1,S  ,52258000,0,21874,7,-0.22,0.8,0.83,21874,2,16,4,26,10,54,12,98
43388.37505,0.8,-21.57,▼  ,279,43412.37505,26,SS ,57458000,0,21874,8,-0.22,0.79,0.82,21874,1,2,4,4,8,32,15,46
43388.37506,0.79,-22.55,▼  ,283,43412.37506,4,SS ,58248000,0,21874,9,-0.23,0.78,0.82,21874,1,2,1,5,8,32,14,59
43388.37507,0.8,-21.57,▼  ,284,43412.37507,1,B  ,58448000,0,21874,10,-0.22,0.78,0.8,21874,1,2,1,5,8,39,17,180
43388.37507,0.8,-21.57,▼  ,286,43412.37507,2,BB ,58848000,0,21874,11,-0.22,0.78,0.82,21874,3,10,1,5,11,52,17,180
43388.37507,0.8,-21.57,▼  ,287,43412.37507,1,SS ,59048000,0,21874,12,-0.22,0.78,0.82,21874,4,14,1,5,12,56,17,180
43388.37507,0.8,-21.57,▼  ,290,43412.37507,3,SS ,59648000,0,21874,13,-0.22,0.78,0.82,21874,4,14,1,5,12,56,17,180
43388.37508,0.79,-22.55,▼  ,300,43412.37508,10,SS ,61623000,0,21874,14,-0.23,0.78,0.81,21874,1,10,2,15,10,61,20,260
43388.37508,0.8,-21.57,▼  ,310,43412.37508,10,SS ,63623000,0,21874,15,-0.22,0.79,0.81,21874,1,10,2,11,11,153,20,378
43388.37508,0.8,-21.57,▼  ,320,43412.37508,10,SS ,65623000,0,21874,16,-0.22,0.79,0.81,21874,1,10,2,11,11,153,21,470
43388.37512,0.8,-21.57,▼  ,321,43412.37512,1,B  ,65823000,0,21874,17,-0.22,0.79,0.8,21874,2,29,3,107,15,364,24,627
43388.37512,0.79,-22.55,▼  ,381,43412.37512,60,S  ,77673000,0,21874,18,-0.23,0.79,0.8,21874,2,29,1,47,15,364,22,567
43388.37512,0.79,-22.55,▼  ,384,43412.37512,3,S  ,78265000,0,21874,19,-0.23,0.79,0.8,21874,2,29,1,44,17,517,22,564
43388.37512,0.79,-22.55,▼  ,394,43412.37512,10,SS ,80240000,0,21874,20,-0.23,0.78,0.8,21874,2,29,5,109,20,638,25,597
43388.37512,0.79,-22.55,▼  ,434,43412.37512,40,B  ,88140000,0,21874,21,-0.23,0.78,0.79,21874,1,7,5,109,19,501,24,585
43388.37513,0.78,-23.53,▼  ,484,43412.37513,50,S  ,97890000,0,21874,22,-0.24,0.78,0.79,21874,1,7,1,60,20,507,21,629
43388.37513,0.78,-23.53,▼  ,486,43412.37513,2,S  ,98280000,0,21874,23,-0.24,0.78,0.79,21874,2,17,1,58,22,518,21,627
43388.37513,0.79,-22.55,▼  ,487,43412.37513,1,B  ,98478000,0,21874,24,-0.23,0.77,0.79,21874,2,16,5,106,22,517,23,573
43388.37513,0.78,-23.53,▼  ,497,43412.37513,10,BB ,100428000,0,21874,25,-0.24,0.77,0.79,21874,2,16,4,96,22,517,22,563
43388.37514,0.78,-23.53,▼  ,507,43412.37514,10,BB ,102378000,0,21874,26,-0.24,0.77,0.79,21874,2,16,4,14,21,507,22,562
43388.37514,0.78,-23.53,▼  ,517,43412.37514,10,BB ,104328000,0,21874,27,-0.24,0.77,0.79,21874,3,17,4,14,23,601,22,562
43388.37515,0.77,-24.51,▼  ,518,43412.37515,1,S  ,104520000,0,21874,28,-0.25,0.77,0.78,21874,3,22,2,3,23,546,20,551
43388.37516,0.77,-24.51,▼  ,521,43412.37516,3,SS ,105098000,0,21874,29,-0.25,0.76,0.78,21874,5,119,2,152,25,643,23,643
43388.37516,0.77,-24.51,▼  ,525,43412.37516,4,BB ,105868000,0,22585,30,-0.25,0.76,0.78,22585,6,123,2,152,26,647,23,643
43388.37517,0.77,-24.51,▼  ,546,43412.37517,21,BB ,109910000,0,22585,31,-0.25,0.76,0.78,22585,7,155,2,152,28,730,23,691
43388.37517,0.77,-24.51,▼  ,548,43412.37517,2,B  ,110295000,0,22585,32,-0.25,0.76,0.77,22585,1,10,1,10,24,630,24,702
