,KOSPI 200 콜옵션 1811 247.5,,,,,,,,,,,,,,,,,,,,,,
시간,현재가,등락율,등락구분,거래량,체결시간,체결량,체결성향,거래대금,체결강도,미결제약정수량,체결번호,대비,체결매수호가,체결매도호가,체결미결제약정수량,체결우선호가매도건수,체결우선호가매도잔량,체결우선호가매수건수,체결우선호가매수잔량,체결5호가매도건수,체결5호가매도잔량,체결5호가매수건수,체결5호가매수잔량
43391.38815,31.3,-4.57,▼  ,1,43412.38815,1,BB ,7825000,0,87,1,-1.5,0,0,87,1,1,2,20,0,0,0,0
43391.38823,31.3,-4.57,▼  ,2,43412.38823,1,BB ,15650000,1,88,2,-1.5,26.05,31.5,88,1,2,1,25,5,9,3,45
43391.634,30.35,-7.47,▼  ,3,43412.634,1,BB ,23238000,2,89,3,-2.45,29.05,30.75,89,1,2,1,2,5,10,5,49
