,KOSPI 200 콜옵션 1811 295.0,,,,,,,,,,,,,,,,,,,,,,
시간,현재가,등락율,등락구분,거래량,체결시간,체결량,체결성향,거래대금,체결강도,미결제약정수량,체결번호,대비,체결매수호가,체결매도호가,체결미결제약정수량,체결우선호가매도건수,체결우선호가매도잔량,체결우선호가매수건수,체결우선호가매수잔량,체결5호가매도건수,체결5호가매도잔량,체결5호가매수건수,체결5호가매수잔량
43396.375,0.08,-38.46,▼  ,637,43412.375,637,B  ,12740000,0,77939,1,-0.05,0,0,77939,0,0,0,0,0,0,0,0
43396.37505,0.07,-46.15,▼  ,638,43412.37505,1,S  ,12758000,0,77939,2,-0.06,0.07,0.08,77939,15,944,17,2577,72,3809,121,42692
43396.37535,0.07,-46.15,▼  ,641,43412.37535,3,S  ,12810000,0,78747,3,-0.06,0.07,0.08,78747,32,3520,27,2961,106,8464,155,51444
43396.37536,0.07,-46.15,▼  ,644,43412.37536,3,S  ,12863000,0,78747,4,-0.06,0.07,0.08,78747,34,3605,27,2958,110,9509,155,51441
43396.37537,0.07,-46.15,▼  ,647,43412.37537,3,S  ,12915000,0,78747,5,-0.06,0.07,0.08,78747,35,3710,29,3066,114,9929,158,51654
43396.37537,0.07,-46.15,▼  ,650,43412.37537,3,S  ,12968000,0,78747,6,-0.06,0.07,0.08,78747,35,3710,30,3064,114,9929,159,51652
43396.37538,0.07,-46.15,▼  ,653,43412.37538,3,S  ,13020000,0,78747,7,-0.06,0.07,0.08,78747,35,3710,31,3161,114,9929,160,51749
43396.37538,0.07,-46.15,▼  ,656,43412.37538,3,S  ,13073000,0,78747,8,-0.06,0.07,0.08,78747,36,3715,31,3158,115,9934,160,51746
43396.37539,0.07,-46.15,▼  ,659,43412.37539,3,S  ,13125000,0,78747,9,-0.06,0.07,0.08,78747,36,3715,31,3155,118,11233,160,51743
43396.37545,0.08,-38.46,▼  ,669,43412.37545,10,B  ,13325000,0,78747,10,-0.05,0.07,0.08,78747,35,3630,35,3726,118,11743,167,53645
43396.37549,0.08,-38.46,▼  ,672,43412.37549,3,B  ,13385000,0,78747,11,-0.05,0.07,0.08,78747,36,3632,33,2459,119,11745,166,52401
43396.37552,0.07,-46.15,▼  ,673,43412.37552,1,S  ,13403000,0,78747,12,-0.06,0.07,0.08,78747,37,3637,31,2306,121,11750,165,52362
43396.37552,0.07,-46.15,▼  ,676,43412.37552,3,S  ,13455000,0,78747,13,-0.06,0.07,0.08,78747,37,3637,31,2303,121,11750,165,52359
43396.37552,0.07,-46.15,▼  ,678,43412.37552,2,S  ,13490000,0,78747,14,-0.06,0.07,0.08,78747,38,3712,31,2301,122,11825,165,52357
43396.37552,0.07,-46.15,▼  ,679,43412.37552,1,S  ,13508000,0,78747,15,-0.06,0.07,0.08,78747,38,3712,31,2300,122,11825,165,52356
43396.37559,0.07,-46.15,▼  ,680,43412.37559,1,S  ,13525000,0,78753,16,-0.06,0.07,0.08,78753,43,3757,29,2019,128,11875,165,52669
43396.37559,0.07,-46.15,▼  ,681,43412.37559,1,S  ,13543000,0,78753,17,-0.06,0.07,0.08,78753,43,3757,29,2018,128,11875,165,52668
43396.37559,0.07,-46.15,▼  ,682,43412.37559,1,S  ,13560000,0,78753,18,-0.06,0.07,0.08,78753,43,3757,29,2017,128,11875,165,52667
43396.37559,0.07,-46.15,▼  ,684,43412.37559,2,S  ,13595000,0,78753,19,-0.06,0.07,0.08,78753,43,3757,29,2015,128,11875,165,52665
43396.37581,0.07,-46.15,▼  ,724,43412.37581,40,S  ,14295000,0,78753,20,-0.06,0.07,0.08,78753,43,5440,42,2557,145,13758,179,53262
43396.37583,0.07,-46.15,▼  ,725,43412.37583,1,S  ,14313000,0,78753,21,-0.06,0.07,0.08,78753,43,5440,42,2556,145,13758,179,53261
43396.37601,0.07,-46.15,▼  ,726,43412.37601,1,S  ,14330000,0,78712,22,-0.06,0.07,0.08,78712,43,5440,48,2297,149,13842,190,53080
