,#QUERYING,,,,,,,,,,,,,,,,,,,,,,
시간,현재가,등락율,등락구분,거래량,체결시간,체결량,체결성향,거래대금,체결강도,미결제약정수량,체결번호,대비,체결매수호가,체결매도호가,체결미결제약정수량,체결우선호가매도건수,체결우선호가매도잔량,체결우선호가매수건수,체결우선호가매수잔량,체결5호가매도건수,체결5호가매도잔량,체결5호가매수건수,체결5호가매수잔량
43397.375,0.27,22.73,▲  ,333,43412.375,333,B  ,22478000,0,71953,1,0.05,0,0,71953,0,0,0,0,0,0,0,0
43397.375,0.27,22.73,▲  ,336,43412.375,3,BB ,22680000,0,71953,2,0.05,0.26,0.28,71953,11,40,52,466,51,369,92,1779
43397.37501,0.28,27.27,▲  ,356,43412.37501,20,B  ,24080000,0,71953,3,0.06,0.27,0.28,71953,6,20,1,100,48,397,78,1389
43397.37501,0.28,27.27,▲  ,364,43412.37501,8,B  ,24640000,0,71953,4,0.06,0.27,0.28,71953,5,12,1,100,47,389,78,1389
43397.37501,0.28,27.27,▲  ,376,43412.37501,12,BB ,25480000,0,71953,5,0.06,0.27,0.29,71953,12,151,1,100,48,466,78,1389
43397.37501,0.29,31.82,▲  ,377,43412.37501,1,B  ,25553000,0,71953,6,0.07,0.27,0.29,71953,12,150,1,100,48,465,78,1389
43397.37501,0.29,31.82,▲  ,379,43412.37501,2,B  ,25698000,0,71953,7,0.07,0.27,0.29,71953,12,148,1,100,48,463,78,1389
43397.37502,0.27,22.73,▲  ,380,43412.37502,1,S  ,25765000,0,71953,8,0.05,0.27,0.29,71953,12,148,1,99,49,473,78,1388
43397.37508,0.27,22.73,▲  ,390,43412.37508,10,S  ,26440000,0,71953,9,0.05,0.27,0.28,71953,6,40,37,374,54,509,115,1664
43397.37509,0.27,22.73,▲  ,391,43412.37509,1,S  ,26508000,0,74102,10,0.05,0.27,0.28,74102,8,42,39,386,56,511,118,1677
43397.37513,0.27,22.73,▲  ,393,43412.37513,2,S  ,26643000,0,74102,11,0.05,0.27,0.28,74102,13,136,40,385,67,829,120,1717
43397.37513,0.27,22.73,▲  ,394,43412.37513,1,S  ,26710000,0,74102,12,0.05,0.27,0.28,74102,13,136,40,384,67,829,120,1716
43397.37513,0.27,22.73,▲  ,395,43412.37513,1,S  ,26778000,0,74102,13,0.05,0.27,0.28,74102,13,136,40,383,67,829,120,1715
43397.37513,0.27,22.73,▲  ,396,43412.37513,1,S  ,26845000,0,74102,14,0.05,0.27,0.28,74102,13,136,40,382,67,829,120,1714
43397.37513,0.27,22.73,▲  ,397,43412.37513,1,S  ,26913000,0,74102,15,0.05,0.27,0.28,74102,13,136,40,381,67,829,120,1713
43397.37513,0.27,22.73,▲  ,398,43412.37513,1,S  ,26980000,0,74102,16,0.05,0.27,0.28,74102,13,136,40,380,67,829,120,1712
43397.37513,0.27,22.73,▲  ,408,43412.37513,10,S  ,27655000,0,74102,17,0.05,0.27,0.28,74102,13,136,41,371,67,829,123,1785
43397.37514,0.27,22.73,▲  ,419,43412.37514,11,S  ,28398000,0,74102,18,0.05,0.27,0.28,74102,13,136,41,360,67,829,123,1774
43397.37514,0.27,22.73,▲  ,420,43412.37514,1,S  ,28465000,0,74102,19,0.05,0.27,0.28,74102,13,136,41,359,67,892,123,1773
43397.37514,0.27,22.73,▲  ,433,43412.37514,13,S  ,29343000,0,74102,20,0.05,0.27,0.28,74102,13,136,41,346,66,879,123,1760
43397.37516,0.28,27.27,▲  ,434,43412.37516,1,B  ,29413000,0,74102,21,0.06,0.27,0.28,74102,14,138,41,346,69,906,124,1784
43397.37516,0.27,22.73,▲  ,444,43412.37516,10,S  ,30088000,0,74102,22,0.05,0.27,0.28,74102,13,128,41,336,68,896,124,1774
43397.37516,0.28,27.27,▲  ,544,43412.37516,100,B  ,37088000,0,74102,23,0.06,0.27,0.28,74102,3,82,42,337,58,850,124,1774
43397.37517,0.27,22.73,▲  ,555,43412.37517,11,S  ,37830000,0,74102,24,0.05,0.27,0.28,74102,3,82,42,326,58,850,124,1763
43397.37517,0.27,22.73,▲  ,566,43412.37517,11,S  ,38573000,0,74102,25,0.05,0.27,0.28,74102,4,92,42,315,60,868,124,1752
43397.37517,0.27,22.73,▲  ,573,43412.37517,7,S  ,39045000,0,74102,26,0.05,0.27,0.28,74102,4,92,42,308,60,868,124,1745
43397.37517,0.27,22.73,▲  ,574,43412.37517,1,S  ,39113000,0,74102,27,0.05,0.27,0.28,74102,4,92,42,307,60,868,125,1754
43397.37519,0.27,22.73,▲  ,576,43412.37519,2,S  ,39248000,0,74102,28,0.05,0.27,0.28,74102,5,102,42,305,61,878,126,1753
43397.37519,0.27,22.73,▲  ,577,43412.37519,1,S  ,39315000,0,74102,29,0.05,0.27,0.28,74102,5,102,42,304,61,878,126,1752
43397.37519,0.27,22.73,▲  ,578,43412.37519,1,S  ,39383000,0,74102,30,0.05,0.27,0.28,74102,5,102,42,303,61,878,126,1751
43397.37519,0.27,22.73,▲  ,589,43412.37519,11,S  ,40125000,0,74102,31,0.05,0.27,0.28,74102,5,102,41,292,61,878,125,1740
43397.37521,0.28,27.27,▲  ,590,43412.37521,1,B  ,40195000,0,74102,32,0.06,0.27,0.28,74102,5,101,42,293,61,877,127,1891
43397.37521,0.28,27.27,▲  ,690,43412.37521,100,B  ,47195000,0,74102,33,0.06,0.27,0.28,74102,2,37,42,293,58,813,129,2083
43397.37522,0.27,22.73,▲  ,692,43412.37522,2,S  ,47330000,0,74102,34,0.05,0.27,0.28,74102,4,82,42,301,60,858,130,2241
43397.37522,0.27,22.73,▲  ,700,43412.37522,8,S  ,47870000,0,74102,35,0.05,0.27,0.28,74102,6,94,40,293,64,1062,129,2383
43397.37522,0.27,22.73,▲  ,704,43412.37522,4,S  ,48140000,0,74102,36,0.05,0.27,0.28,74102,8,245,41,331,68,1551,133,2465
43397.37523,0.27,22.73,▲  ,706,43412.37523,2,S  ,48275000,0,74102,37,0.05,0.27,0.28,74102,9,265,38,277,69,1571,130,2411
43397.37523,0.27,22.73,▲  ,711,43412.37523,5,S  ,48613000,0,74102,38,0.05,0.27,0.28,74102,9,265,36,272,69,1571,128,2406
43397.37523,0.27,22.73,▲  ,713,43412.37523,2,S  ,48748000,0,74102,39,0.05,0.27,0.28,74102,9,265,36,270,69,1571,128,2404
43397.37523,0.27,22.73,▲  ,714,43412.37523,1,S  ,48815000,0,74102,40,0.05,0.27,0.28,74102,9,265,36,269,69,1571,128,2403
43397.37523,0.27,22.73,▲  ,724,43412.37523,10,S  ,49490000,0,74102,41,0.05,0.27,0.28,74102,9,265,35,264,70,1573,127,2398
43397.37524,0.27,22.73,▲  ,725,43412.37524,1,S  ,49558000,0,74102,42,0.05,0.27,0.28,74102,9,265,35,258,70,1573,127,2392
43397.37524,0.27,22.73,▲  ,728,43412.37524,3,S  ,49760000,0,74102,43,0.05,0.27,0.28,74102,9,265,35,255,70,1573,127,2389
43397.37524,0.27,22.73,▲  ,732,43412.37524,4,S  ,50030000,0,74102,44,0.05,0.27,0.28,74102,9,265,35,258,70,1573,129,2459
43397.37524,0.27,22.73,▲  ,733,43412.37524,1,S  ,50098000,0,74102,45,0.05,0.27,0.28,74102,9,116,35,299,70,1424,128,2350
43397.37525,0.27,22.73,▲  ,736,43412.37525,3,S  ,50300000,0,74102,46,0.05,0.27,0.28,74102,14,201,34,329,77,1557,130,2494
43397.37527,0.27,22.73,▲  ,737,43412.37527,1,S  ,50368000,0,74102,47,0.05,0.27,0.28,74102,22,400,36,374,87,1751,133,2689
43397.37528,0.27,22.73,▲  ,738,43412.37528,1,S  ,50435000,0,74102,48,0.05,0.27,0.28,74102,23,401,33,251,88,1752,132,2609
43397.37529,0.27,22.73,▲  ,739,43412.37529,1,S  ,50503000,0,74102,49,0.05,0.27,0.28,74102,27,478,33,252,90,1754,130,2563
43397.37529,0.27,22.73,▲  ,741,43412.37529,2,S  ,50638000,0,74102,50,0.05,0.27,0.28,74102,27,478,32,250,90,1754,129,2561
43397.37529,0.27,22.73,▲  ,743,43412.37529,2,S  ,50773000,0,74102,51,0.05,0.27,0.28,74102,27,478,31,248,90,1754,128,2559
43397.37529,0.27,22.73,▲  ,744,43412.37529,1,S  ,50840000,0,74102,52,0.05,0.27,0.28,74102,27,478,31,247,90,1754,128,2558
43397.37529,0.27,22.73,▲  ,773,43412.37529,29,S  ,52798000,0,74102,53,0.05,0.27,0.28,74102,27,478,26,218,90,1754,123,2529
43397.37529,0.27,22.73,▲  ,774,43412.37529,1,S  ,52865000,0,74102,54,0.05,0.27,0.28,74102,27,478,27,220,90,1754,124,2531
43397.37529,0.27,22.73,▲  ,801,43412.37529,27,S  ,54688000,0,74102,55,0.05,0.27,0.28,74102,27,478,19,190,90,1754,117,2543
43397.37529,0.27,22.73,▲  ,820,43412.37529,19,S  ,55970000,0,74102,56,0.05,0.27,0.28,74102,27,478,18,171,90,1754,116,2524
43397.37529,0.27,22.73,▲  ,847,43412.37529,27,S  ,57793000,0,74102,57,0.05,0.27,0.28,74102,27,478,15,144,90,1754,113,2497
43397.37529,0.27,22.73,▲  ,866,43412.37529,19,S  ,59075000,0,74102,58,0.05,0.27,0.28,74102,27,478,12,125,90,1754,110,2478
43397.37529,0.27,22.73,▲  ,987,43412.37529,121,S  ,67243000,0,74102,59,0.05,0.27,0.28,74102,27,478,1,4,90,1754,99,2357
43397.37529,0.27,22.73,▲  ,991,43412.37529,4,S  ,67513000,0,74102,60,0.05,0.27,0.28,74102,27,478,1,4,90,1754,99,2357
43397.37529,0.27,22.73,▲  ,1002,43412.37529,11,B  ,68255000,0,74102,61,0.05,0.26,0.27,74102,2,339,59,781,84,2020,118,2958
43397.37529,0.27,22.73,▲  ,1006,43412.37529,4,B  ,68525000,0,74102,62,0.05,0.26,0.27,74102,2,335,59,781,84,2016,118,2958
43397.37529,0.27,22.73,▲  ,1008,43412.37529,2,B  ,68660000,0,74102,63,0.05,0.26,0.27,74102,2,333,59,781,84,2014,118,2958
43397.3753,0.27,22.73,▲  ,1009,43412.3753,1,B  ,68728000,0,74102,64,0.05,0.26,0.27,74102,5,376,59,781,85,1974,118,2958
43397.3753,0.27,22.73,▲  ,1010,43412.3753,1,B  ,68795000,0,74102,65,0.05,0.26,0.27,74102,5,375,59,781,85,1973,118,2958
43397.37531,0.26,18.18,▲  ,1018,43412.37531,8,S  ,69315000,0,74102,66,0.04,0.26,0.27,74102,15,399,57,773,98,2070,116,2950
43397.37532,0.26,18.18,▲  ,1019,43412.37532,1,S  ,69380000,0,74102,67,0.04,0.26,0.27,74102,17,447,57,772,99,2074,116,2949
43397.37534,0.26,18.18,▲  ,1023,43412.37534,4,S  ,69640000,0,74102,68,0.04,0.26,0.27,74102,20,450,57,768,102,2077,116,2945
43397.37536,0.26,18.18,▲  ,1024,43412.37536,1,S  ,69705000,0,74102,69,0.04,0.26,0.27,74102,29,702,54,537,109,2117,117,2945
43397.37537,0.26,18.18,▲  ,1028,43412.37537,4,S  ,69965000,0,74102,70,0.04,0.26,0.27,74102,29,702,54,533,109,2117,117,2941
43397.37538,0.26,18.18,▲  ,1038,43412.37538,10,S  ,70615000,0,73989,71,0.04,0.26,0.27,73989,31,715,51,487,112,2131,111,2827
43397.37541,0.26,18.18,▲  ,1039,43412.37541,1,S  ,70680000,0,73989,72,0.04,0.26,0.27,73989,30,714,50,498,110,2129,110,2836
43397.37542,0.26,18.18,▲  ,1041,43412.37542,2,S  ,70810000,0,73989,73,0.04,0.26,0.27,73989,30,714,48,438,110,2129,110,2881
43397.37543,0.26,18.18,▲  ,1043,43412.37543,2,S  ,70940000,0,73989,74,0.04,0.26,0.27,73989,30,714,49,440,111,2130,111,2883
43397.37549,0.26,18.18,▲  ,1047,43412.37549,4,S  ,71200000,0,73989,75,0.04,0.26,0.27,73989,32,763,55,496,116,2373,122,2971
43397.37551,0.26,18.18,▲  ,1050,43412.37551,3,S  ,71395000,0,73989,76,0.04,0.26,0.27,73989,28,316,60,582,116,2062,131,3012
43397.37552,0.26,18.18,▲  ,1052,43412.37552,2,S  ,71525000,0,74006,77,0.04,0.26,0.27,74006,28,316,63,773,116,2210,133,3163
43397.37552,0.27,22.73,▲  ,1152,43412.37552,100,B  ,78275000,0,74006,78,0.05,0.26,0.27,74006,25,96,63,773,113,1990,134,3168
43397.37552,0.27,22.73,▲  ,1248,43412.37552,96,B  ,84755000,0,74006,79,0.05,0.26,0.27,74006,25,96,63,773,113,1990,134,3168
43397.37552,0.27,22.73,▲  ,1250,43412.37552,2,S  ,84890000,0,74006,80,0.05,0.27,0.28,74006,26,541,1,26,98,2152,114,2565
43397.37553,0.27,22.73,▲  ,1251,43412.37553,1,S  ,84958000,0,74006,81,0.05,0.27,0.28,74006,29,560,7,55,103,2187,117,2542
43397.37554,0.27,22.73,▲  ,1252,43412.37554,1,S  ,85025000,0,74006,82,0.05,0.27,0.28,74006,30,561,19,125,106,2190,130,2626
43397.37554,0.27,22.73,▲  ,1254,43412.37554,2,S  ,85160000,0,74006,83,0.05,0.27,0.28,74006,30,561,19,124,106,2190,130,2625
43397.37554,0.27,22.73,▲  ,1256,43412.37554,2,S  ,85295000,0,74006,84,0.05,0.27,0.28,74006,30,561,18,122,106,2190,129,2623
43397.37554,0.27,22.73,▲  ,1257,43412.37554,1,S  ,85363000,0,74006,85,0.05,0.27,0.28,74006,25,556,18,80,101,2185,128,2578
43397.37554,0.27,22.73,▲  ,1258,43412.37554,1,S  ,85430000,0,74006,86,0.05,0.27,0.28,74006,25,556,18,79,101,2185,128,2577
43397.37554,0.27,22.73,▲  ,1260,43412.37554,2,S  ,85565000,0,74006,87,0.05,0.27,0.28,74006,25,556,17,77,101,2185,127,2575
43397.37554,0.27,22.73,▲  ,1262,43412.37554,2,S  ,85700000,0,74006,88,0.05,0.27,0.28,74006,25,556,12,30,101,2185,122,2528
43397.37554,0.27,22.73,▲  ,1292,43412.37554,30,S  ,87725000,0,74006,89,0.05,0.27,0.28,74006,25,556,12,30,101,2185,122,2528
43397.37554,0.27,22.73,▲  ,1293,43412.37554,1,SS ,87793000,0,74006,90,0.05,0.26,0.28,74006,25,556,61,770,101,2185,130,3101
43397.37556,0.27,22.73,▲  ,1294,43412.37556,1,S  ,87860000,0,74006,91,0.05,0.27,0.28,74006,25,556,1,7,101,2185,112,2547
43397.37556,0.27,22.73,▲  ,1331,43412.37556,37,SS ,90358000,0,74006,92,0.05,0.26,0.28,74006,25,556,61,770,101,2185,131,3143
43397.37556,0.27,22.73,▲  ,1332,43412.37556,1,S  ,90425000,0,74006,93,0.05,0.27,0.28,74006,25,556,1,6,101,2185,112,2546
43397.37556,0.27,22.73,▲  ,1333,43412.37556,1,S  ,90493000,0,74006,94,0.05,0.27,0.28,74006,25,556,1,5,101,2185,112,2545
43397.37556,0.27,22.73,▲  ,1334,43412.37556,1,S  ,90560000,0,74006,95,0.05,0.27,0.28,74006,25,556,1,4,101,2185,112,2544
43397.37557,0.27,22.73,▲  ,1338,43412.37557,4,SS ,90830000,0,74006,96,0.05,0.26,0.27,74006,1,81,61,770,89,2054,131,3143
