,KOSPI 200 콜옵션 1811 265.0,,,,,,,,,,,,,,,,,,,,,,
시간,현재가,등락율,등락구분,거래량,체결시간,체결량,체결성향,거래대금,체결강도,미결제약정수량,체결번호,대비,체결매수호가,체결매도호가,체결미결제약정수량,체결우선호가매도건수,체결우선호가매도잔량,체결우선호가매수건수,체결우선호가매수잔량,체결5호가매도건수,체결5호가매도잔량,체결5호가매수건수,체결5호가매수잔량
43395.39308,13.15,-8.04,▼  ,1,43412.39308,1,BB ,3288000,0,104,1,-1.15,0,0,104,1,9,1,2,0,0,0,0
43395.41502,13,-9.09,▼  ,2,43412.41502,1,SS ,6538000,0,104,2,-1.3,12.95,13.05,104,2,3,1,1,6,42,5,14
43395.41505,13,-9.09,▼  ,3,43412.41505,1,SS ,9788000,0,104,3,-1.3,12.95,13.05,104,2,3,1,1,6,42,6,16
43395.41516,13,-9.09,▼  ,4,43412.41516,1,SS ,13038000,0,104,4,-1.3,12.95,13.05,104,2,3,1,1,6,42,6,16
43395.4152,13,-9.09,▼  ,5,43412.4152,1,SS ,16288000,0,104,5,-1.3,12.95,13.05,104,2,3,1,1,6,42,6,16
43395.41549,12.95,-9.44,▼  ,6,43412.41549,1,SS ,19525000,0,104,6,-1.35,12.85,13.05,104,1,4,2,3,6,21,6,74
43395.41731,12.75,-10.84,▼  ,7,43412.41731,1,SS ,22713000,0,104,7,-1.55,12.55,12.85,104,1,2,1,10,5,25,5,90
43395.41831,12.8,-10.49,▼  ,8,43412.41831,1,S  ,25913000,0,103,8,-1.5,12.8,12.95,103,2,2,1,1,6,41,6,74
43395.42191,13.05,-8.74,▼  ,9,43412.42191,1,SS ,29175000,0,103,9,-1.25,12.95,13.1,103,2,3,1,1,6,82,5,15
43395.42255,12.9,-9.79,▼  ,10,43412.42255,1,SS ,32400000,0,102,10,-1.4,12.85,13,102,2,3,1,2,6,34,5,16
43395.42478,12.75,-10.84,▼  ,11,43412.42478,1,SS ,35588000,0,102,11,-1.55,12.6,12.9,102,2,3,1,1,6,27,5,81
43395.48934,14.2,-0.7,▼  ,12,43412.48934,1,SS ,39138000,0,102,12,-0.1,14.1,14.3,102,1,2,1,2,5,82,5,102
