,#QUERYING,,,,,,,,,,,,,,,,,,,,,,
╜├░г,╟Ў└ч░б,╡ю╢Ї└▓,╡ю╢Ї▒╕║╨,░┼╖б╖о,├╝░с╜├░г,├╝░с╖о,├╝░с╝║╟т,░┼╖б┤ы▒▌,├╝░с░н╡╡,╣╠░с┴ж╛р┴д╝Ў╖о,├╝░с╣°╚г,┤ы║ё,├╝░с╕┼╝Ў╚г░б,├╝░с╕┼╡╡╚г░б,├╝░с╣╠░с┴ж╛р┴д╝Ў╖о,├╝░с┐ь╝▒╚г░б╕┼╡╡░╟╝Ў,├╝░с┐ь╝▒╚г░б╕┼╡╡└▄╖о,├╝░с┐ь╝▒╚г░б╕┼╝Ў░╟╝Ў,├╝░с┐ь╝▒╚г░б╕┼╝Ў└▄╖о,├╝░с5╚г░б╕┼╡╡░╟╝Ў,├╝░с5╚г░б╕┼╡╡└▄╖о,├╝░с5╚г░б╕┼╝Ў░╟╝Ў,├╝░с5╚г░б╕┼╝Ў└▄╖о
43390.375,0.5,66.67,бу  ,637,43412.375,637,B  ,79625000,0,48016,1,0.2,0,0,48016,0,0,0,0,0,0,0,0
43390.375,0.5,66.67,бу  ,718,43412.375,81,S  ,89750000,0,48016,2,0.2,0.5,0.51,48016,7,222,14,78,23,723,43,397
43390.375,0.5,66.67,бу  ,720,43412.375,2,S  ,90000000,0,48016,3,0.2,0.5,0.51,48016,7,222,13,76,23,723,42,395
43390.375,0.51,70,бу  ,730,43412.375,10,B  ,91275000,0,48016,4,0.21,0.5,0.51,48016,6,212,13,76,22,713,42,395
43390.37501,0.5,66.67,бу  ,733,43412.37501,3,S  ,91650000,0,48016,5,0.2,0.5,0.51,48016,6,212,12,73,22,713,41,392
43390.37501,0.5,66.67,бу  ,736,43412.37501,3,S  ,92025000,0,48016,6,0.2,0.5,0.51,48016,6,212,11,70,22,713,40,389
43390.37501,0.5,66.67,бу  ,737,43412.37501,1,S  ,92150000,0,48016,7,0.2,0.5,0.51,48016,6,212,10,69,22,713,39,388
43390.37501,0.51,70,бу  ,738,43412.37501,1,B  ,92278000,0,48016,8,0.21,0.5,0.51,48016,6,211,10,69,22,712,39,388
43390.37501,0.5,66.67,бу  ,740,43412.37501,2,S  ,92528000,0,48016,9,0.2,0.5,0.51,48016,6,211,9,67,22,712,38,386
43390.37501,0.5,66.67,бу  ,741,43412.37501,1,S  ,92653000,0,48016,10,0.2,0.5,0.51,48016,6,211,9,66,22,712,38,385
43390.37501,0.5,66.67,бу  ,742,43412.37501,1,S  ,92778000,0,48016,11,0.2,0.5,0.51,48016,6,211,8,65,23,730,38,399
43390.37501,0.5,66.67,бу  ,763,43412.37501,21,S  ,95403000,0,48016,12,0.2,0.5,0.51,48016,5,63,6,44,22,582,37,526
43390.37501,0.5,66.67,бу  ,807,43412.37501,44,SS ,100903000,0,48016,13,0.2,0.49,0.51,48016,5,63,4,11,22,582,50,602
43390.37501,0.49,63.33,бу  ,812,43412.37501,5,S  ,101515000,0,48016,14,0.19,0.49,0.51,48016,5,63,1,6,21,434,47,597
43390.37501,0.49,63.33,бу  ,818,43412.37501,6,SS ,102250000,0,48016,15,0.19,0.48,0.51,48016,5,63,5,44,21,434,52,475
43390.37503,0.49,63.33,бу  ,819,43412.37503,1,S  ,102373000,0,48016,16,0.19,0.48,0.51,48016,5,63,1,1,24,780,53,957
43390.37503,0.48,60,бу  ,822,43412.37503,3,SS ,102733000,0,48016,17,0.18,0.48,0.51,48016,5,63,5,189,24,780,58,985
43390.37503,0.49,63.33,бу  ,824,43412.37503,2,BB ,102978000,0,48016,18,0.19,0.48,0.51,48016,5,63,5,189,24,780,58,985
43390.37505,0.48,60,бу  ,837,43412.37505,13,S  ,104538000,0,48016,19,0.18,0.48,0.51,48016,8,221,5,176,29,974,57,957
43390.37505,0.49,63.33,бу  ,839,43412.37505,2,BB ,104783000,0,48016,20,0.19,0.48,0.5,48016,2,17,5,176,28,818,56,809
43390.37505,0.49,63.33,бу  ,846,43412.37505,7,BB ,105640000,0,48016,21,0.19,0.48,0.5,48016,1,10,5,176,27,811,56,809
43390.37505,0.49,63.33,бу  ,847,43412.37505,1,BB ,105763000,0,48016,22,0.19,0.48,0.5,48016,1,10,5,176,27,811,56,809
