,KOSPI 200 ─▌┐╔╝╟ 1811 297.5,,,,,,,,,,,,,,,,,,,,,,
╜├░г,╟Ў└ч░б,╡ю╢Ї└▓,╡ю╢Ї▒╕║╨,░┼╖б╖о,├╝░с╜├░г,├╝░с╖о,├╝░с╝║╟т,░┼╖б┤ы▒▌,├╝░с░н╡╡,╣╠░с┴ж╛р┴д╝Ў╖о,├╝░с╣°╚г,┤ы║ё,├╝░с╕┼╝Ў╚г░б,├╝░с╕┼╡╡╚г░б,├╝░с╣╠░с┴ж╛р┴д╝Ў╖о,├╝░с┐ь╝▒╚г░б╕┼╡╡░╟╝Ў,├╝░с┐ь╝▒╚г░б╕┼╡╡└▄╖о,├╝░с┐ь╝▒╚г░б╕┼╝Ў░╟╝Ў,├╝░с┐ь╝▒╚г░б╕┼╝Ў└▄╖о,├╝░с5╚г░б╕┼╡╡░╟╝Ў,├╝░с5╚г░б╕┼╡╡└▄╖о,├╝░с5╚г░б╕┼╝Ў░╟╝Ў,├╝░с5╚г░б╕┼╝Ў└▄╖о
43390.375,0.16,100,бу  ,725,43412.375,725,B  ,29000000,0,44467,1,0.08,0,0,44467,0,0,0,0,0,0,0,0
43390.375,0.17,112.5,бу  ,727,43412.375,2,B  ,29085000,0,44467,2,0.09,0.16,0.17,44467,9,179,13,813,60,1769,90,3842
43390.37507,0.16,100,бу  ,1266,43412.37507,539,S  ,50645000,0,44467,3,0.08,0.16,0.17,44467,11,220,2,275,61,1773,84,3500
43390.37507,0.17,112.5,бу  ,1268,43412.37507,2,B  ,50730000,0,44467,4,0.09,0.16,0.17,44467,10,72,2,275,60,1625,84,3500
43390.37507,0.16,100,бу  ,1338,43412.37507,70,S  ,53530000,0,44467,5,0.08,0.16,0.17,44467,10,72,2,205,60,1625,84,3430
43390.37508,0.16,100,бу  ,1458,43412.37508,120,S  ,58330000,0,44824,6,0.08,0.16,0.17,44824,12,226,2,85,64,1972,87,3761
43390.3751,0.16,100,бу  ,1714,43412.3751,256,S  ,68570000,0,44824,7,0.08,0.16,0.17,44824,12,226,1,20,64,1972,86,3677
43390.3751,0.16,100,бу  ,1734,43412.3751,20,SS ,69370000,0,44824,8,0.08,0.15,0.16,44824,1,120,23,450,56,1823,107,5211
43390.3751,0.16,100,бу  ,1854,43412.3751,120,BB ,74170000,0,44824,9,0.08,0.15,0.17,44824,12,226,23,450,64,1972,107,5211
