,KOSPI 200 콜옵션 1811 312.5,,,,,,,,,,,,,,,,,,,,,,
시간,현재가,등락율,등락구분,거래량,체결시간,체결량,체결성향,거래대금,체결강도,미결제약정수량,체결번호,대비,체결매수호가,체결매도호가,체결미결제약정수량,체결우선호가매도건수,체결우선호가매도잔량,체결우선호가매수건수,체결우선호가매수잔량,체결5호가매도건수,체결5호가매도잔량,체결5호가매수건수,체결5호가매수잔량
43396.41579,0.01,0,   ,1,43412.41579,1,BB ,3000,0,26794,1,0,0,0,26794,102,20108,0,0,0,0,0,0
43396.41759,0.01,0,   ,2,43412.41759,1,B  ,5000,1,26794,2,0,0,0.01,26794,102,20107,0,0,105,20125,0,0
43396.41826,0.01,0,   ,3,43412.41826,1,B  ,8000,2,26794,3,0,0,0.01,26794,102,20106,0,0,105,20124,0,0
43396.41838,0.01,0,   ,4,43412.41838,1,B  ,10000,3,26794,4,0,0,0.01,26794,103,20135,0,0,106,20153,0,0
43396.52344,0.01,0,   ,5,43412.52344,1,B  ,13000,4,26794,5,0,0,0.01,26794,90,19777,0,0,94,19796,0,0
43396.52672,0.01,0,   ,6,43412.52672,1,B  ,15000,5,26794,6,0,0,0.01,26794,90,19776,0,0,94,19795,0,0
43396.59412,0.01,0,   ,7,43412.59412,1,B  ,18000,6,26794,7,0,0,0.01,26794,93,19977,0,0,97,19996,0,0
43396.59449,0.01,0,   ,9,43412.59449,2,B  ,23000,8,26794,8,0,0,0.01,26794,93,19975,0,0,97,19994,0,0
43396.61953,0.01,0,   ,19,43412.61953,10,B  ,48000,18,26794,9,0,0,0.01,26794,93,19965,0,0,97,19984,0,0
43396.64228,0.01,0,   ,20,43412.64228,1,B  ,50000,19,26791,10,0,0,0.01,26791,93,19964,0,0,97,19983,0,0
