,KOSPI 200 콜옵션 1811 292.5,,,,,,,,,,,,,,,,,,,,,,
시간,현재가,등락율,등락구분,거래량,체결시간,체결량,체결성향,거래대금,체결강도,미결제약정수량,체결번호,대비,체결매수호가,체결매도호가,체결미결제약정수량,체결우선호가매도건수,체결우선호가매도잔량,체결우선호가매수건수,체결우선호가매수잔량,체결5호가매도건수,체결5호가매도잔량,체결5호가매수건수,체결5호가매수잔량
43389.375,0.38,11.76,▲  ,153,43412.375,153,B  ,14535000,0,39645,1,0.04,0,0,39645,0,0,0,0,0,0,0,0
43389.375,0.38,11.76,▲  ,154,43412.375,1,S  ,14630000,0,39645,2,0.04,0.38,0.39,39645,9,145,2,23,27,495,20,376
43389.375,0.38,11.76,▲  ,177,43412.375,23,S  ,16815000,0,39645,3,0.04,0.38,0.39,39645,9,145,2,23,26,255,20,376
43389.375,0.37,8.82,▲  ,186,43412.375,9,S  ,17648000,0,39645,4,0.03,0.38,0.39,39645,9,145,2,23,26,255,20,376
43389.375,0.36,5.88,▲  ,187,43412.375,1,SS ,17738000,0,39645,5,0.02,0.34,0.35,39645,1,55,8,253,25,295,34,650
43389.375,0.35,2.94,▲  ,242,43412.375,55,BB ,22550000,0,39645,6,0.01,0.34,0.39,39645,9,145,9,272,29,536,37,658
43389.37502,0.39,14.71,▲  ,264,43412.37502,22,B  ,24695000,0,39645,7,0.05,0.34,0.39,39645,9,164,8,15,34,438,33,184
43389.37505,0.38,11.76,▲  ,265,43412.37505,1,BB ,24790000,0,39645,8,0.04,0.36,0.39,39645,7,123,1,240,33,637,22,331
43389.37507,0.38,11.76,▲  ,275,43412.37507,10,BB ,25740000,0,39645,9,0.04,0.37,0.39,39645,8,133,1,10,33,377,19,118
43389.37507,0.37,8.82,▲  ,276,43412.37507,1,S  ,25833000,0,39645,10,0.03,0.37,0.39,39645,8,133,1,9,34,378,19,352
43389.37509,0.38,11.76,▲  ,291,43412.37509,15,SS ,27258000,0,39645,11,0.04,0.37,0.39,39645,7,123,1,9,33,586,21,163
43389.37512,0.39,14.71,▲  ,414,43412.37512,123,BB ,39250000,0,39645,12,0.05,0.37,0.4,39645,6,20,3,254,36,577,22,422
43389.37512,0.39,14.71,▲  ,415,43412.37512,1,S  ,39348000,0,39645,13,0.05,0.39,0.4,39645,6,20,2,11,34,527,13,384
43389.37512,0.39,14.71,▲  ,416,43412.37512,1,SS ,39445000,0,39645,14,0.05,0.38,0.4,39645,6,20,1,10,34,527,19,424
43389.37514,0.38,11.76,▲  ,427,43412.37514,11,SS ,40490000,0,39645,15,0.04,0.37,0.39,39645,2,66,6,135,34,754,28,500
43389.37515,0.39,14.71,▲  ,432,43412.37515,5,B  ,40978000,0,39645,16,0.05,0.37,0.39,39645,3,71,5,78,35,759,27,443
43389.37515,0.38,11.76,▲  ,442,43412.37515,10,SS ,41928000,0,39645,17,0.04,0.37,0.39,39645,3,71,5,78,35,759,28,500
43389.37515,0.38,11.76,▲  ,451,43412.37515,9,BB ,42783000,0,39645,18,0.04,0.37,0.39,39645,2,62,4,68,36,791,25,452
