,KOSPI 200 ─▌┐╔╝╟ 1811 275.0,,,,,,,,,,,,,,,,,,,,,,
╜├░г,╟Ў└ч░б,╡ю╢Ї└▓,╡ю╢Ї▒╕║╨,░┼╖б╖о,├╝░с╜├░г,├╝░с╖о,├╝░с╝║╟т,░┼╖б┤ы▒▌,├╝░с░н╡╡,╣╠░с┴ж╛р┴д╝Ў╖о,├╝░с╣°╚г,┤ы║ё,├╝░с╕┼╝Ў╚г░б,├╝░с╕┼╡╡╚г░б,├╝░с╣╠░с┴ж╛р┴д╝Ў╖о,├╝░с┐ь╝▒╚г░б╕┼╡╡░╟╝Ў,├╝░с┐ь╝▒╚г░б╕┼╡╡└▄╖о,├╝░с┐ь╝▒╚г░б╕┼╝Ў░╟╝Ў,├╝░с┐ь╝▒╚г░б╕┼╝Ў└▄╖о,├╝░с5╚г░б╕┼╡╡░╟╝Ў,├╝░с5╚г░б╕┼╡╡└▄╖о,├╝░с5╚г░б╕┼╝Ў░╟╝Ў,├╝░с5╚г░б╕┼╝Ў└▄╖о
43385.375,6.22,24.9,бу  ,61,43412.375,61,B  ,94855000,0,2422,1,1.24,0,0,2422,0,0,0,0,0,0,0,0
43385.37501,6.2,24.5,бу  ,62,43412.37501,1,SS ,96405000,0,2422,2,1.22,6,6.72,2422,1,4,1,4,3,6,9,17
43385.37502,6,20.48,бу  ,63,43412.37502,1,S  ,97905000,0,2422,3,1.02,6,6.6,2422,1,40,1,3,5,86,7,89
43385.37506,6,20.48,бу  ,66,43412.37506,3,SS ,102405000,0,2422,4,1.02,5.81,5.99,2422,1,7,1,9,5,43,6,116
43385.37506,5.99,20.28,бу  ,73,43412.37506,7,BB ,112888000,0,2422,5,1.01,5.81,6.42,2422,1,9,1,9,5,76,6,116
43385.37514,6,20.48,бу  ,74,43412.37514,1,BB ,114388000,0,2422,6,1.02,5.95,6.27,2422,1,9,1,9,5,76,6,116
43385.37521,6.02,20.88,бу  ,83,43412.37521,9,SS ,127933000,0,2650,7,1.04,6.01,6.22,2650,1,9,1,9,5,76,7,110
43385.37522,6.03,21.08,бу  ,84,43412.37522,1,S  ,129440000,0,2650,8,1.05,6.03,6.26,2650,1,9,1,8,5,76,7,109
43385.37522,6.03,21.08,бу  ,92,43412.37522,8,S  ,141500000,0,2650,9,1.05,6.03,6.26,2650,1,9,1,8,5,76,7,109
43385.37529,6.18,24.1,бу  ,98,43412.37529,6,BB ,150770000,0,2650,10,1.2,6.05,6.27,2650,1,9,1,9,5,76,6,116
43385.37532,6.1,22.49,бу  ,104,43412.37532,6,SS ,159920000,0,2652,11,1.12,6.02,6.26,2652,1,9,1,9,6,77,6,116
43385.37536,6.09,22.29,бу  ,105,43412.37536,1,SS ,161443000,0,2652,12,1.11,6.08,6.15,2652,3,4,2,2,9,42,9,20
43385.37536,6.09,22.29,бу  ,106,43412.37536,1,SS ,162965000,0,2652,13,1.11,6.08,6.14,2652,1,1,2,2,8,33,9,20
43385.37536,6.09,22.29,бу  ,107,43412.37536,1,SS ,164488000,0,2652,14,1.11,6.08,6.14,2652,1,1,2,2,8,33,9,20
43385.37536,6.09,22.29,бу  ,108,43412.37536,1,SS ,166010000,0,2652,15,1.11,6.08,6.13,2652,1,1,2,2,8,25,9,20
43385.37536,6.09,22.29,бу  ,109,43412.37536,1,SS ,167533000,0,2652,16,1.11,6.08,6.12,2652,1,1,2,2,7,13,8,19
43385.37536,6.11,22.69,бу  ,110,43412.37536,1,BB ,169060000,0,2652,17,1.13,6.08,6.12,2652,1,1,2,2,7,13,8,19
