,KOSPI 200 콜옵션 1811 330.0,,,,,,,,,,,,,,,,,,,,,,
시간,현재가,등락율,등락구분,거래량,체결시간,체결량,체결성향,거래대금,체결강도,미결제약정수량,체결번호,대비,체결매수호가,체결매도호가,체결미결제약정수량,체결우선호가매도건수,체결우선호가매도잔량,체결우선호가매수건수,체결우선호가매수잔량,체결5호가매도건수,체결5호가매도잔량,체결5호가매수건수,체결5호가매수잔량
43388.44175,0.01,0,   ,2,43412.44175,2,BB ,5000,0,1661,1,0,0,0,1661,46,8766,0,0,0,0,0,0
43388.44194,0.01,0,   ,7,43412.44194,5,B  ,18000,5,1661,2,0,0,0.01,1661,47,8791,0,0,47,8791,0,0
43388.44233,0.01,0,   ,10,43412.44233,3,B  ,25000,8,1661,3,0,0,0.01,1661,46,8758,0,0,46,8758,0,0
43388.44251,0.01,0,   ,12,43412.44251,2,B  ,30000,10,1661,4,0,0,0.01,1661,47,8786,0,0,47,8786,0,0
43388.44275,0.01,0,   ,17,43412.44275,5,B  ,43000,15,1661,5,0,0,0.01,1661,46,8751,0,0,46,8751,0,0
43388.44608,0.01,0,   ,19,43412.44608,2,B  ,48000,17,1661,6,0,0,0.01,1661,46,8749,0,0,46,8749,0,0
43388.44694,0.01,0,   ,21,43412.44694,2,B  ,53000,19,1661,7,0,0,0.01,1661,46,8747,0,0,46,8747,0,0
43388.44764,0.01,0,   ,23,43412.44764,2,B  ,58000,21,1661,8,0,0,0.01,1661,46,8745,0,0,46,8745,0,0
43388.44789,0.01,0,   ,25,43412.44789,2,B  ,63000,23,1661,9,0,0,0.01,1661,46,8743,0,0,46,8743,0,0
43388.44791,0.01,0,   ,27,43412.44791,2,B  ,68000,25,1661,10,0,0,0.01,1661,47,8771,0,0,47,8771,0,0
43388.44821,0.01,0,   ,29,43412.44821,2,B  ,73000,27,1661,11,0,0,0.01,1661,46,8739,0,0,46,8739,0,0
43388.44821,0.01,0,   ,31,43412.44821,2,B  ,78000,29,1661,12,0,0,0.01,1661,47,8767,0,0,47,8767,0,0
43388.44822,0.01,0,   ,33,43412.44822,2,B  ,83000,31,1661,13,0,0,0.01,1661,47,8765,0,0,47,8765,0,0
43388.44823,0.01,0,   ,35,43412.44823,2,B  ,88000,33,1661,14,0,0,0.01,1661,46,8763,0,0,46,8763,0,0
43388.44824,0.01,0,   ,37,43412.44824,2,B  ,93000,35,1661,15,0,0,0.01,1661,44,8761,0,0,44,8761,0,0
