,KOSPI 200 ─▌┐╔╝╟ 1811 280.0,,,,,,,,,,,,,,,,,,,,,,
╜├░г,╟Ў└ч░б,╡ю╢Ї└▓,╡ю╢Ї▒╕║╨,░┼╖б╖о,├╝░с╜├░г,├╝░с╖о,├╝░с╝║╟т,░┼╖б┤ы▒▌,├╝░с░н╡╡,╣╠░с┴ж╛р┴д╝Ў╖о,├╝░с╣°╚г,┤ы║ё,├╝░с╕┼╝Ў╚г░б,├╝░с╕┼╡╡╚г░б,├╝░с╣╠░с┴ж╛р┴д╝Ў╖о,├╝░с┐ь╝▒╚г░б╕┼╡╡░╟╝Ў,├╝░с┐ь╝▒╚г░б╕┼╡╡└▄╖о,├╝░с┐ь╝▒╚г░б╕┼╝Ў░╟╝Ў,├╝░с┐ь╝▒╚г░б╕┼╝Ў└▄╖о,├╝░с5╚г░б╕┼╡╡░╟╝Ў,├╝░с5╚г░б╕┼╡╡└▄╖о,├╝░с5╚г░б╕┼╝Ў░╟╝Ў,├╝░с5╚г░б╕┼╝Ў└▄╖о
43390.375,4.53,37.27,бу  ,117,43412.375,117,B  ,132503000,0,9886,1,1.23,0,0,9886,0,0,0,0,0,0,0,0
43390.37501,4.51,36.67,бу  ,120,43412.37501,3,S  ,135885000,0,9886,2,1.21,4.51,4.6,9886,1,1,1,2,5,6,8,22
43390.37501,4.51,36.67,бу  ,122,43412.37501,2,SS ,138140000,0,9886,3,1.21,4.5,4.6,9886,1,1,3,12,5,6,36,49
43390.37501,4.5,36.36,бу  ,134,43412.37501,12,SS ,151640000,0,9886,4,1.2,4.4,4.6,9886,1,1,1,1,5,6,39,47
43390.37505,4.5,36.36,бу  ,139,43412.37505,5,BB ,157265000,0,9886,5,1.2,4.46,4.6,9886,1,1,1,11,5,25,5,45
43390.37505,4.5,36.36,бу  ,140,43412.37505,1,BB ,158390000,0,9886,6,1.2,4.46,4.6,9886,1,1,1,11,5,25,5,45
43390.37506,4.5,36.36,бу  ,144,43412.37506,4,SS ,162890000,0,9886,7,1.2,4.44,4.59,9886,1,1,1,11,5,15,6,49
43390.37509,4.5,36.36,бу  ,147,43412.37509,3,BB ,166265000,0,9906,8,1.2,4.46,4.57,9906,1,1,1,1,10,51,5,45
43390.37509,4.57,38.48,бу  ,148,43412.37509,1,BB ,167408000,0,9906,9,1.27,4.46,4.59,9906,1,11,1,1,9,50,5,45
43390.37509,4.46,35.15,бу  ,149,43412.37509,1,SS ,168523000,0,9906,10,1.16,4.44,4.46,9906,1,1,1,11,9,50,6,49
43390.37509,4.46,35.15,бу  ,150,43412.37509,1,SS ,169638000,0,9906,11,1.16,4.44,4.46,9906,1,1,1,11,9,50,6,49
43390.3751,4.51,36.67,бу  ,151,43412.3751,1,SS ,170765000,0,9906,12,1.21,4.5,4.56,9906,1,11,1,1,9,50,7,50
43390.3751,4.56,38.18,бу  ,162,43412.3751,11,BB ,183305000,0,9906,13,1.26,4.5,4.57,9906,1,11,1,1,9,40,7,50
43390.37512,4.6,39.39,бу  ,163,43412.37512,1,B  ,184455000,0,9906,14,1.3,4.5,4.6,9906,5,9,1,1,9,43,7,50
