,KOSPI 200 ─▌┐╔╝╟ 1811 277.5,,,,,,,,,,,,,,,,,,,,,,
╜├░г,╟Ў└ч░б,╡ю╢Ї└▓,╡ю╢Ї▒╕║╨,░┼╖б╖о,├╝░с╜├░г,├╝░с╖о,├╝░с╝║╟т,░┼╖б┤ы▒▌,├╝░с░н╡╡,╣╠░с┴ж╛р┴д╝Ў╖о,├╝░с╣°╚г,┤ы║ё,├╝░с╕┼╝Ў╚г░б,├╝░с╕┼╡╡╚г░б,├╝░с╣╠░с┴ж╛р┴д╝Ў╖о,├╝░с┐ь╝▒╚г░б╕┼╡╡░╟╝Ў,├╝░с┐ь╝▒╚г░б╕┼╡╡└▄╖о,├╝░с┐ь╝▒╚г░б╕┼╝Ў░╟╝Ў,├╝░с┐ь╝▒╚г░б╕┼╝Ў└▄╖о,├╝░с5╚г░б╕┼╡╡░╟╝Ў,├╝░с5╚г░б╕┼╡╡└▄╖о,├╝░с5╚г░б╕┼╝Ў░╟╝Ў,├╝░с5╚г░б╕┼╝Ў└▄╖о
43390.37612,5.8,27.75,бу  ,100,43412.37612,1,S  ,146885000,0,5807,36,1.26,5.8,5.85,5807,1,4,3,10,6,25,8,51
43390.37612,5.8,27.75,бу  ,106,43412.37612,6,SS ,155585000,0,5807,37,1.26,5.75,5.84,5807,2,8,2,16,6,22,7,51
43390.37616,5.76,26.87,бу  ,110,43412.37616,4,BB ,161345000,0,5807,38,1.22,5.72,5.78,5807,2,8,3,9,7,50,9,45
43390.37619,5.72,25.99,бу  ,111,43412.37619,1,S  ,162775000,0,5805,39,1.18,5.72,5.77,5805,1,4,1,8,7,42,8,46
43390.3762,5.78,27.31,бу  ,115,43412.3762,4,BB ,168555000,0,5805,40,1.24,5.73,5.79,5805,1,4,1,4,8,61,8,38
43390.37628,5.73,26.21,бу  ,116,43412.37628,1,S  ,169988000,0,5805,41,1.19,5.73,5.78,5805,2,8,1,3,7,43,7,45
43390.37645,5.72,25.99,бу  ,118,43412.37645,2,S  ,172848000,0,5803,42,1.18,5.72,5.78,5803,1,4,1,2,7,40,7,38
43390.37656,5.75,26.65,бу  ,122,43412.37656,4,SS ,178598000,0,5801,43,1.21,5.74,5.8,5801,1,4,1,4,6,39,9,48
43390.3767,5.74,26.43,бу  ,126,43412.3767,4,BB ,184338000,0,5797,44,1.2,5.71,5.76,5797,1,4,1,4,7,42,7,40
43390.37681,5.7,25.55,бу  ,127,43412.37681,1,SS ,185763000,0,5801,45,1.16,5.69,5.74,5801,1,4,1,4,7,37,5,33
43390.37685,5.72,25.99,бу  ,128,43412.37685,1,S  ,187193000,0,5801,46,1.18,5.72,5.76,5801,3,9,1,3,9,48,7,44
43390.37686,5.72,25.99,бу  ,129,43412.37686,1,S  ,188623000,0,5801,47,1.18,5.72,5.75,5801,1,4,1,7,9,41,7,48
43390.37691,5.76,26.87,бу  ,130,43412.37691,1,BB ,190063000,0,5801,48,1.22,5.72,5.77,5801,1,4,2,12,7,43,6,36
43390.37707,5.88,29.52,бу  ,131,43412.37707,1,BB ,191533000,0,5800,49,1.34,5.84,5.9,5800,1,1,2,12,6,54,7,45
43390.37709,5.9,29.96,бу  ,139,43412.37709,8,SS ,203333000,0,5800,50,1.36,5.88,5.94,5800,2,8,1,4,8,57,5,44
43390.37709,5.88,29.52,бу  ,143,43412.37709,4,SS ,209213000,0,5800,51,1.34,5.86,5.93,5800,1,4,1,4,8,49,5,52
43390.37712,5.88,29.52,бу  ,151,43412.37712,8,S  ,220973000,0,5800,52,1.34,5.86,5.93,5800,2,8,2,8,7,53,6,22
43390.3772,5.97,31.5,бу  ,191,43412.3772,40,BB ,280673000,0,5793,53,1.43,5.94,6,5793,2,5,1,4,6,45,6,48
43390.37723,5.92,30.4,бу  ,195,43412.37723,4,S  ,286593000,0,5793,54,1.38,5.94,6,5793,1,4,1,4,10,43,6,40
43390.37733,5.9,29.96,бу  ,196,43412.37733,1,BB ,288068000,0,5749,55,1.36,5.85,5.92,5749,2,6,2,8,9,43,8,56
43390.37733,5.92,30.4,бу  ,198,43412.37733,2,BB ,291028000,0,5749,56,1.38,5.9,5.93,5749,2,5,1,1,9,55,8,23
43390.37734,5.93,30.62,бу  ,199,43412.37734,1,BB ,292510000,0,5749,57,1.39,5.9,5.95,5749,1,4,3,9,7,47,13,59
43390.37737,5.92,30.4,бу  ,200,43412.37737,1,SS ,293990000,0,5749,58,1.38,5.91,5.96,5749,2,6,1,4,7,31,10,48
43390.37753,5.85,28.85,бу  ,204,43412.37753,4,S  ,299840000,0,5748,59,1.31,5.91,5.96,5748,1,4,1,4,10,56,6,40
43390.37765,5.79,27.53,бу  ,205,43412.37765,1,S  ,301288000,0,5752,60,1.25,5.79,5.84,5752,1,4,1,3,6,32,8,55
43390.37767,5.74,26.43,бу  ,206,43412.37767,1,S  ,302723000,0,5752,61,1.2,5.74,5.81,5752,1,4,3,13,7,36,7,61
43390.37774,5.73,26.21,бу  ,207,43412.37774,1,S  ,304155000,0,5751,62,1.19,5.73,5.78,5751,1,4,1,3,7,44,8,54
43390.3778,5.72,25.99,бу  ,208,43412.3778,1,BB ,305585000,0,5751,63,1.18,5.7,5.74,5751,1,4,1,4,7,44,7,41
43390.3778,5.74,26.43,бу  ,209,43412.3778,1,B  ,307020000,0,5751,64,1.2,5.7,5.74,5751,1,3,1,4,7,43,7,41
43390.3778,5.74,26.43,бу  ,210,43412.3778,1,B  ,308455000,0,5751,65,1.2,5.7,5.74,5751,1,2,1,4,7,42,7,41
43390.37784,5.75,26.65,бу  ,211,43412.37784,1,B  ,309893000,0,5751,66,1.21,5.7,5.75,5751,1,3,1,4,8,47,7,41
43390.37786,5.72,25.99,бу  ,212,43412.37786,1,S  ,311323000,0,5750,67,1.18,5.72,5.75,5750,1,3,1,1,8,47,7,38
43390.37791,5.7,25.55,бу  ,222,43412.37791,10,S  ,325573000,0,5750,68,1.16,5.72,5.75,5750,1,4,1,10,8,39,6,35
43390.37799,5.67,24.89,бу  ,227,43412.37799,5,SS ,332660000,0,5740,69,1.13,5.66,5.7,5740,1,4,1,4,6,22,6,49
43390.37807,5.69,25.33,бу  ,229,43412.37807,2,S  ,335505000,0,5740,70,1.15,5.69,5.76,5740,2,6,1,2,7,58,7,40
43390.37811,5.75,26.65,бу  ,230,43412.37811,1,SS ,336943000,0,5740,71,1.21,5.74,5.78,5740,1,4,1,4,6,41,9,51
43390.37816,5.7,25.55,бу  ,231,43412.37816,1,S  ,338368000,0,5733,72,1.16,5.74,5.78,5733,1,4,1,1,7,34,6,46
43390.3783,5.7,25.55,бу  ,232,43412.3783,1,S  ,339793000,0,5731,73,1.16,5.7,5.72,5731,1,1,1,3,6,19,6,48
43390.3783,5.7,25.55,бу  ,235,43412.3783,3,S  ,344068000,0,5731,74,1.16,5.7,5.72,5731,1,1,1,3,6,19,6,48
43390.3783,5.69,25.33,бу  ,239,43412.3783,4,S  ,349758000,0,5731,75,1.15,5.7,5.72,5731,1,1,1,4,6,19,5,45
43390.37837,5.71,25.77,бу  ,240,43412.37837,1,SS ,351185000,0,5731,76,1.17,5.69,5.74,5731,2,5,1,4,9,38,7,53
43390.37837,5.7,25.55,бу  ,241,43412.37837,1,S  ,352610000,0,5731,77,1.16,5.7,5.74,5731,1,4,1,7,7,31,7,56
43390.37838,5.7,25.55,бу  ,242,43412.37838,1,BB ,354035000,0,5731,78,1.16,5.68,5.73,5731,1,4,1,4,7,33,6,49
43390.37839,5.72,25.99,бу  ,243,43412.37839,1,B  ,355465000,0,5731,79,1.18,5.68,5.72,5731,1,3,1,4,7,32,6,49
43390.37839,5.72,25.99,бу  ,244,43412.37839,1,B  ,356895000,0,5731,80,1.18,5.68,5.72,5731,1,2,1,4,7,31,6,49
43390.37843,5.75,26.65,бу  ,245,43412.37843,1,B  ,358333000,0,5728,81,1.21,5.72,5.75,5728,1,3,1,4,6,39,6,22
