,KOSPI 200 콜옵션 1811 307.5,,,,,,,,,,,,,,,,,,,,,,
시간,현재가,등락율,등락구분,거래량,체결시간,체결량,체결성향,거래대금,체결강도,미결제약정수량,체결번호,대비,체결매수호가,체결매도호가,체결미결제약정수량,체결우선호가매도건수,체결우선호가매도잔량,체결우선호가매수건수,체결우선호가매수잔량,체결5호가매도건수,체결5호가매도잔량,체결5호가매수건수,체결5호가매수잔량
43389.375,0.01,0,   ,22,43412.375,22,B  ,55000,0,25518,1,0,0,0,25518,0,0,0,0,0,0,0,0
43389.37505,0.01,0,   ,42,43412.37505,20,S  ,105000,0,25518,2,0,0.01,0.02,25518,50,29785,2685,115257,66,37105,2685,115257
43389.37587,0.02,100,▲  ,52,43412.37587,10,B  ,155000,0,25508,3,0.01,0.01,0.02,25508,51,25634,2674,87951,71,34240,2674,87951
43389.37587,0.02,100,▲  ,62,43412.37587,10,B  ,205000,0,25508,4,0.01,0.01,0.02,25508,51,25624,2673,87941,71,34230,2673,87941
43389.37699,0.02,100,▲  ,462,43412.37699,400,B  ,2205000,0,25516,5,0.01,0.01,0.02,25516,45,13706,2674,85588,65,21322,2674,85588
43389.38683,0.01,0,   ,467,43412.38683,5,S  ,2218000,1680,25516,6,0,0.01,0.02,25516,76,21704,2677,83602,99,29293,2677,83602
43389.4022,0.01,0,   ,468,43412.4022,1,S  ,2220000,1615.38,25515,7,0,0.01,0.02,25515,79,22253,2684,82983,102,29841,2684,82983
43389.40389,0.01,0,   ,469,43412.40389,1,S  ,2223000,1555.56,25515,8,0,0.01,0.02,25515,80,22254,2684,81403,108,29847,2684,81403
43389.40741,0.01,0,   ,470,43412.40741,1,S  ,2225000,1500,25516,9,0,0.01,0.02,25516,81,22255,2683,81101,113,29852,2683,81101
43389.41064,0.01,0,   ,471,43412.41064,1,S  ,2228000,1448.28,25517,10,0,0.01,0.02,25517,83,22258,2682,80800,115,29854,2682,80800
43389.41323,0.01,0,   ,472,43412.41323,1,S  ,2230000,1400,25518,11,0,0.01,0.02,25518,84,22259,2683,80516,118,29857,2683,80516
43389.41781,0.01,0,   ,473,43412.41781,1,S  ,2233000,1354.84,25519,12,0,0.01,0.02,25519,85,22260,2681,80210,120,29859,2681,80210
43389.41964,0.01,0,   ,474,43412.41964,1,S  ,2235000,1312.5,25520,13,0,0.01,0.02,25520,86,22261,2680,79909,121,29860,2680,79909
43389.42167,0.01,0,   ,475,43412.42167,1,S  ,2238000,1272.73,25521,14,0,0.01,0.02,25521,87,22262,2679,79608,126,29865,2679,79608
