,KOSPI 200 콜옵션 1811 302.5,,,,,,,,,,,,,,,,,,,,,,
시간,현재가,등락율,등락구분,거래량,체결시간,체결량,체결성향,거래대금,체결강도,미결제약정수량,체결번호,대비,체결매수호가,체결매도호가,체결미결제약정수량,체결우선호가매도건수,체결우선호가매도잔량,체결우선호가매수건수,체결우선호가매수잔량,체결5호가매도건수,체결5호가매도잔량,체결5호가매수건수,체결5호가매수잔량
43389.375,0.04,33.33,▲  ,303,43412.375,303,B  ,3030000,0,34802,1,0.01,0,0,34802,0,0,0,0,0,0,0,0
43389.37513,0.04,33.33,▲  ,505,43412.37513,202,BB ,5050000,0,34802,2,0.01,0.04,0.05,34802,28,9935,1,1798,49,11711,159,85386
43389.37513,0.04,33.33,▲  ,583,43412.37513,78,S  ,5830000,0,34802,3,0.01,0.04,0.05,34802,28,9935,2,2120,49,11711,161,85768
43389.37534,0.04,33.33,▲  ,593,43412.37534,10,S  ,5930000,0,34888,4,0.01,0.04,0.05,34888,32,10655,5,2525,58,14032,166,87573
43389.37537,0.04,33.33,▲  ,594,43412.37537,1,S  ,5940000,0,34888,5,0.01,0.04,0.05,34888,32,10655,6,2525,59,14246,169,87789
43389.37538,0.04,33.33,▲  ,595,43412.37538,1,S  ,5950000,0,34888,6,0.01,0.04,0.05,34888,32,10655,6,2524,59,14246,169,87788
43389.37538,0.04,33.33,▲  ,596,43412.37538,1,S  ,5960000,0,34888,7,0.01,0.04,0.05,34888,32,10655,6,2523,59,14246,169,87787
43389.37539,0.04,33.33,▲  ,597,43412.37539,1,S  ,5970000,0,34888,8,0.01,0.04,0.05,34888,33,10656,5,2122,60,14247,168,87386
43389.37541,0.04,33.33,▲  ,598,43412.37541,1,S  ,5980000,0,34888,9,0.01,0.04,0.05,34888,33,10656,6,2521,60,14247,169,87785
43389.37547,0.04,33.33,▲  ,599,43412.37547,1,S  ,5990000,0,34903,10,0.01,0.04,0.05,34903,34,10657,9,2132,67,16975,170,88668
43389.37549,0.04,33.33,▲  ,600,43412.37549,1,S  ,6000000,0,34903,11,0.01,0.04,0.05,34903,34,10657,9,2131,67,16975,170,88667
43389.37549,0.04,33.33,▲  ,601,43412.37549,1,S  ,6010000,0,34903,12,0.01,0.04,0.05,34903,34,10657,9,2130,67,16975,170,88666
43389.3755,0.04,33.33,▲  ,602,43412.3755,1,S  ,6020000,0,34903,13,0.01,0.04,0.05,34903,34,10657,10,2529,67,16975,171,89065
43389.37551,0.04,33.33,▲  ,603,43412.37551,1,S  ,6030000,0,34903,14,0.01,0.04,0.05,34903,34,10657,10,2528,67,16975,171,89064
43389.37551,0.04,33.33,▲  ,604,43412.37551,1,S  ,6040000,0,34903,15,0.01,0.04,0.05,34903,34,10657,10,2527,67,16975,171,89063
43389.3756,0.04,33.33,▲  ,605,43412.3756,1,S  ,6050000,0,34909,16,0.01,0.04,0.05,34909,34,10657,11,2532,67,16975,172,89068
