,KOSPI 200 콜옵션 1811 260.0,,,,,,,,,,,,,,,,,,,,,,
시간,현재가,등락율,등락구분,거래량,체결시간,체결량,체결성향,거래대금,체결강도,미결제약정수량,체결번호,대비,체결매수호가,체결매도호가,체결미결제약정수량,체결우선호가매도건수,체결우선호가매도잔량,체결우선호가매수건수,체결우선호가매수잔량,체결5호가매도건수,체결5호가매도잔량,체결5호가매수건수,체결5호가매수잔량
43390.38253,21.8,23.16,▲  ,1,43412.38253,1,BB ,5450000,0,147,1,4.1,0,0,147,1,25,1,25,0,0,0,0
43390.52398,21.35,20.62,▲  ,2,43412.52398,1,BB ,10788000,1,147,2,3.65,21.3,21.45,147,1,2,2,3,5,9,6,58
43390.5935,20.2,14.12,▲  ,3,43412.5935,1,BB ,15838000,2,148,3,2.5,20,20.25,148,1,2,1,2,5,34,5,87
