,KOSPI 200 콜옵션 1811 302.5,,,,,,,,,,,,,,,,,,,,,,
시간,현재가,등락율,등락구분,거래량,체결시간,체결량,체결성향,거래대금,체결강도,미결제약정수량,체결번호,대비,체결매수호가,체결매도호가,체결미결제약정수량,체결우선호가매도건수,체결우선호가매도잔량,체결우선호가매수건수,체결우선호가매수잔량,체결5호가매도건수,체결5호가매도잔량,체결5호가매수건수,체결5호가매수잔량
43388.375,0.05,-16.67,▼  ,476,43412.375,476,B  ,5950000,0,27696,1,-0.01,0,0,27696,0,0,0,0,0,0,0,0
43388.375,0.05,-16.67,▼  ,563,43412.375,87,SS ,7038000,0,27696,2,-0.01,0.04,0.05,27696,1,266,23,8929,44,6479,89,57027
43388.37502,0.05,-16.67,▼  ,663,43412.37502,100,B  ,8288000,0,27696,3,-0.01,0.04,0.05,27696,1,166,23,8929,48,6659,89,57027
43388.37507,0.05,-16.67,▼  ,829,43412.37507,166,BB ,10363000,0,27696,4,-0.01,0.05,0.06,27696,25,2827,1,1834,51,6630,90,58861
43388.37522,0.06,0,   ,830,43412.37522,1,B  ,10378000,0,27455,5,0,0.05,0.06,27455,27,3477,4,5734,57,8756,100,65826
43388.37545,0.06,0,   ,831,43412.37545,1,B  ,10393000,0,27455,6,0,0.05,0.06,27455,39,4725,6,6018,69,10004,101,66109
43388.37559,0.05,-16.67,▼  ,1051,43412.37559,220,S  ,13143000,0,27455,7,-0.01,0.05,0.06,27455,41,6125,4,5123,72,11405,98,65114
43388.37559,0.05,-16.67,▼  ,1331,43412.37559,280,S  ,16643000,0,27455,8,-0.01,0.05,0.06,27455,41,6125,4,4843,72,11405,98,64834
43388.37559,0.05,-16.67,▼  ,1698,43412.37559,367,S  ,21230000,0,27455,9,-0.01,0.05,0.06,27455,41,6125,4,4476,72,11405,98,64467
43388.37559,0.05,-16.67,▼  ,2027,43412.37559,329,S  ,25343000,0,27455,10,-0.01,0.05,0.06,27455,41,6125,4,4147,72,11405,98,64138
43388.3756,0.05,-16.67,▼  ,2338,43412.3756,311,S  ,29230000,0,27455,11,-0.01,0.05,0.06,27455,41,6125,4,3836,72,11405,98,63827
43388.3756,0.05,-16.67,▼  ,2451,43412.3756,113,S  ,30643000,0,27455,12,-0.01,0.05,0.06,27455,41,6125,4,3723,72,11405,98,63714
43388.37561,0.05,-16.67,▼  ,2462,43412.37561,11,S  ,30780000,0,27455,13,-0.01,0.05,0.06,27455,41,6125,4,3712,72,11405,98,63703
43388.37561,0.05,-16.67,▼  ,2471,43412.37561,9,SS ,30893000,0,27455,14,-0.01,0.04,0.05,27455,1,1786,27,10618,69,13054,94,59991
43388.37561,0.05,-16.67,▼  ,2511,43412.37561,40,B  ,31393000,0,27455,15,-0.01,0.04,0.05,27455,1,1746,27,10739,70,13049,95,60283
43388.37579,0.05,-16.67,▼  ,2512,43412.37579,1,B  ,31405000,0,27446,16,-0.01,0.04,0.05,27446,12,7462,26,10439,82,18435,94,59983
43388.37597,0.05,-16.67,▼  ,2552,43412.37597,40,B  ,31905000,0,27446,17,-0.01,0.04,0.05,27446,13,7224,27,8712,85,18332,95,58256
43388.37605,0.05,-16.67,▼  ,2592,43412.37605,40,B  ,32405000,0,27446,18,-0.01,0.04,0.05,27446,19,7385,29,9311,90,18612,102,60612
43388.37631,0.04,-33.33,▼  ,2596,43412.37631,4,S  ,32445000,0,27446,19,-0.02,0.04,0.05,27446,22,9336,30,8387,97,22190,106,60748
43388.37634,0.04,-33.33,▼  ,2597,43412.37634,1,S  ,32455000,0,27446,20,-0.02,0.04,0.05,27446,23,9340,30,8386,98,22194,106,60747
43388.37669,0.04,-33.33,▼  ,2601,43412.37669,4,S  ,32495000,0,27446,21,-0.02,0.04,0.05,27446,31,10697,28,8130,106,24104,107,61245
43388.37679,0.04,-33.33,▼  ,2602,43412.37679,1,S  ,32505000,0,27446,22,-0.02,0.04,0.05,27446,31,10700,28,8129,102,24103,108,61245
43388.37691,0.04,-33.33,▼  ,2603,43412.37691,1,S  ,32515000,0,27446,23,-0.02,0.04,0.05,27446,32,10701,28,8128,102,22104,108,61244
43388.3772,0.04,-33.33,▼  ,3003,43412.3772,400,S  ,36515000,0,27446,24,-0.02,0.04,0.05,27446,32,10700,27,5991,100,21686,108,59495
43388.37731,0.04,-33.33,▼  ,3004,43412.37731,1,S  ,36525000,0,27446,25,-0.02,0.04,0.05,27446,33,11100,29,6798,99,22052,110,60302
43388.37743,0.04,-33.33,▼  ,3008,43412.37743,4,S  ,36565000,0,27446,26,-0.02,0.04,0.05,27446,33,11097,24,2222,100,22104,105,55726
43388.37743,0.04,-33.33,▼  ,3009,43412.37743,1,S  ,36575000,0,27446,27,-0.02,0.04,0.05,27446,32,11096,24,2221,99,22103,105,55725
43388.37743,0.04,-33.33,▼  ,3013,43412.37743,4,S  ,36615000,0,27446,28,-0.02,0.04,0.05,27446,31,11092,24,2217,98,22099,105,55721
43388.37743,0.04,-33.33,▼  ,3014,43412.37743,1,S  ,36625000,0,27446,29,-0.02,0.04,0.05,27446,30,11091,24,2216,97,22098,105,55720
43388.37743,0.04,-33.33,▼  ,3015,43412.37743,1,S  ,36635000,0,27446,30,-0.02,0.04,0.05,27446,29,11090,24,2215,96,22097,105,55719
43388.37743,0.04,-33.33,▼  ,3415,43412.37743,400,S  ,40635000,0,27446,31,-0.02,0.04,0.05,27446,28,10690,24,1815,95,21697,105,55319
43388.37743,0.04,-33.33,▼  ,3416,43412.37743,1,S  ,40645000,0,27446,32,-0.02,0.04,0.05,27446,27,10689,24,1814,94,21696,105,55318
43388.37751,0.04,-33.33,▼  ,3417,43412.37751,1,S  ,40655000,0,27446,33,-0.02,0.04,0.05,27446,28,11101,25,2202,94,21549,106,55706
43388.37751,0.04,-33.33,▼  ,3422,43412.37751,5,S  ,40705000,0,27446,34,-0.02,0.04,0.05,27446,28,11101,26,2792,94,21549,107,56296
43388.37763,0.04,-33.33,▼  ,3432,43412.37763,10,S  ,40805000,0,27446,35,-0.02,0.04,0.05,27446,26,10701,25,2781,93,21744,106,56285
43388.37767,0.04,-33.33,▼  ,3440,43412.37767,8,S  ,40885000,0,27446,36,-0.02,0.04,0.05,27446,26,10701,25,2773,93,21744,106,56277
43388.37782,0.04,-33.33,▼  ,3490,43412.37782,50,S  ,41385000,0,27446,37,-0.02,0.04,0.05,27446,27,10731,24,2288,95,23774,107,55806
43388.37784,0.04,-33.33,▼  ,3540,43412.37784,50,S  ,41885000,0,27446,38,-0.02,0.04,0.05,27446,28,10805,24,2244,96,23848,107,55762
